"GAMEPLAY_Pve_Travel_Reverse"	"Reise"
"achievement_CRAFT_LEGENDARY_desc"	"Konstruiere { $value$ ; 'legendäres Bauteil'; 'legendäre Bauteile' ;}"
"achievement_CRAFT_LEGENDARY_name"	"Magnat"
"achievement_CRAFT_RARE_desc"	"Konstruiere { $value$ ; 'seltenes Bauteil'; 'seltene Bauteile' ;}"
"achievement_CRAFT_RARE_name"	"Craftsman"
"achievement_dismantle_item_x1_desc"	"Zerlege {$value$;Bauteil;Bauteile}"
"achievement_dismantle_item_x1_name"	"Eingeschmolzen"
"achievement_faction_base_lvl_10_desc"	"Erreiche eine Reputation von $value$ bei den «Engineers»"
"achievement_faction_base_lvl_10_name"	"Routinierter Engineer"
"achievement_fight_completed_x5_desc"	"Schließe $value$ Gefechte ab"
"achievement_fight_completed_x5_name"	"Kämpfer"
"achievement_FUSE_EPIC_PART_desc"	"Konstruiere {$value$ ; 'verbessertes episches Bauteil'; 'verbesserte epische Bauteile';}"
"achievement_FUSE_EPIC_PART_name"	"Epische Fusion"
"achievement_FUSE_EXOTIC_PART_desc"	"Konstruiere ein verbessertes Relikt-Bauteil."
"achievement_FUSE_EXOTIC_PART_name"	"Relikt-Fusion"
"achievement_FUSE_LEGENDARY_PART_desc"	"Konstruiere ein verbessertes legendäres Bauteil."
"achievement_FUSE_LEGENDARY_PART_name"	"Legendäre Fusion"
"achievement_FUSE_RARE_PART_desc"	"Konstruiere ein verbessertes seltenes Bauteil."
"achievement_FUSE_RARE_PART_name"	"Seltene Fusion"
"achievement_level_tooltip_with_date"	"$name$|@ff606060$date$|@ff909090$desc$|@ffddbb80$val$/$max$"
"achievement_level_tooltip_wo_date"	"$name$|@ff909090$desc$|@ffddbb80$val$/$max$"
"achievement_LOOT_CHESTS_OPEN_desc"	"Öffne $value$ Container"
"achievement_LOOT_CHESTS_OPEN_name"	"Erkunder"
"achievement_LOOT_PARTS_desc"	"Erhalte $value$ Bauteile aus Gefechten"
"achievement_LOOT_PARTS_name"	"Verloren & Gefunden"
"achievement_LVL_FACTION_FRENZIED_desc"	"Erreiche eine Reputation von $value$ bei den «Lunatics»"
"achievement_LVL_FACTION_FRENZIED_name"	"Lunatic"
"achievement_LVL_FACTION_MILITARY_desc"	"Erreiche eine Reputation von $value$ bei den «Steppenwölfen»"
"achievement_LVL_FACTION_MILITARY_name"	"Militarist"
"achievement_LVL_FACTION_SCAVENGERS_desc"	"Erreiche eine Reputation von $value$ bei den «Scavengers»"
"achievement_LVL_FACTION_SCAVENGERS_name"	"Scavenger"
"achievement_LVL_FACTION_TRADERS_desc"	"Erreiche eine Reputation von $value$ bei den «Nomads»"
"achievement_LVL_FACTION_TRADERS_name"	"Entdecker"
"achievement_LVL_PARAGON_BASE_desc"	"Erringe Prestigelevel $value$ bei den «Engineers»"
"achievement_LVL_PARAGON_BASE_name"	"Erfahrener Engineer"
"achievement_LVL_PARAGON_FRENZIED_desc"	"Erringe Prestigelevel $value$ bei den «Lunatics»"
"achievement_LVL_PARAGON_FRENZIED_name"	"Legendärer Lunatic"
"achievement_LVL_PARAGON_MILITARY_desc"	"Erringe Prestigelevel $value$ bei den «Steppenwölfen»"
"achievement_LVL_PARAGON_MILITARY_name"	"Marschall"
"achievement_LVL_PARAGON_SCAVENGERS_desc"	"Erringe Prestigelevel $value$ bei den «Scavengers»"
"achievement_LVL_PARAGON_SCAVENGERS_name"	"Ich Sehe Das Licht"
"achievement_LVL_PARAGON_TRADERS_desc"	"Erringe Prestigelevel $value$ bei den «Nomads»"
"achievement_LVL_PARAGON_TRADERS_name"	"Alles gesehen"
"achievement_MARKET_BOUGHT_COUNT_desc"	"Kaufe $value$ Gegenstände auf dem Markt"
"achievement_MARKET_BOUGHT_COUNT_name"	"Kaufrausch"
"achievement_MARKET_INSTABUY_desc"	"Kaufe Gegenstände im Wert von $value$ über die Schnellkauf-Taste"
"achievement_MARKET_INSTABUY_name"	"Impulskäufer"
"achievement_MARKET_INSTASELL_desc"	"Verkaufe Gegenstände im Wert von $value$ über die Schnellverkauf-Taste|"
"achievement_MARKET_INSTASELL_name"	"Opportunist"
"achievement_MARKET_MONEY_EARNED_desc"	"Verdiene $value$ auf dem Markt"
"achievement_MARKET_MONEY_EARNED_name"	"Rockefeller"
"achievement_MARKET_SOLD_COUNT_desc"	"Verkaufe $value$ Güter auf dem Markt"
"achievement_MARKET_SOLD_COUNT_name"	"Feilscher"
"achievement_MEDAL_ANY_desc"	"Erhalte $value$ beliebige Sticker im Gefecht"
"achievement_MEDAL_ANY_name"	"Medalliensammler"
"achievement_PVE_ALL_desc"	"Schließe erfolgreich $value$ Raids ab"
"achievement_PVE_ALL_name"	"Raider"
"achievement_PVE_DEFENCE_desc"	"Schließe erfolgreich $value$ Verteidigungs-Raids ab"
"achievement_PVE_DEFENCE_name"	"Verteidiger"
"achievement_PVE_FUEL_RACE_desc"	"Schließe erfolgreich $value$ «Benzinrennen»-Raids ab"
"achievement_PVE_FUEL_RACE_name"	"Raser"
"achievement_PVE_LEVIATHAN_desc"	"Schließe erfolgreich $value$ Leviathan-Raids ab"
"achievement_PVE_LEVIATHAN_KILLS_desc"	"Zerstöre oder hilf bei der Zerstörung von $value$ Leviathanen"
"achievement_PVE_LEVIATHAN_KILLS_name"	"Jäger"
"achievement_PVE_LEVIATHAN_name"	"Ausrotter"
"achievement_PVE_MOB_KILLS_desc"	"Zerstöre oder hilf bei der Zerstörung von $value$ Gegnern im PvE"
"achievement_PVE_MOB_KILLS_name"	"Butcher"
"achievement_PVE_MY_LEVIATHAN_WINS_desc"	"Stelle sicher, dass dein Leviathan $value$ Siege einfährt"
"achievement_PVE_MY_LEVIATHAN_WINS_name"	"Stratege"
"achievement_PVE_SIEGE_desc"	"Schließe erfolgreich $value$ Belagerungs-Raids ab"
"achievement_PVE_SIEGE_name"	"Zerstörer"
"achievement_PVP_ASSAULT_VICTORY_desc"	"Gewinne $value$ Gefechte im Modus «Überfall»"
"achievement_PVP_ASSAULT_VICTORY_name"	"Eroberer"
"achievement_PVP_CONQUER_VICTORY_desc"	"Gewinne $value$ Gefechte im Modus «Zusammenstoß»"
"achievement_PVP_CONQUER_VICTORY_name"	"Konquistador"
"achievement_PVP_DAMAGE_BLAST_desc"	"Richte an Spielerfahrzeugen $value$ Explosivschaden an"
"achievement_PVP_DAMAGE_BLAST_name"	"Sprenger"
"achievement_PVP_DAMAGE_DIRECT_desc"	"Richte an Spielerfahrzeugen $value$ Geschossschaden an"
"achievement_PVP_DAMAGE_DIRECT_name"	"Scharfschütze"
"achievement_PVP_DAMAGE_FLAME_desc"	"Richte $value$ Feuerschaden an Spielerfahrzeugen an"
"achievement_PVP_DAMAGE_FLAME_name"	"Brandstifter"
"achievement_PVP_DAMAGE_MELEE_desc"	"Richte an Spielerfahrzeugen $value$ Nahkampfschaden an"
"achievement_PVP_DAMAGE_MELEE_name"	"Schlägertyp"
"achievement_PVP_DAMAGE_TOTAL_desc"	"Richte an Spielerfahrzeugen $value$ Schaden an"
"achievement_PVP_DAMAGE_TOTAL_name"	"Kriegsherr"
"achievement_PVP_DEFEAT_desc"	"Verliere ein Gefecht gegen andere Spieler"
"achievement_PVP_DEFEAT_name"	"Niemals aufgeben!"
"achievement_PVP_KILLS_desc"	"Zerstöre auf beliebige Art und Weise $value$ Spielerfahrzeuge"
"achievement_PVP_KILLS_name"	"Attentäter"
"achievement_PVP_PARTICIPATED_desc"	"Nimm an einem Gefecht gegen andere Spieler teil"
"achievement_PVP_PARTICIPATED_name"	"Teilnehmer"
"achievement_PVP_VICTORY_desc"	"Gewinne $value$ Gefechte gegen andere Spieler"
"achievement_PVP_VICTORY_name"	"Sieger"
"achievement_QUEST_ANY_desc"	"Erfülle $value$ tägliche Herausforderungen"
"achievement_QUEST_ANY_name"	"Herausforderer"
"achievement_score_total"	"Gesamt-Punktzahl:"
"achievement_used_market_x1_desc"	"Handle zum ersten Mal auf dem Markt"
"achievement_used_market_x1_name"	"Aufstrebender Händler"
"achievement_used_unlockables_x1_desc"	"Verwende ein freischaltbares Bauteil in einer Blaupause"
"achievement_used_unlockables_x1_name"	"Konstrukteur"
"achievement_watched_tutorial_x1_desc"	"Schau dir das Tutorial an"
"achievement_watched_tutorial_x1_name"	"Gelehriger Schüler"
"CarPart_Booster_desc"	"Liefert einen sofortigen Impulsschub vom Montagepunkt aus. Kann ein Fahrzeug beschleunigen und sogar abheben lassen."
"CarPart_Booster_epic_Desc"	"Liefert einen sofortigen Impulsschub vom Montagepunkt aus. Kann ein Fahrzeug beschleunigen und sogar abheben lassen. Leistungsstärker als das Raketentriebwerk."
"CarPart_Booster_epic_Name"	"«Hermes» Triebwerk"
"CarPart_Booster_name"	"Flugzeugtriebwerk"
"CarPart_Booster_rare_desc"	"Liefert einen sofortigen Impulsschub vom Montagepunkt aus. Kann ein Fahrzeug beschleunigen und sogar abheben lassen."
"CarPart_Booster_rare_Name"	"Raketentriebwerk"
"CarPart_Quadrocopter_epic_Desc"	"Startet eine mobile Kampfdrohne, die Ziele im Umkreis angreift. Ist mit einem Raketenwerfer ausgerüstet."
"CarPart_Quadrocopter_epic_Name"	"Raketendrohne"
"CarPart_Quadrocopter_rare_Desc"	"Startet eine mobile Kampfdrohne, die Ziele im Umkreis angreift. Ist mit einem einfachen Maschinengewehr ausgerüstet."
"CarPart_Quadrocopter_rare_Name"	"Angriffsdrohne"
"CarPart_Sniper_Rare_Desc"	"Ermöglicht das Heranzoomen an Gegner und erhöht die Präzision. Erhöht zudem den Radius, in dem Gegner aufgeklärt werden, auf @ff00ff00$radar_radius$ @ffffffff m."
"CarPart_Sniper_Rare_Name"	"Panzerzielfernrohr"
"CarPart_Stealth_epic_Desc"	"Macht das Fahrzeug für einen kurzen Moment völlig unsichtbar. Das Verwenden von Waffen oder eingehender Schaden unterbrechen die Funktion."
"CarPart_Stealth_epic_Name"	"Chamäleon"
"CarPart_Stealth_legend_Desc"	"Macht das Fahrzeug für einen Moment völlig unsichtbar. Das Verwenden von Waffen oder eingehender Schaden unterbrechen die Funktion."
"CarPart_Stealth_legend_Name"	"Chamäleon Mk2"
"CarPart_TurretDeployerMissile_epic_Desc"	"Platziert einen automatischen Kampfturm, der die Umgebung für eine begrenzte Zeit verteidigt."
"CarPart_TurretDeployerMissile_epic_Name"	"Raketenturm"
"CarPart_TurretDeployer_rare_Desc"	"Platziert einen automatischen Kampfturm, der die Umgebung für eine begrenzte Zeit verteidigt."
"CarPart_TurretDeployer_rare_Name"	"Turm-Bausatz"
"CarPart_AlphaSign_Big_Desc"	"Ein großes und wichtiges Schild, das garantiert jeden anderen Überlebenden neidisch machen wird."
"CarPart_AlphaSign_Big_Name"	"Großes «Alpha» Schild"
"CarPart_AlphaSign_Small_Desc"	"Ein kleines aber markantes Schild. Größe ist nicht alles."
"CarPart_AlphaSign_Small_Name"	"Kleines «Alpha» Schild"
"CarPart_ArmorSkull_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Gepanzerter Schädel» benötigt wird."
"CarPart_ArmorSkull_Piece_name"	"Fragment: Gepanzerter Schädel"
"CarPart_Bag03_desc"	"Nichts verkörpert dein Stilgefühl mehr als diese prächtige Tasche."
"CarPart_Bag03_name"	"Tasche"
"CarPart_Banner_Base_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Engineers.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Base_minor_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Engineers.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Base_minor_Name"	"Engineer-Flagge"
"CarPart_Banner_Base_Name"	"Engineer-Flagge"
"CarPart_Banner_Frenzied_major_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Lunatics.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Frenzied_major_Name"	"Lunatic-Flagge"
"CarPart_Banner_Frenzied_minor_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Lunatics.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Frenzied_minor_Name"	"Lunatic-Flagge"
"CarPart_Banner_Military_major_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Steppenwölfe.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Military_major_Name"	"Steppenwölfe-Flagge"
"CarPart_Banner_Military_minor_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Steppenwölfe.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Military_minor_Name"	"Steppenwölfe-Flagge"
"CarPart_Banner_Scavengers_major_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Scavengers.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Scavengers_major_Name"	"Scavenger-Flagge"
"CarPart_Banner_Scavengers_minor_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Scavengers.||Bringt zusätzliche Reputation in Gefechten ein."
"CarPart_Banner_Scavengers_minor_Name"	"Scavenger-Flagge"
"CarPart_Banner_Spears_Desc"	"Dieses Design mit Speeren und Schädeln gehört zu den kreativen Höhepunkten einer der eher radikalen Gangs der Gegend."
"CarPart_Banner_Spears_Name"	"Speere"
"CarPart_Banner_Spears_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Speere» benötigt wird."
"CarPart_Banner_Spears_Piece_name"	"Fragment: Speere"
"CarPart_Banner_Vagabonds_major_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Nomads.||Bringt zusätzliche Reputation in Gefechten ein.|"
"CarPart_Banner_Vagabonds_major_Name"	"Nomad-Flagge"
"CarPart_Banner_Vagabonds_minor_Desc"	"Dieser mit Stolz geführte Banner verbessert die Moral und dient zur Feier eines jeden Sieges für die Nomads.||Bringt zusätzliche Reputation in Gefechten ein.|"
"CarPart_Banner_Vagabonds_minor_Name"	"Nomad-Flagge"
"CarPart_Barrel_Desc"	"Ermöglicht das Verdienen von Benzin in PvP-Gefechten. Bringt einen Ertrag von 5 Benzin ein. Mehrere Fässer gleicher Art addieren ihre Wirkung nicht. Explodiert bei Zerstörung und richtet dabei @ffff0000$death_blast_damage$@ffffffff Schaden in einem Radius von @ffff0000$death_blast_radius$@ffffffff Metern an.|"
"CarPart_Barrel_Name"	"Benzinfass"
"CarPart_BigBag_Desc"	"Mehr Taschen für den Taschen-Gott!"
"CarPart_BigBag_Name"	"Reisetasche"
"CarPart_Brace_Desc"	"Wenn es um Schönheit geht, dann gibt es kein 'zu klein'!"
"CarPart_Brace_Name"	"Doppelklammer"
"CarPart_Brakelights1_Desc"	"Zwar gibt es keine Regeln mehr und daher auch keinen Grund, jemanden über ein eigenes Bremsmanöver zu informieren, aber wer kann schon blinkenden roten Lichtern widerstehen?"
"CarPart_Brakelights1_Name"	"Bremslicht"
"CarPart_Brakelights2_Desc"	"Zwar gibt es keine Regeln mehr und daher auch keinen Grund, jemanden über ein eigenes Bremsmanöver zu informieren, aber wer kann schon blinkenden roten Lichtern widerstehen?"
"CarPart_Brakelights2_Name"	"Hecklicht"
"CarPart_CarHorn_Cucaracha_Desc"	"Ein Dreifachschlag gegen die Nerven des Gegners. Oder eines Verbündeten.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_Cucaracha_Name"	"«Cucaracha»"
"CarPart_CarHorn_Desc"	"Eine Nachahmung des Lockrufs eines einsamen Mammuts. Oder eines Lastwagens.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_Funny_Desc"	"Humor funktioniert immer - oder etwa nicht?|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_Funny_Name"	"«Witzbold»"
"CarPart_CarHorn_Hell_Desc"	"Es kommt nicht auf die Größe an!|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_Hell_Name"	"«Buzzer»"
"CarPart_CarHorn_Klaxon_Desc"	"Es fällt schwierig, unter diesen Umständen von einem Überraschungsmoment zu sprechen.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_Klaxon_Name"	"«Volles Haus 2»"
"CarPart_CarHorn_Name"	"'Olifant'"
"CarPart_CarHorn_PoliceShort_Desc"	"Selbst die härtesten Kerle fahren bei diesem Geräusch rechts ran.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_PoliceShort_Name"	"«Rechts Ranfahren»"
"CarPart_CarHorn_ShipHigh_Desc"	"Ernste Gerätschaften für ernste Leute.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_ShipHigh_Name"	"«Potemkin»"
"CarPart_CarHorn_ShipLow_Desc"	"Bei diesem Geräusch zersplittert Glas nicht nur - es wird zu Pulver.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_ShipLow_Name"	"«Titanic»"
"CarPart_CarHorn_Train_Desc"	"Erinnert an die süßen Momente am Bahnübergang.|(Nur die zuletzt installierte Hupe macht Geräusche)."
"CarPart_CarHorn_Train_Name"	"«Eilzug»"
"CarPart_CarHorn_Train_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Eilzug» benötigt wird."
"CarPart_CarHorn_Train_Piece_name"	"Fragment: Eilzug"
"CarPart_CarSeat_Desc"	"Erhöht den Reputationsgewinn um @ff00ff00$exp_reward_bonus$%@ffffffff."
"CarPart_CarSeat_Name"	"Fahrzeugsitz"
"CarPart_Duck_Desc"	"Sogar die härtesten Kerle haben ein weiches Herz."
"CarPart_Duck_Name"	"Ente"
"CarPart_Duck_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Ente» benötigt wird."
"CarPart_Duck_Piece_name"	"Fragment: Ente"
"CarPart_Eagle_Desc"	"Dieses Wappen war einst den Offizieren der Neuen Weltordnung vorbehalten. Doch seit ein abenteuerlicher Nomade dieses Design kopiert hat, kann sich jeder wie ein wahrer... Anführer fühlen."
"CarPart_Eagle_Name"	"Adler"
"CarPart_EvilDuck_Desc"	"Diese Götze verspottet alles, was hell und schön ist und inspiriert Horror und Abscheu. Es sollte niemals an ein Fahrzeug angebracht werden."
"CarPart_EvilDuck_Name"	"Duckinator"
"CarPart_EvilDuck_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Duckinator» benötigt wird."
"CarPart_EvilDuck_Piece_name"	"Fragment: Duckinator"
"CarPart_Exhaust2_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Exhaust2_Name"	"Auspuff 2"
"CarPart_Exhaust3_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Exhaust3_Name"	"Hellpipes"
"CarPart_Exhaust_desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Exhaust_name"	"Auspuffrohr"
"CarPart_FenderFlare2_desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_FenderFlare2_name"	"Verbreiterter Kotflügel"
"CarPart_FenderSolidOutside_rare_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_FenderSolidOutside_rare_Name"	"Außenkotflügel"
"CarPart_Flag_URSS_desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Flag_URSS_name"	"Sowjetflagge"
"CarPart_FuelGiant_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_FuelGiant_Name"	"Treibstofftank"
"CarPart_Headlights2_desc"	"Funktionierende Lampen sind nicht einfach aufzutreiben, doch viele Überlebende bringen gerne Opfer, um damit ihre Fahrzeuge zu dekorieren."
"CarPart_Headlights2_name"	"Doppelscheinwerfer"
"CarPart_Headlights3_Desc"	"Funktionierende Lampen sind nicht einfach aufzutreiben, doch viele Überlebende bringen gerne Opfer, um damit ihre Fahrzeuge zu dekorieren."
"CarPart_Headlights3_Name"	"Leuchtstofflampe"
"CarPart_Headlights4_Desc"	"Funktionierende Lampen sind nicht einfach aufzutreiben, doch viele Überlebende bringen gerne Opfer, um damit ihre Fahrzeuge zu dekorieren."
"CarPart_Headlights4_Name"	"Scheinwerfersatz"
"CarPart_Headlights5_Desc"	"Funktionierende Lampen sind nicht einfach aufzutreiben, doch viele Überlebende bringen gerne Opfer, um damit ihre Fahrzeuge zu dekorieren."
"CarPart_Headlights5_Name"	"Scheinwerfer «Hell Lamp»"
"CarPart_Headlights_desc"	"Funktionierende Lampen sind nicht einfach aufzutreiben, doch viele Überlebende bringen gerne Opfer, um damit ihre Fahrzeuge zu dekorieren."
"CarPart_Headlights_name"	"Scheinwerfer"
"CarPart_Horns01_Desc"	"Einschüchterung und Respekt. Darum gehts."
"CarPart_Horns01_Name"	"Hörner"
"CarPart_LeatherBag_Desc"	"Kann nicht wirklich etwas tragen, sieht aber cool aus."
"CarPart_LeatherBag_Name"	"Satteltasche"
"CarPart_LightsRear1_desc"	"Zwar gibt es keine Regeln mehr und daher auch keinen Grund, jemanden über ein eigenes Bremsmanöver zu informieren, aber wer kann schon blinkenden roten Lichtern widerstehen?"
"CarPart_LightsRear1_name"	"Rundes Bremslicht"
"CarPart_PoliceLights_Desc"	"In einer Welt in der Gesetze zu abstrakten Konzepten verkommen sind, ist ein Blinker nicht mehr als eine seltsame Lichtquelle."
"CarPart_PoliceLights_Name"	"Lichtleiste"
"CarPart_PoliceLights_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Lichtleiste» benötigt wird.|"
"CarPart_PoliceLights_Piece_name"	"Fragment: Lichtleiste"
"CarPart_RoadsignCircle_01_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_RoadsignCircle_01_Name"	"«Durchfahrt Verboten»"
"CarPart_RoadsignSquare_01_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_RoadsignSquare_01_Name"	"Instandhaltungs-Schild"
"CarPart_Roadsign_01_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_Roadsign_01_Name"	"«Stop!»"
"CarPart_Roadsign_01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Stop!» benötigt wird."
"CarPart_Roadsign_01_Piece_name"	"Fragment: Stop!"
"CarPart_Roadsign_02_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_Roadsign_02_Name"	"«Alles ist erlaubt»"
"CarPart_Roadsign_03_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_Roadsign_03_Name"	"«Du bist wertlos!»"
"CarPart_Roadsign_04_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_Roadsign_04_Name"	"«Kein Entkommen»"
"CarPart_Roadsign_04_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Kein Entkommen» benötigt wird."
"CarPart_Roadsign_04_Piece_name"	"Fragment: Kein Entkommen"
"CarPart_Roadsign_05_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_Roadsign_05_Name"	"«Lauft, ihr Narren!»"
"CarPart_Roadsign_06_Desc"	"Früher haben Millionen von Autofahrern diese Zeichen beachtet. Heute sind sie nicht mehr als Dekoration."
"CarPart_Roadsign_06_Name"	"«Anhalten und Nachdenken»"
"CarPart_Roadsign_06_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Anhalten und Nachdenken» benötigt wird."
"CarPart_Roadsign_06_Piece_name"	"Fragment: Anhalten und Nachdenken"
"CarPart_Skull01_Desc"	"Soll Angst und Schrecken verbreiten"
"CarPart_Skull01_Name"	"Schädel"
"CarPart_Skull01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Schädel» benötigt wird."
"CarPart_Skull01_Piece_name"	"Fragment: Schädel"
"CarPart_SpareTire_Desc"	"Ist ein Reifen zu alt um seinen eigentlichen Zweck zu erfüllen, kann er immerhin noch als Dekoration dienen. Dran ans Fahrzeug und gut ist!"
"CarPart_SpareTire_Name"	"Ersatzreifen"
"CarPart_Speakers_Big_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Speakers_Big_Name"	"Großer Lautsprecher"
