"2STEP_AUTHORIZATION_ENABLED"	"귀하의 계정을 보호하고 있습니다."
"Blockpost_Defeat_nomads_text"	"사냥감을 낭비했군. 돌아오고 싶거든 한 번 더 생각해 봐라. 물론 두 번 혼쭐이 난다고 해서 네가 뭔가를 배울 수 있을지는 모르겠지만."
"Blockpost_Defeat_nomads_text2"	"결과는 항상 동일하다."
"Blockpost_Defeat_nomads_text3"	"이 비극적인 소식은 내가 가족들에게 전해 주마. 걱정 마라."
"Blockpost_Defeat_psycho_text"	"하나, 둘, 셋, 넷, 우리 상대가 바닥에 쓰러진다!"
"Blockpost_Defeat_psycho_text2"	"하나, 둘, 셋, 넷, 다섯, 이제 조용히 해라. 웃는 자는 한 번 더 죽는다. 한 번은 부족하니까!"
"Blockpost_Defeat_psycho_text3"	"하나, 둘, 이제 끝이야!"
"Blockpost_Defeat_scavengers_text"	"네게 어울리는 운명이지? 스캐빈저의 트럭을 훔치는 건 아주 멍청한 짓이야!"
"Blockpost_Defeat_scavengers_text2"	"우리 것이었다가, 네 것이었지만, 다시 우리 것이 되었다. 하! 우리 트럭을 훔칠 생각은 하지도 마라."
"Blockpost_Defeat_scavengers_text3"	"이제 끝이다. 다 끝났어."
"Blockpost_Post1_nomads_text"	"괜히 다치지 말고 잠깐 멈춰 서서 무기를 거둬라."
"Blockpost_Post1_nomads_text2"	"겁에 질려 도망칠 마지막 기회다. 이 초소를 넘어서면 기다리는 건 죽음뿐이다."
"Blockpost_Post1_nomads_text3"	"이 트럭을 훔치면 돈을 얼마나 받는 거지? 내가 더 주겠다. 말하지 않겠다고? 그러면 총으로 얘기해 보자!"
"Blockpost_Post1_psycho_text"	"지금 무슨 짓을 하는 건지 알아? 그래, 죽어가고 있는 거지!"
"Blockpost_Post1_psycho_text2"	"냄비나 사 들고 길거리를 지나가야겠군. 저 문을 통과하면, 넌 순식간에 죽는다!"
"Blockpost_Post1_scavengers_text"	"귀가 먹은 거냐, 그냥 멍청한 거냐? 어디에 가는 거지? 당장 트럭으로 돌아와!"
"Blockpost_Post1_scavengers_text2"	"어흠, 여기는 도저. 여기서 멈춰야 할 거야."
"Blockpost_Post1_scavengers_text3"	"내가 생각했던 것만큼 영리하지는 않구나. 가만히 있어! 당장 차로 되돌려 놔! 어차피 이 초소를 지나가면 살아남지 못해, 하."
"Blockpost_Post2_nomads_text2"	"연습을 해야 완벽해진다고 하지, 응? 좋아. 측면을 내보여라. 연습을 더 해 보자."
"Blockpost_Post2_psycho_text"	"저 녀석 차는 곰이 고쳐 준 모양이군. 앞발을 타이어로 쓰고 말이야. 전조등이나 좀 닦아 봐라. 죽어야 할 시간이다!"
"Blockpost_Post2_psycho_text2"	"아주 강력한 초소가 보이는군. 바퀴가 아직 달려 있는 동안 여기서 꺼져!"
"Blockpost_Post2_psycho_text3"	"두 번째 초소에는 이런 게 있었다. 왕과 왕비, 왕자, 그리고 여기에 왔던 자들의 해골!"
"Blockpost_Post2_scavengers_text"	"아직도 마음을 안 바꾼 건가? 그렇다면 이걸 돌파해 봐라! 두 번째 초소는 더 강력하게 무장해 두었지."
"Blockpost_Post2_scavengers_text2"	"쏴라, 쏴. 초소는 잊어버려라. 아직도 많이 있으니까."
"Blockpost_Post2_scavengers_text3"	"뭐라고?! 아직도 살아 있냐? 사격을 멈춰라, 조준을 할 수가 없잖아! 우리 포탑이 널 혼쭐내 줄 거야."
"Blockpost_Post3_nomads_text"	"아무래도 말로는 안 통할 것 같군. 내가 바라던 일이다. 비상 계획을 사용할 때가 됐군! 완전한 소멸이다!"
"Blockpost_Post3_nomads_text2"	"여길 지나간다고 너무 좋아하지는 마라. 멀리 가면 갈수록, 우리가 더 큰 바퀴로 널 박살 내 줄 수 있을 뿐이니까!"
"Blockpost_Post3_nomads_text3"	"너와 네 범죄는 여기서 끝이다! 정의의 기계를 만나 봐라!"
"Blockpost_Post3_psycho_text"	"흉터, 흉터, 흉터 AB, 그러니까 네 존재가 사라질 거라는 뜻이다!"
"Blockpost_Post3_psycho_text2"	"다섯, 넷, 셋, 둘, 하나. 이제 숫자 세는 법을 배웠겠지. 이제 뭐라고 해야 할지 모르겠군. 그냥 우두머리를 날려 버릴까?!"
"Blockpost_Post3_psycho_text3"	"하나, 둘, 셋, 넷, 다섯... 생존자가 뛰어내렸지. 하지만 그 순간 상어가 나타나서, 생존자의 귀를 뜯어먹어 버렸어!"
"Blockpost_Post3_scavengers_text"	"이게 마지막 경고다! 포기해라, 그러면 목숨은 살려 주마! 그 누구도 우리 용사에게 이길 순 없다!"
"Blockpost_Post3_scavengers_text2"	"멈춰라, 네 호송대가 여길 지나갈 순 없다. 우리 편을 데려올 거니까!"
"Blockpost_Post3_scavengers_text3"	"이제 포기하겠나? 너무 늦었다. 우리 지도자가 엔진에 시동을 걸었으니까!"
"Blockpost_psycho_caption"	"루이스"
"Blockpost_scavengers_caption"	"도저"
"Blockpost_Start_nomads_text"	"당신에게 평화를! 당신이 호위하는 수송 차량은 유목민의 자산이다. 싸우지 말고 이리 넘기는 게 좋겠다."
"Blockpost_Start_nomads_text2"	"우리 땅에 '우연히 흘러든' 지난 다섯 명의 멍청이들은 이제 바퀴도 없이 황무지를 기어 다니고 있지. 우리 물건을 훔치는 도둑들에게 어떤 운명이 기다리고 있는지 알겠나?"
"Blockpost_Start_nomads_text3"	"말해 봐라. 이 트럭 납치범이 여기서 빠져나가게 해 주면 돈을 얼마나 준다고 하든? 내가 더 줄 수 있다. 하지만 그러지 않겠어. 납치범과는 거래를 하지 않으니까."
"Blockpost_Start_psycho_text"	"우리 트럭을 훔칠 만큼 용감한 녀석들이군. 눈에 띄는 즉시 발포해!"
"Blockpost_Start_psycho_text2"	"내 눈에 트럭이 보이면 전부 죽여 줄 거야! 그건 우리 트럭이니까!"
"Blockpost_Start_psycho_text3"	"하! 트럭 납치범을 붙잡았다. 이제 우리 처벌 담당자에게 달려 있어. 팔과 다리를 묶고 술통에 넣어 도로에서 굴려 버리자!"
"Blockpost_Start_scavengers_text"	"이봐 거기, 생존자! 우우, 저 트럭 왠지 낯이 익잖아. 납치 일은 시작하는 게 아니었는데. 오늘은 날이 괜찮으니, 네게 포기할 기회를 주지."
"Blockpost_Start_scavengers_text2"	"하나-둘, 내 말 들리나? 누군가 우리 트럭을 훔쳤군. 너 내 눈에 띄면, 죽을 줄 알아라."
"Blockpost_Start_scavengers_text3"	"그래, 이건 뭐지? 훔친 트럭이잖아! 버려라. 페달을 밟을 게 붙어 있는 동안 말이야."
"Blockpost_Win_nomads_text"	"운이 없었군! 다음에 만날 때는 처치해 주마!"
"Blockpost_Win_nomads_text2"	"어... 어떻게... 어떻게 된 일이지?"
"Blockpost_Win_nomads_text3"	"안 돼애애, 우리가 패했잖아! 우리 가족에게 전해 줘..."
"Blockpost_Win_psycho_text"	"아아악! 좋아. 네가 이겼다! 다른 놈을 죽여 주지!"
"Blockpost_Win_psycho_text2"	"멋진 사냥감이었어. 우리가 벌을 받아야 한다는 게 아쉽군."
"Blockpost_Win_psycho_text3"	"총알을 맞았군. 그냥 집에 가라. 그 방법뿐이다."
"Blockpost_Win_scavengers_text"	"놈들이 우리 초소를 날려 버리고 트럭을 가져갔어. 망할 녀석들!"
"Blockpost_Win_scavengers_text2"	"우리가 졌다. 젠장!"
"Blockpost_Win_scavengers_text3"	"좋아, 좋아. 네가 이겼다! 하지만 이번뿐이야. 알겠나?"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"설계도를 기반으로 조립할 때 빠진 부품은 같은 유형의 유사한 무작위 부품으로 교체됩니다."
"BLUEPRINT_EXHIBITION_EXPAND"	"확장"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"다른 생존자들과 설계도를 공유하고, 상대방의 평가를 받거나 전시장에서 다운로드할 수 있게 합니다"
"BLUEPRINT_LOAD_TOOLTIP"	"선택한 설계도를 기반으로 보관소의 부품을 사용하여 장갑 차량을 조립합니다"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000이 설계도의 차량을 조립하면 현재 차량이 차고 공간에서 제거됩니다. 계속하시겠습니까?"
"BLUEPRINT_PREVIEW_TOOLTIP"	"서킷에서 장갑 차량을 시험하십시오"
"boar_bundle_vehicle_desc"	"가볍고 민첩한 차량으로 빠르게 대상과의 거리를 좁힌 후 캐빈에 부착된 엄니로 적을 들이받습니다. 하지만 두 개의 '슬렛지해머' 덕분에 이 차량은 근접 거리에서도 탁월한 성능을 발휘합니다."
"boar_bundle_vehicle_name"	"멧돼지"
"Bombrun_Boss_nomads_text"	"저 탑을 어떻게 할지는 다 계획이 있다. 이번에는 널 얕보는 일은 없을 것이다!"
"Bombrun_Boss_nomads_text2"	"내 노력이 부족했던 모양이군. 지도자에게 도움을 요청해야겠다!"
"Bombrun_Boss_nomads_text3"	"젠장! 내 최고의 무기를 써야 할 것 같군. 가자!"
"Bombrun_Boss_psycho_text"	"내 탑이! 왜 그런 짓을 한 거냐?! 이제 내 차에 시동을 걸어 주지. 널 박살 내 주마! 네 내장을 골짜기 전역에 흩뿌려 주마!"
"Bombrun_Boss_psycho_text2"	"탑을 왜 폭파한 거냐? 뭘 얻고자 한 거야? 날 슬프게 했잖아! 내 성격은 가뜩이나 폭발적인데, 네가 거기다 화약을 붓고 있다!"
"Bombrun_Boss_psycho_text3"	"젠장! 자꾸 선물이라고 착각하잖아! 너 같은 두 얼굴의 사기꾼이 대체 어떻게 살아 있는 거지? 내가 내 마음을 아프게 했으니, 얼굴을 아프게 해 주마!"
"Bombrun_Boss_scavengers_text"	"젠장, 강한 놈이군! 큰 총을 꺼내야겠어!"
"Bombrun_Boss_scavengers_text2"	"내가 원했던 일이 아니다! 너희도 알았겠지. 난 원하지 않았지만, 너희가 이렇게 만들었다! 이제 전쟁의 바퀴 아래에서 또 한 명의 희생자가 되어라!"
"Bombrun_Boss_scavengers_text3"	"폭발은 안 돼! 또 일어날 순 없어! 어떤 대가를 치르더라도 널 파괴해 주마!"
"Bombrun_Defeat_nomads_text"	"우리 실수에서 교훈을 배울 때가 됐다."
"Bombrun_Defeat_nomads_text2"	"포기하는 건가? 고맙군. 친절하기도 하지."
"Bombrun_Defeat_nomads_text3"	"여기서 누가 가장 강한지 결정된 것 같이 기쁘구나."
"Bombrun_Defeat_psycho_text"	"이-하! 네가 폭발을 성공시킬 순 없을 거다! 우리가 정정당당히 이긴 것 같으니 말이야."
"Bombrun_Defeat_psycho_text2"	"내 트럭, 내 공주님, 내 보물! 네게 필요할 것 같진 않으니 내가 가져가 주지! 선물을 줘서 고맙다. 행복해서 펑 터져버릴 것 같아!"
"Bombrun_Defeat_psycho_text3"	"아주 이글거리는 장관이었지?"
"Bombrun_Defeat_scavengers_text"	"내 땅에서 폭발은 이제 끝이다! 알겠나?"
"Bombrun_Defeat_scavengers_text2"	"좋아, 좋아... 이제 이 트럭을 내게서 가능한 한 멀리 가져가야 한다."
"Bombrun_Defeat_scavengers_text3"	"훌륭해! 오늘 다른 사람이 터질 일은 없어. 차에서 불에 탈 일도 없고..."
"Bombrun_Def_nomads_text2"	"너 정말 진지하구나. 네가 탑을 폭파할 수 있을 것 같나? 내가 최선을 다해 막아 주마!"
"Bombrun_Def_nomads_text3"	"문을 날려 버렸으니 이제 탑도 차지하겠다고? 정말 말도 안 되는 일이야, 여러분. 수송 차량이 폭발하기 전에 너흴 박살 내 주지!"
"Bombrun_Def_psycho_text"	"터진다! 이봐! 내 영토에서 폭죽을 터뜨릴 수 있는 사람은 없어!"
"Bombrun_Def_psycho_text2"	"이봐, 오일 펌프잖아. 여기에 폭발물 트럭을 주차할 순 없어. 잠깐, 그게 네 계획이야?! 미쳤군! 내가 처리해 주지!"
"Bombrun_Def_psycho_text3"	"이제 됐어. 내 참을성이 바닥났잖아. 넌 해도 너무하구나! 트럭에서 멀어지면 내가 그냥 총으로 쏴 주마."
"Bombrun_Def_scavengers_text"	"트럭이 마침내 멈췄군. 기다릴까? 폭탄이 장착되어 있잖아! 또 다른 탑을 날려 버리기 전에 어서 멈춰!"
"Bombrun_Def_scavengers_text2"	"폭탄이 재깍거리는 소리가 들리는 것 같아... 미쳤군! 카운트다운을 멈춰!"
"Bombrun_Def_scavengers_text3"	"조금만 더 하면 탑이 폭발할 거야! 폭발은 그만! 안 돼! 트럭을 보호할 순 없지!"
"Bombrun_Gate_nomads_text"	"아직은 문이 버티고 있는 동안 돌아갈 수 있을 거야. 하지만 도화선을 조립한 뒤에는 자비를 기대하지 마라."
"Bombrun_Gate_nomads_text2"	"난 거래를 제안하는 거야. 네가 폭탄에 손을 대지 않으면, 우리 문은 그대로 남아 있을 거다... 너희 목숨과 바퀴도 살려 줄 수도 있어! 싫다고? 그래, 마음대로 해라."
"Bombrun_Gate_nomads_text3"	"네가 우리 문을 날려 버릴 거라는 내 생각이 맞는 건가? 미안하지만 그냥 지켜보고 있을 수많은 없겠어. 원래 그런 사람이라서 말이야."
"Bombrun_Gate_psycho_text"	"뭘 보고 있는 거냐? 여기서 꺼져라! 내 폭탄 장난감은 내버려 두고!"
"Bombrun_Gate_psycho_text2"	"문까지 데려다 줘서 고맙군. 정말이야, 그럴 필요 없었어. 이제 내 남자 친구가 날 데리러 올 거야, 알겠지?"
"Bombrun_Gate_psycho_text3"	"질투심에 폭발할 것 같군! 왜 폭탄 차를 가져가는 거야, 일반 차도 몰 수 있을 텐데! 문 옆에 놓아 두면 넌 살려 보내 주겠다. 정말이야."
"Bombrun_Gate_scavengers_text"	"눈이 멀었나? 이 도로는 폐쇄됐어! 여기서 돌아가고 폭탄은 꺼낼 생각도 하지 마. 문을 날려 버리는 건 좋은 생각이 아니니까!"
"Bombrun_Gate_scavengers_text2"	"무슨 생각 하는지 다 알겠어... 안다고... 폭발. 폭발. 그럴 일은 없을 거야!"
"Bombrun_Gate_scavengers_text3"	"이 근처엔 폭탄이 가득해! 안 돼! 안 돼애! 우리가 막겠다."
"Bombrun_nomads_caption"	"제프"
"Bombrun_psycho_caption"	"오스왈드"
"Bombrun_scavengers_caption"	"테르미트"
"Bombrun_Start_nomads_text"	"우리 영토를 찾아오는 여행자들이여, 환영한다! 너희 호송대는 아주 위험해 보이는구나. 멈추지 않으면 무력을 사용하겠다."
"Bombrun_Start_nomads_text2"	"무슨 일로 여기까지 온 거지, 여행자? 초대장도 없이 말이야. 초대받지 않은 손님을 다루는 방법은 하나뿐... 너희를 막아야 하겠다."
"Bombrun_Start_nomads_text3"	"우리 영토에 길 잃은 여행객이라고? 앞쪽 도로는 폐쇄됐다는 경고를 해야 하겠군."
"Bombrun_Start_psycho_text"	"이봐, 우리 구역에서 뭘 하려는 거지? 망할 폭탄 챙겨서 어서 꺼져. 부럽잖아!"
"Bombrun_Start_psycho_text2"	"이봐, 이 정겨운 소리가 뭐지? 그거 폭탄 차야? 아, 그럴 필요 없었어, 친구들, 내 생일도 아닌데!"
"Bombrun_Start_psycho_text3"	"이봐, 이 트럭에 정말 폭탄이 가득 차 있는 거야? 어디서 손에 넣은 거지? 친구가 궁금하다고 해서."
"Bombrun_Start_scavengers_text"	"어딜 가려고? 이 이상한 트럭을 타고 우리 땅을 지나가겠다는 거지. 자, 돌아가!"
"Bombrun_Start_scavengers_text2"	"킁킁. 나만 그런 거야, 아니면 여기서 정말 화약 냄새가 나는 거야? 젠장, 이 트럭엔 폭탄이 설치돼 있어!"
"Bombrun_Start_scavengers_text3"	"이봐, 트럭엔 뭐가 들어 있지? 대답하지 않으면 우리가 멈춰 세워서 직접 확인하겠다!"
"Bombrun_Win_nomads_text"	"다음 번에는 더 잘 준비하겠다."
"Bombrun_Win_nomads_text2"	"네가 이겼다. 솔직히 예상치 못한 일이었어."
"Bombrun_Win_nomads_text3"	"인정해야겠군. 네가 이겼다."
"Bombrun_Win_psycho_text"	"하하, 아무래도 우리가 모두 타버린 것 같군!"
"Bombrun_Win_psycho_text2"	"넌 장난감을 모두 부수기만 하는구나! 너랑 어떻게 일을 할 수가 있겠어?!"
"Bombrun_Win_psycho_text3"	"드디어 제대로 된 폭발이네! 그래, 놈들이 우릴 폭파시킨 거 나도 알아! 그래도 멋졌잖아!"
"Bombrun_Win_scavengers_text"	"아악, 우리가 졌네. 그래도 이젠 불에 탈 필요가 없겠지..."
"Bombrun_Win_scavengers_text2"	"안 돼애애애! 폭발을 막아야 해!"
"Bombrun_Win_scavengers_text3"	"안 돼! 안 돼! 네가 이길 순 없었는데!"
"BOX_A_Name"	"'초보자 컨테이너' 팩"
"BOX_B_Name"	"'신병 컨테이너' 팩"
"BOX_C_Name"	"'장교 컨테이너' 팩"
"BOX_D_Name"	"'부사관 컨테이너' 팩"
"BOX_E_Name"	"'부품 컨테이너' 팩"
"brawl_Boss_henchman2"	"해리"
"brawl_Boss_henchman3"	"마브"
"brawl_Boss_henchman4"	"그루버"
"BRIEFING_WAIT_OTHER_PLAYERS"	"다른 플레이어를 기다리는 중"
"BundleRewardWnd_Duration"	"파괴까지 $time$"
"Bundle_14feb_18_Desc"	"- 특수 장갑 차량: '프랜싱 포니';|- 무기: 자동포 AC43 레이피어 및 MM5-4 벡터 기관총;|- 고유 캐빈: 자키;|- 특수 바퀴: 스탤리언 및 스탤리언(ST);|- 고유 영웅 초상화: 보니;|- 고유 페인트 깡통: 롤리팝;|- 사용 가능한 부품의 수 55개로 증가;|- 고유 스티커: '빠른 죽음';|- 인게임 코인 1000개."
"Bundle_14feb_18_Name"	"'발렌타인 데이' 팩"
"Bundle_14feb_18_womoney_Desc"	"- 특수 장갑 차량: '프랜싱 포니';|- 무기: 자동포 AC43 레이피어 및 MM5-4 벡터 기관총;|- 고유 캐빈: 자키;|- 특수 바퀴: 스탤리언 및 스탤리언(ST);|- 고유 영웅 초상화: 보니;|- 고유 페인트 깡통: 롤리팝;|- 사용 가능한 부품의 수 55개로 증가;|- 고유 스티커: '빠른 죽음'."
"Bundle_ambulance_desc"	"- 특수 장갑 차량 '최후의 치료'|- 무기: 에픽 자동포 'AC72 훨윈드'|- 고유 희귀 캐빈 '핫 로드'|- 고유 경적 '구급차 깜빡이'|- 고유 내구성 부품 '핫 로드'|- 고유 캐릭터 초상화 '모르투스'|- 고유 스티커 '뱀독'|- 페인트 깡통 '역병'|- 사용 가능한 최대 부품 갯수 55개로 증가|- 인게임 코인 1500개"
"Bundle_ambulance_name"	"'유행병' 팩"
"Bundle_ambulance_womoney_desc"	"- 특수 장갑 차량 '최후의 치료'|- 무기: 에픽 자동포 'AC72 훨윈드'|- 고유 희귀 캐빈 '핫 로드'|- 고유 경적 '구급차 깜빡이'|- 고유 내구성 부품 '핫 로드'|- 고유 캐릭터 초상화 '모르투스'|- 고유 스티커 '뱀독'|- 페인트 깡통 '역병'|- 사용 가능한 최대 부품 갯수 55개로 증가"
"Bundle_ambulance_womoney_name"	"'유행병' 팩"
"Bundle_boar_desc"	"- 특수 장갑 차량: '멧돼지'|- 무기: 희귀 산탄총 '슬레지해머'|- 고유 캐빈 '엄니', 충돌 시 적에게 피해|- 고유 영웅 초상화: '사냥꾼' |- 고유 페인트: '멧돼지 머릿가죽'|- 고유 스티커 '야수의 눈'|- 사용 가능한 최대 부품 갯수 55개로 증가|- 인게임 코인 1000개"
"Bundle_boar_name"	"'야생동물 사냥' 팩"
"Bundle_boar_womoney_desc"	"- 특수 장갑 차량: '멧돼지'|- 무기: 희귀 산탄총 '슬레지해머'|- 고유 캐빈 '엄니', 충돌 시 적에게 피해|- 고유 영웅 초상화: '사냥꾼' |- 고유 페인트: '멧돼지 머릿가죽'|- 고유 스티커 '야수의 눈'|- 사용 가능한 최대 부품 갯수 55개로 증가"
"Bundle_boar_womoney_name"	"'야생동물 사냥' 팩"
"Bundle_fiery_claw_Desc"	"- 특수 중형 차량: '용암새';|- 자동포 'AC43 레이피어', 20mm;|- 고유 캐릭터 초상화: '대기의 주술사';|- 페인트 깡통: '패턴: 용암';|- 사용 가능한 최대 부품 갯수 55개로 증가;|- 인게임 코인 500개."
"Bundle_fiery_claw_Name"	"'용암새' 팩"
"Bundle_Firestarters_Desc"	"- 특수 장갑 차량 나사송곳 위의 '들불'|- 무기: 희귀 산탄총 '쓰레기활' 2문|- 고유 캐빈: 에픽 희귀도의 '케르베로스'|- '방화범' 파벌의 내구성 부품 미리 사용 가능|- 고유 캐릭터 초상화: '시뻘건 열기'|- 고유 스티커 '염소자리'|- 고유 페인트 깡통: 유물 희귀도의 '화염 샐러맨더'|- 사용 가능한 부품의 수 60개로 증가|- 인게임 코인 3800개"
"Bundle_Firestarters_Name"	"'방화범' 팩"
"Bundle_Firestarters_womoney_Desc"	"- 특수 장갑 차량 나사송곳 위의 '들불'|- 무기: 희귀 산탄총 '쓰레기활' 2문|- 고유 캐빈: 에픽 희귀도의 '케르베로스'|- '방화범' 파벌의 내구성 부품 미리 사용 가능|- 고유 캐릭터 초상화: '시뻘건 열기'|- 고유 스티커 '염소자리'|- 고유 페인트 깡통: 유물 희귀도의 '화염 샐러맨더'|- 사용 가능한 부품의 수 60개로 증가"
"Bundle_Firestarters_womoney_Name"	"'방화범' 팩"
"Bundle_Football_Desc"	"- 특수 장갑 차량: '팬 밴';|- 특수 경적: '부부젤라';|- 특별 장식: '블랙 앤 블루' 플레어 및 '레드 아이' 플레어;|- 특수 영웅 초상화: 헥터;|- 고유 스티커: '게임 속의 볼';|- 고유 페인트 깡통: '챔피언십으로!';|- 사용 부품 수 최대 40개로 증가;|- 게임 코인 500개."
"Bundle_Football_Name"	"'제3하프' 팩"
"Bundle_Football_womoney_Desc"	"- 특수 장갑 차량: '팬 밴';|- 특수 경적: '부부젤라';|- 특별 장식: '블랙 앤 블루' 플레어 및 '레드 아이' 플레어;|- 특수 영웅 초상화: 헥터'|- 고유 스티커: '게임 속의 볼';|- 고유 페인트 깡통: '챔피언십으로!';|- 사용 부품 수 최대 40개로 증가."
"Bundle_Football_womoney_Name"	"'제3하프' 팩"
"Bundle_Hunter_Desc"	"- 특수 장갑 차량 '비터'|- 무기: 고유 에픽 기뢰부설차 '카프칸'|- 추가 무기: 강력한 '슬렛지해머' 산탄총 3문|- 고유 캐빈 '유령'|- 고유 캐릭터 초상화: '늑대사냥개'|- 고유 스티커 '굶주림' 2개|- 고유 페인트 깡통: '안개 낀 습지'|- 사용 가능한 최대 부품 갯수 55개로 증가|- 인게임 코인 2650개"
"Bundle_Hunter_Name"	"'망령 사냥꾼' 팩"
"Bundle_Hunter_womoney_Desc"	"- 특수 장갑 차량 '비터'|- 무기: 고유 에픽 기뢰부설차 '카프칸'|- 추가 무기: 강력한 '슬렛지해머' 산탄총 3문|- 고유 캐빈 '유령'|- 고유 캐릭터 초상화: '늑대사냥개'|- 고유 스티커 '굶주림' 2개|- 고유 페인트 깡통: '안개 낀 습지'|- 사용 가능한 최대 부품 갯수 55개로 증가"
