"2STEP_AUTHORIZATION_ENABLED"	"あなたのアカウントは保護されています。"
"Blockpost_Defeat_nomads_text"	"無駄です。戻ってくる前に2度考えなさい。貴方が何かを学習する場合2度で十分かは分かりませんが。"
"Blockpost_Defeat_nomads_text2"	"いつも同じ終わり方だ。"
"Blockpost_Defeat_nomads_text3"	"君の家族には訃報を届けてあげよう。安心しろ。"
"Blockpost_Defeat_psycho_text"	"HAHAHAHA！私のものが、貴方のものになって、そしてまた私のものになった。  わかりますか？！つまり、貴方は私の車両を盗もうとしたんです。"
"Blockpost_Defeat_psycho_text2"	"1、2、3、4、5。静かに。笑ったやつには死をーいや…それでも十分ではないですね！"
"Blockpost_Defeat_psycho_text3"	"ワン、ツー、アウトー！"
"Blockpost_Defeat_scavengers_text"	"捕まえたぞ！スカベンジャーのものを盗もうだなんて、バカな奴らめ！"
"Blockpost_Defeat_scavengers_text2"	"元々は俺達のもので、一度はてめぇに取られたが今はまた俺達のものだ。これ以上トラックを盗もうとするんじゃねぇ。"
"Blockpost_Defeat_scavengers_text3"	"以上、おわりだ。"
"Blockpost_Post1_nomads_text"	"死にたくなければ止まりなさい、今すぐ武器を捨てるのです！"
"Blockpost_Post1_nomads_text2"	"諦めるか、退け、これが最後のチャンスだ。この先の前哨基地に待ち構えているのは死だけだ。"
"Blockpost_Post1_nomads_text3"	"このトラックのハイジャック犯は君にいくら払うんだ？もっと払うぞ。言えないのか？じゃあ武器に話させてやるよ！"
"Blockpost_Post1_psycho_text"	"何を企てているのですか？いいでしょう、ぶっ潰して差し上げます！"
"Blockpost_Post1_psycho_text2"	"私はパンを買ってから散歩に出ることにしよましょう。だってゲートをくぐると貴方は直ぐに死んでしまうでしょうからね！"
"Blockpost_Post1_scavengers_text"	"まだこんな所にいんか！渋滞でとまってるのか？チェックポイントにブロックされているのか？急いでるんじゃねぇのか？"
"Blockpost_Post1_scavengers_text2"	"ゴホン、ドーザーだ。ここで止まれ。"
"Blockpost_Post1_scavengers_text3"	"てめぇは思ったより馬鹿だな。じっとしろ！車両を返せ！どのみち前哨基地を通ることはできねぇよ。"
"Blockpost_Post2_nomads_text2"	"習うより慣れろ、だと？まぁいい。成果を見せてみろ。もっと練習しろ。"
"Blockpost_Post2_psycho_text"	"冗談でしょ？！まだ生きてるんですか？もう撃つのをやめなさい、我々が手を下すほどでもないでしょう。あとは私のタワーが貴方のケツをぶっ飛ばしてくれますよ。"
"Blockpost_Post2_psycho_text2"	"前哨部隊を偵察しましたが、強いですよ。まだタイヤが動くうちに逃げたほうがいいでしょう！"
"Blockpost_Post2_psycho_text3"	"第2の前哨基地にいるのは、王、王女、王子…そしてここにやって来た人たちの骸骨です！"
"Blockpost_Post2_scavengers_text"	"まだ考えが変わらねぇのか？じゃあこれを突破して見せろ！2つ目の前哨基地はより手強いぞ。"
"Blockpost_Post2_scavengers_text2"	"撃て、撃ちまくれ！前哨部隊のことは忘れろ。とにかく撃ちまくれ。"
"Blockpost_Post2_scavengers_text3"	"何？！まだ生きてるのか？攻撃をやめろ、うまく狙えねぇ！俺たちのターレットがてめぇをぶっ飛ばしてくれるわ。"
"Blockpost_Post3_nomads_text"	"もはや交渉の余地はありません。貴方達が諦めないのなら、 全力で行かせて頂きます。"
"Blockpost_Post3_nomads_text2"	"遠くへ来たのを喜ぶのはまだ早い。遠くへ行けば行くほど、我々がお前を打ち砕く時に使うタイヤが大きくなる。"
"Blockpost_Post3_nomads_text3"	"お前とお前の罪はここまでだ！正義のマシーンを食らえ！"
"Blockpost_Post3_psycho_text"	"もーー我慢ならなりません！そろそろくたばりなさい！|自分たちの車とか言いましたね？貴方の運転手が盗んで、私達を騙した…ああ、そう！話を聞かないあんたが悪いのです。|皆さん！エンジンの雄叫びを上げるのです！"
"Blockpost_Post3_psycho_text2"	"5、4、3、2、1。カウント方法を知っているでしょ。他に言うこともないし、ボスのパーツでも射撃してみます？！"
"Blockpost_Post3_psycho_text3"	"1、2、3、4、5…生存者の皆さんが飛び込んだみたいですね。でーもー、サメが現れて彼らの耳を喰いちぎってしまうでしょうね！"
"Blockpost_Post3_scavengers_text"	"最後の警告だ！今諦めれば、生かしてやる！俺らのチャンピオンに勝る奴は誰もいねぇ！"
"Blockpost_Post3_scavengers_text2"	"止まれ、お前の輸送団をこれ以上先へ進ませねぇ。俺らの輸送団を連れてくるぞ！"
"Blockpost_Post3_scavengers_text3"	"諦めたいだと？遅かったな、リーダーはもうエンジン全開だぜ！"
"Blockpost_psycho_caption"	"リューウィス"
"Blockpost_scavengers_caption"	"ドーザー"
"Blockpost_Start_nomads_text"	"皆に平和あれ！君たちが今護衛している輸送機はノーマッドの所有物だ。我々はそれを返して欲しい。もし攻撃を受けたとしても、自分自身を恨むことだ。"
"Blockpost_Start_nomads_text2"	"我々の土地に不法侵入した最後の5人の負け犬達が、タイヤなしで荒野をさまよっている。盗人にはどんな運命が待ち受けているのかわかったか？"
"Blockpost_Start_nomads_text3"	"このトラックのハイジャック犯は君にいくら払うか教えてくれないか？もっと払ってあげるよ。でもダメだ。ハイジャック犯とはうまくやれる気がしない。"
"Blockpost_Start_psycho_text"	"私達から物を盗むなんて、頭がおかしいようですね？！鉛玉のプレゼントを差し上げましょう！"
"Blockpost_Start_psycho_text2"	"「死」と書かれたトラックを私の小さな目が確認しました！それは私のトラックですよ！"
"Blockpost_Start_psycho_text3"	"ハハッ！ハイジャック犯を捕まえましたよ！どうなるかは処刑人次第ですね。手や脚をもぎ取って樽に入れて道路に捨ててしまいましょう！"
"Blockpost_Start_scavengers_text"	"よお、生存者ども！事を起こしたのが運の尽きだな。このトラックは盗まれたものだ！欲しいのか？今すぐ帰れ、さもないと生存者でいられなくなるぞ。"
"Blockpost_Start_scavengers_text2"	"ひとつ、ふたつ、聞こえるか？誰かにトラックを盗まれた。犯人を見つけたらただじゃおかねえぞ。"
"Blockpost_Start_scavengers_text3"	"ここにあるのは何だ？盗んだトラックだ！やめろ。ペダルを踏む足があるうちにやめとけ！"
"Blockpost_Win_nomads_text"	"運が悪かったようです！しかし次に相まみえる時こそ！"
"Blockpost_Win_nomads_text2"	"ど、どうやった？どうやったらこんな事が起こるんだ？"
"Blockpost_Win_nomads_text3"	"なんということだ、負けてしまった！家族に伝えてくれ…"
"Blockpost_Win_psycho_text"	"クソッ、分かりました、貴方の勝ちですよ！"
"Blockpost_Win_psycho_text2"	"楽しいゲームでした。罰せられてしまったのは残念ですが。"
"Blockpost_Win_psycho_text3"	"弾丸を手に入れましたね…帰ってください、それしか持って無いんです！"
"Blockpost_Win_scavengers_text"	"全部のチェックポイントは破壊されて、トラックも持っていかれた。|クソ野郎！"
"Blockpost_Win_scavengers_text2"	"負けちまった。ちくしょう！"
"Blockpost_Win_scavengers_text3"	"わかった、わかったよ。お前の勝ちだ！だが今回だけだ。わかったか？"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"設計図からの組み立て中、足りないパーツは同タイプのパーツでランダムに代替されます。"
"BLUEPRINT_EXHIBITION_EXPAND"	"拡大"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"他のプレイヤーがギャラリーで評価したりダウンロードできるよう、設計図をシェアしましょう。"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"リヴァイアサンが現在バトル中のため、設計図を読み込めませんでした。まずガレージに戻ってください。"
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"リヴァイアサンが現在使用不可のため、設計図を読み込めませんでした。数分後に再度お試しください。"
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"設計図を読み込めませんでした。先に、最後のバトルでリヴァイアサンが獲得した報酬を受け取る必要があります。"
"BLUEPRINT_LOAD_TOOLTIP"	"ストレージ内のパーツを使用して、厳選された設計図を基に装甲車両を組み立てる。"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000この設計図をロードするとガレージスペースにある現在の車両が削除されます。続けますか？"
"BLUEPRINT_PREVIEW_TOOLTIP"	"プロトタイプをテストする。"
"boar_bundle_vehicle_desc"	"軽量かつ俊敏な車輛で、ターゲットとの距離を一気に詰めて、キャビンについた牙で敵に襲いかかる事ができる。さらに、二丁の「スレッジハンマー」のお陰で、近距離戦でもよい働きを見せます。"
"boar_bundle_vehicle_name"	"ボア"
"Bombrun_Boss_nomads_text"	"タワーを使った計画が合ったのに台無しだ。もう油断はするまい。"
"Bombrun_Boss_nomads_text2"	"私の考えが甘かったようだな。リーダーに助けを求めるぞ！"
"Bombrun_Boss_nomads_text3"	"くそっ！武器庫の最強兵器を使わざるをえなくなった。行くぞ！"
"Bombrun_Boss_psycho_text"	"あたしのタワーが！何してくれてんのよ！今からあんた達の所にいくわよ。あんた達ぶっ潰してやるわ！あんた達の内臓をこの渓谷にぶちまけてやるわよ！"
"Bombrun_Boss_psycho_text2"	"手に入れたタワーをなんで吹き飛ばしたの？残念だわ！あたしの爆発的なセンスで、あんたをガンパウダーで味付けしてやるんだから。"
"Bombrun_Boss_psycho_text3"	"もうっ！これはプレゼントだって思ってたのに！あんたみたいな詐欺師は心が傷まないの？あたしの純情を踏みにじった罰として、あんたの顔をグチャグチャにしてやる！"
"Bombrun_Boss_scavengers_text"	"くそ、強いなお前は！強力な武器を用意をしろ！"
"Bombrun_Boss_scavengers_text2"	"こんなものいらん！こんなのものいらなかったのに、お前のせいだぞ！戦争の犠牲になったのだ！"
"Bombrun_Boss_scavengers_text3"	"爆破をやめろ！二度とやるな！どれだけの資源が使ってでも、お前を潰す！"
"Bombrun_Defeat_nomads_text"	"失敗から学ぶがいい…。"
"Bombrun_Defeat_nomads_text2"	"諦めたか？最高だな。"
"Bombrun_Defeat_nomads_text3"	"この地で誰が最強なのかわかって嬉しいよ。"
"Bombrun_Defeat_psycho_text"	"アハッ！あんたに勝ちは譲らないわよ！泣いたって許さいなわ。正々堂々勝ったんですもの。"
"Bombrun_Defeat_psycho_text2"	"あたしの大事なトラックとお姫様！あなたには必要ないでしょうから、あたしが貰うわ！プレゼントをありがとね。嬉しくて爆発しそうよ！"
"Bombrun_Defeat_psycho_text3"	"と～っても魅力的なショーだったわね！？"
"Bombrun_Defeat_scavengers_text"	"俺の土地で車の爆破をするな、分かったか？"
"Bombrun_Defeat_scavengers_text2"	"いいぞいいぞ…自爆トラックはできるだけ遠く離れた場所へ持っていくぞ。"
"Bombrun_Defeat_scavengers_text3"	"素晴らしい！誰も爆破してないぞ。車も燃やしていない…"
"Bombrun_Def_nomads_text2"	"お前正気か？タワーを爆破できるとおもってるのか？残念ながら容赦はしないぞ！"
"Bombrun_Def_nomads_text3"	"ゲートを爆破しておいて、タワーが欲しいだと？お前たち、それは理不尽だろう。輸送車が爆発する前にお前を始末してやる！"
"Bombrun_Def_psycho_text"	"なんなの！？リグがぶっ飛びそうよ！あたしたちの縄張りで花火をおっぱじめるのは許さないわよ！あんた達、やってしまいなさい！"
"Bombrun_Def_psycho_text2"	"見て、オイルポンプよ。自爆トラックをここに停めるるのは危ないしやらないわよね。ちょっと、計画はむしろそれ？ばっかじゃないの！とっ捕まえてやるわ！"
"Bombrun_Def_psycho_text3"	"終わりよ、あたしの我慢も限界！あんたはやり過ぎたのよ！トラックから離れなさい！さもなければ撃つわよ。"
"Bombrun_Def_scavengers_text"	"トラックがやっと止まった。おい待て！あいつら爆破しようとしてるぞ！|タワーを破壊される前にあいつらを止めろ！"
"Bombrun_Def_scavengers_text2"	"起爆装置の音がする…お前正気か？カウントダウンを止めろ！"
"Bombrun_Def_scavengers_text3"	"今にもタワーが爆発しそうだ！もう爆破はこりごりだ！やめろ！トラックは守れないぞ！"
"Bombrun_Gate_nomads_text"	"ゲートが閉じてる今ならまだ戻れるぞ。だが、爆発物を組み立てた後は覚悟した方がいい。"
"Bombrun_Gate_nomads_text2"	"提案だ。お前たちが爆発物に触らなければゲートは無傷だ...それどころかお前の命とタイヤも生き延びることができる。無理だと？なら好きにしろ。"
"Bombrun_Gate_nomads_text3"	"お前は我々のゲートを爆破しうとしているよな？そうだろ？悪いがただ我慢して見過ごすわけにはいかない。そうやって育ってきたからな。"
"Bombrun_Gate_psycho_text"	"な～に見てんのよっ。ここから消え失せなさい！あたしの爆発する玩具にさわっちゃだめよ！"
"Bombrun_Gate_psycho_text2"	"まぁ、ゲートまで連れてきてくれたことには感謝しているわ。本当はしたくないけど。ボーイフレンドがあたしを迎えにきてくれるの、分かった？"
"Bombrun_Gate_psycho_text3"	"嫉妬で爆発しそうよ！なんで自爆車両を選んだのよ！普通の車両でもよかったじゃない！それをゲートに置いておけば通してややってもいいわ。本当よ。"
"Bombrun_Gate_scavengers_text"	"目が見えないのか？道が塞がれてることが分からないのか！もと来た道に戻れ！おい、爆発物には触るなよ。爆破は良いアイディアじゃない！"
"Bombrun_Gate_scavengers_text2"	"お前が考えていることは分かっている...そうだ...爆破だ。爆破。させるものか！"
"Bombrun_Gate_scavengers_text3"	"爆発物がそこら中にあるだと？！おい、やめろ！お前を止めてやる。"
"Bombrun_nomads_caption"	"ジェフ"
"Bombrun_psycho_caption"	"オズワルド"
"Bombrun_scavengers_caption"	"テルミット"
"Bombrun_Start_nomads_text"	"我が領地によく来たな。だが、そのやばそうなトラックを今すぐ止めろ。さもなくば武力行使に出るぞ。"
"Bombrun_Start_nomads_text2"	"何故ここに来た？旅行者か？誰も呼んでないぞ。呼んでもない奴にやることは一つしか無い。さて止まってもらおうか。"
"Bombrun_Start_nomads_text3"	"我々のテリトリーに迷い込んだ旅人か何かか？警告だ、ここから先の道は閉ざされている。"
"Bombrun_Start_psycho_text"	"ちょっと、あたし達の領土で何がしたいの？爆弾と一緒に私達の土地から出ていきなさい、妬ましい！"
"Bombrun_Start_psycho_text2"	"あら、この楽しそうな音は何かしら？自爆トラック？やめてちょうだい、あたしの誕生日じゃないのよ！"
"Bombrun_Start_psycho_text3"	"ちょっと、本当にこのトラックには爆発物が積まれているの？どこで手に入れたの？友達として教えてほしいわ。"
"Bombrun_Start_scavengers_text"	"どこへ行くつもりだ？このふざけたトラックで我々の土地を横断する気か。聞こえなかったか？出て行け！"
"Bombrun_Start_scavengers_text2"	"ふむ…。気のせいか？これは火薬の匂いじゃないか？くそっ、自爆トラックだ！"
"Bombrun_Start_scavengers_text3"	"おい、お前、トラックには何が入っているんだ？答えないなら、トラックを止めてこの目で見てやる！"
"Bombrun_Win_nomads_text"	"次回はより一層準備を整えてこよう。"
"Bombrun_Win_nomads_text2"	"お前の勝ちだ。予想外だったことを認めねばな。"
"Bombrun_Win_nomads_text3"	"認めなければな…お前の勝ちだ。"
"Bombrun_Win_psycho_text"	"ハッハー！\"お勤めご苦労さま\"ってね！"
"Bombrun_Win_psycho_text2"	"あたしのオモチャを全部壊したわね！あんたなんか知らないんだから！"
"Bombrun_Win_psycho_text3"	"ドッカーン！あたし達を怒らせたわね！あんた最ッ高だわ！！"
"Bombrun_Win_scavengers_text"	"あぁ、負けだ。まぁ、もうこれ以上燃やすのはやめてくれ......。"
"Bombrun_Win_scavengers_text2"	"やめろおお！爆破を止めることができなかった……。"
"Bombrun_Win_scavengers_text3"	"違う！違う！お前が勝てるはずがない！"
"BOX_A_Name"	"「ルーキーのコンテナ」パック"
"BOX_B_Name"	"「新兵のコンテナ」パック"
"BOX_C_Name"	"「オフィサーのコンテナ」パック"
"BOX_D_Name"	"「サブオフィサーのコンテナ」パック"
"BOX_E_Name"	"「パーツのコンテナ」パック"
"brawl_Boss_henchman2"	"ハリー"
"brawl_Boss_henchman3"	"マーフ"
"brawl_Boss_henchman4"	"グルーバー"
"BRIEFING_PRIZE_CONDITION_DESC"	"バトルを無事に完了するには、場所を1から$minPlace$箇所確保する。"
"BRIEFING_WAIT_OTHER_PLAYERS"	"他のプレイヤーが参加するまで待機中"
"BundleRewardWnd_Duration"	"使用期限 $time$"
"Bundle_14feb_18_Desc"	"ユニーク装甲車両：「プランシングポニー」|武器：「オートキャノンAC43レイピアとMM5-4ベクターマシンガン」|ユニークキャビン：「ジョッキー」|スペシャルタイヤ: スタリオンとスタリオン（ST）|ユニークヒーローポートレイト：「ボニー」|ユニークスプレー缶「パターン：ロリポップ」|使用可能なパーツ数を55まで増加|ユニークステッカー：「クイック&デッド」|ゲーム内コイン1000枚"
"Bundle_14feb_18_Name"	"「バレンタインデー」パック"
"Bundle_14feb_18_womoney_Desc"	"ユニーク装甲車両：「プランシングポニー」|武器：「オートキャノンAC43レイピアとMM5-4ベクターマシンガン」|ユニークキャビン：「ジョッキー」|スペシャルタイヤ: スタリオンとスタリオン（ST）|ユニークヒーローポートレイト：「ボニー」|ユニークスプレー缶：「パターン：ロリポップ」|使用可能パーツ数を55まで増加|ユニークステッカー：「クイック&デッド」"
"Bundle_ambulance_desc"	"- ユニーク装甲車両：ラストエイド|- 武器：レア度エピックオートキャノン「AC72 ワールウィンド」|- ユニークキャビン：レア度レア「ホットロッド」|- ユニークホーン：「救急車の警光灯」|- ユニーク外装パーツ：「ホットロッド」|- ユニークキャラクターポートレート：「モータス」|- ユニークステッカー「スネイクヴェノム」|- ペイント缶 ：「疫病」|- 使用可能なパーツ数を55まで増加|- ゲーム内コイン1500枚"
"Bundle_ambulance_name"	"「パンデミック」パック"
"Bundle_ambulance_womoney_desc"	"- ユニーク装甲車両：ラストエイド|- 武器：レア度エピックオートキャノン「AC72 ワールウィンド」|- ユニークキャビン：レア度レア「ホットロッド」|- ユニーククラクション「救急車の警光灯」|- ユニーク外装パーツ「ホットロッド」|- ユニークキャラクターポートレート：「モータス」|- ユニークステッカー：「スネイクヴェノム」|- ペイント缶 ：「疫病」|- 使用可能なパーツ数を55まで増加"
"Bundle_ambulance_womoney_name"	"「パンデミック」パック"
"Bundle_boar_desc"	"ユニーク装甲車両：「ボア」|武器：レア度レア「スレッジハンマー」ショットガン2個|ユニークキャビン「牙」、衝突ダメージあり|ユニークヒーローポートレート：「イエーガー」|ユニークペイント缶：「ボアスカルプ」|ユニークステッカー：「獣の目」|使用可能なパーツ数を55まで増加|ゲーム内コイン1000枚|"
"Bundle_boar_name"	"「ワイルドハント」パック"
"Bundle_boar_womoney_desc"	"ユニーク装甲車両：「ボア」|武器：レア度レア「スレッジハンマー」ショットガン2個|ユニークキャビン「牙」、衝突ダメージあり|ユニークヒーローポートレート：「イエーガー」|ユニークペイント缶：「ボアスカルプ」|ユニークステッカー：「獣の目」|使用可能なパーツ数を55まで増加|"
"Bundle_boar_womoney_name"	"「ワイルドハント」パック"
"Bundle_fiery_claw_Desc"	"ユニーク装甲車両：「ラーヴァバード」|オートキャノン：「20mm AC43 レイピア」|ユニークポートレート：「エアシャーマン」|スプレー缶：「パターン：溶岩」|使用可能なパーツ数を55まで増加|ゲーム内コイン500枚"
"Bundle_fiery_claw_Name"	"「ラーヴァバード」パック"
"Bundle_Firestarters_Desc"	"- ユニーク装甲車両「ワイルドファイア」オーガー付き|- 武器：レア度レアショットガン「ジャンクボウ」2個|- ユニークキャビン：レア度エピック「ケルベロス」|- ファクション「ファイアスターター」パーツの早期アクセス|- ユニークキャラクターポートレート「レッドホット」|- ユニークステッカー：「カプリコーン」|- スプレー缶：レア度レリック「ファイアサラマンダー」|- 使用可能なパーツ数を60まで増加|- ゲーム内コイン3800枚"
"Bundle_Firestarters_Name"	"「パイロマニア」パック"
"Bundle_Firestarters_womoney_Desc"	"- ユニーク装甲車両：「ワイルドファイア」オーガー付き|- 武器：レア度レアショットガン「ジャンクボウ」2個|- ユニークキャビン：レア度エピック「ケルベロス」|- ファクション「ファイアスタータ―」パーツの早期アクセス|- ユニークキャラクターポートレート：「レッドホット」|- ユニークステッカー：「カプリコーン」|- スプレー缶：レア度レリック「ファイアサラマンダー」|- 使用可能なパーツ数を60まで増加|"
"Bundle_Firestarters_womoney_Name"	"「パイロマニア」パック"
"Bundle_Football_Desc"	"ユニーク装甲車両：「ファン・バン」|ユニーククラクション：「ブブゼラ」 |ユニーク装飾：「黒と青」のフレアと「赤い目」のフレア|ユニークヒーローポートレート：「ヘクター」|ユニークステッカー：「ゲーム内のボール」|ユニークスプレー缶：「チャンピオンシップへ！」 |使用可能なパーツ数を40まで増加|ゲーム内コイン500枚"
"Bundle_Football_Name"	"「サードハーフ」パック"
"Bundle_Football_womoney_Desc"	"ユニーク装甲車両：「ファン・バン」|ユニーククラクション：「ブブゼラ」 |ユニーク装飾：「黒と青」のフレアと「赤い目」のフレア|ユニークヒーローポートレート：「ヘクター」|ユニークステッカー：≪ゲーム内のボール≫|ユニークスプレー缶：「チャンピオンシップへ！」 |使用可能なパーツ数を40まで増加|"
"Bundle_Football_womoney_Name"	"「サードハーフ」パック"
"Bundle_Hunter_Desc"	"- ユニーク装甲車両：「ビーター」|- 武器：レア度エピックのユニーク地雷投射機「カプカン」|- 追加武器：強力なショットガン「スレッジハンマー」3個|- ユニークキャビン：「ゴースト」|- ユニークキャラクターポートレート：「ウルフハウンド」|- ユニークステッカー：「ハンガー」2個|- ユニークスプレー缶：「霧がかった沼地」|- 使用可能なパーツ数を55まで増加|- ゲーム内コイン2650枚"
"Bundle_Hunter_Name"	"「スペクトルハンター」パック"
"Bundle_Hunter_womoney_Desc"	"- ユニーク装甲車両：「ビーター」|- 武器：レア度エピックのユニーク地雷投射機「カプカン」|- 追加武器：強力なショットガン「スレッジハンマー」3個|- ユニークキャビン：「ゴースト」|- ユニークキャラクターポートレート：「ウルフハウンド」|- ユニークステッカー：「ハンガー」2個|- ユニークスプレー缶：「霧がかった沼地」|- 使用可能なパーツ数を55まで増加"
"Bundle_Hunter_womoney_Name"	"「スペクトルハンター」パック"
"Bundle_Landing_cabin_Name"	"スペシャルギフト"
"Bundle_Landing_weapon_Desc"	"ーLM-54 コード マシンガン|ーソードオフ ショットガン|ー57㎜ アベンジャー キャノン||今または後で入手したパーツを使用することができる。パーツは「ストレージ」に入っている"
"Bundle_Landing_weapon_Name"	"スペシャルギフト"
"Bundle_Sportcar_Name"	"「コリーダ」パック"
"Bundle_WW1_Desc"	"- ユニーク装甲車両：マーク EX|- 武器：レア度レアフロントマシンガン「ST-M23 ディフェンダー」2個、レア度エピックターレット・キャノン「ZS-34インプロージョン」|- ユニーク無限軌道：レア度エピックゴリアテクローラー2個|- ユニークキャラクターポートレート：ミッチェル中尉|- ユニークステッカー：「ドッグオブウォー」2個|- ユニークスプレー缶：ソロモンパターン|- 使用可能なパーツ数を55まで増加|- ゲーム内コイン3400枚"
"Bundle_WW1_name"	"「アイアンシールド」パック"
"Bundle_WW1_womoney_Desc"	"- ユニーク装甲車両：マーク EX|- 武器：レア度レアフロントマシンガン「ST-M23 ディフェンダー」2個、レア度エピックターレット・キャノン「ZS-34インプロージョン」|- ユニーク無限軌道：レア度エピックゴリアテクローラー2個|- ユニークキャラクターポートレート：ミッチェル中尉|- ユニークステッカー：「ドッグオブウォー」2個|- ユニークスプレー缶：ソロモンパターン|- 使用可能なパーツ数を55まで増加|"
"Bundle_WW1_womoney_name"	"「アイアンシールド」パック"
"Bundle_Xmas17_Desc"	"ユニーク装甲車両：「アイスブレイカー」|ユニークキャビン：レア度エピック「アイスボックス」|武器：レア度エピックフロントマシンガン「ST-M26タックラー」2個|エンジン：レーザーバック、武器クーラー|ユニークヒーローポートレート：「ジャック・フロスト」|スプレー缶：「コールド・フレーム」、マテリアル：アルミニウム」|使用可能なパーツ数を55まで増加|コイン 2100枚"
