"2STEP_AUTHORIZATION_ENABLED"	"Dein Konto ist geschützt."
"avatar_battletest_desc"	"Ein Austauschstudent an einer angesehenen Universität, arbeitete nebenbei als Friseur, kleidete sich modisch und feierte wie alle anderen auch. Das Leben bereitete ihn nicht auf die Katastrophe vor, aber als die Welt zusammenbrach, blieb er fest auf den Beinen. Gedanken über seine Familie zogen über den Ozean, und der brennende Wunsch, sie wiederzusehen, lässt ihn weiterleben und kämpfen."
"avatar_bot_desc"	"Seine Plastikaugen sahen Dinge, die jeden Überlebenden grau werden ließen. Er erinnert sich an die wilde Zeit, als ein Treffen mit dem Sensenmann den bevorstehenden Tod bedeutete. Als das Ödland voller Maschinen war, die den Gesetzen der Physik trotzten. Wenn jede Reise am Ende alle Teile komplett zerstören konnte. Als die Bäume groß waren. Weint oder lächelt er?"
"avatar_cbt_desc"	"Als die Raider von seinem neu entdeckten Talent erfuhren, organische Materie in Metall zu verwandeln, wurde er aufgespürt, in einer Höhle gefangen gehalten und dazu gezwungen, Gold aus Knochen zu produzieren. Er wurde von Engineers befreit und floh ins Ödland, um vor Menschen abgeschottet, sich der Lebensweise der Tiere anzuschließen.|Und doch ist es ein großer Erfolg, diesen verloren geglaubten Menschen zu treffen. Trotz der Prüfungen, die er ertragen hat, erhält er sich einen frohen Geist und ist immer dazu bereit, seinem Nachbarn zu helfen."
"avatar_cbt_name"	"Otherkin"
"avatar_default_desc"	"Er hörte auf zu altern, da er vom Crossout-Virus betroffen war. So erklärte er, warum er in all den Jahren keine einzige Falte bekommen hat. Aber nach einigen zufälligen Aussagen zu urteilen, ist er viel, viel älter als er aussieht."
"avatar_default_name"	"Kai"
"avatar_gamescom2017_name"	"Mickey"
"avatar_gm_etc_desc"	"Wenn du im Ödland einen GMO-Abzeichenträger triffst, ist es zu spät, um in Panik zu geraten. Natürlich kann man immer noch durch einen gefallenen Meteoriten oder eine hungrige Chimäre gerettet werden, aber höchstwahrscheinlich werden deine Proteine und Aminosäuren vom Wirt getrennt und einem größeren Ziel dienen. Schließlich gehörten diejenigen, die ein solches Abzeichen trugen, zu den ersten, die vom Crossout getroffen wurden, und erkannten, welche Möglichkeiten sich daraus ergeben würden. Sie glauben, dass hinter der Katastrophe ein Superhirn steckt und sie versuchen, Kontakt zu ihm aufzunehmen und Opfer zu bringen."
"avatar_gm_etc_name"	"Shadow"
"BINDING_NAME_autobuild"	"Automatischer Zusammenbau"
"BINDING_NAME_mapScaleDec"	"Karte verkleinern"
"BINDING_NAME_mapScaleInc"	"Karte vergrößern"
"Blockpost_Defeat_nomads_text"	"Ein verschwendeter Spielzug. Denkt zweimal darüber nach, bevor ihr wieder kommt. Aber ich bin mir nicht sicher, ob zwei Mal genug ist, um etwas zu lernen."
"Blockpost_Defeat_nomads_text2"	"Es endet immer gleich."
"Blockpost_Defeat_psycho_text"	"Eins, zwei, drei — das Leben unserer Feinde ist VORBEI!"
"Blockpost_Defeat_psycho_text2"	"Eins, zwei, drei, vier, fünf — jetzt seid ruhig. Wer lacht, stirbt noch einmal — es ist nicht genug!"
"Blockpost_Defeat_psycho_text3"	"Eins, zwei, und sie sind draußen!"
"Blockpost_Defeat_scavengers_text"	"Habt ihr bekommen was ihr verdient? Trucks von den Scavengers zu stehlen ist einfach nur dumm!"
"Blockpost_Defeat_scavengers_text2"	"Es war unser, dann euer und dann wieder unser. Ha! Versucht nicht, mehr von unseren Lastwagen zu stehlen."
"Blockpost_Defeat_scavengers_text3"	"Das ist es, wir sind hier fertig."
"Blockpost_Post1_nomads_text"	"Stoppt und legt eure Waffen nieder, bevor ihr euch noch selber wehtut. "
"Blockpost_Post1_nomads_text2"	"Eure letzte Chance, euch wie verängstigte Küken zurückzuziehen. Nur der Tod wartet jenseits dieses Außenpostens."
"Blockpost_Post1_nomads_text3"	"Wie viel bezahlt euch der Truck-Entführer? Ich werde mehr geben. Erzählt ihr nicht? Dann lasst die Waffen sprechen!"
"Blockpost_Post1_psycho_text"	"Was denkt ihr eigentlich, was ihr hier macht? Richtig, ihr seid am STERBEN!"
"Blockpost_Post1_scavengers_text"	"Seid ihr taub oder blöd? Wohin geht ihr? Bringt den Truck zurück und zwar jetzt!"
"Blockpost_Post1_scavengers_text2"	"Ahem, Dozer spricht. Hier hört ihr auf."
"Blockpost_Post2_nomads_text2"	"Übung macht den Meister, nicht wahr? Gut. Zeigt mir eure Seiten, lasst uns noch etwas üben."
"Blockpost_Post2_psycho_text2"	"Ich sehe einen starken Außenposten. Haut ab, solange eure Räder noch laufen!"
"Blockpost_Post2_psycho_text3"	"Der zweite Außenposten hatte: Den König, die Königin, den Prinz UND DIE SKELETTE DERER, DIE HIER HER KAMEN! "
"Blockpost_Post2_scavengers_text"	"Ihr habt eure Meinung noch nicht geändert? Dann versucht durchzubrechen! Der zweite Außenposten ist besser bewaffnet."
"Blockpost_Post2_scavengers_text2"	"Schießt, schießt. Vergesst den Außenposten, wir haben mehr."
"Blockpost_Post2_scavengers_text3"	"Was?! Ihr lebt noch? Hört auf zu schießen, ich kann nicht gut zielen! Unsere Türmchen werden euch in den Hintern treten."
"Blockpost_Post3_nomads_text"	"Gespräche bringen uns wohl nicht weiter. Das hatte ich gehofft. Zeit für Plan B! Totale Auslöschung!"
"Blockpost_Post3_nomads_text2"	"Feiert noch nicht, dass ihr so weit gekommen seid. Je weiter ihr geht, desto größer werden die Räder, mit denen wir euch zermalmen werden!"
"Blockpost_Post3_nomads_text3"	"Das ist das Ende für euch und eure Verbrechen! Trefft die Justizmaschine!"
"Blockpost_Post3_psycho_text"	"Scar, Scar, Scar AB, bedeutet, dass ihr AUFHÖRT ZU EXISTIEREN!"
"Blockpost_Post3_psycho_text2"	"Fünf, vier, drei, zwei, eins. Jetzt habt ihr gelernt zu zählen. Was sollen wir sonst noch sagen, lasst den Boss sie in die Luft jagen?!"
"Blockpost_Post3_psycho_text3"	"Eins, zwei, drei —  den Überlebenden begegnete ein Hai und schnitt ihre OHREN ENTZWEI! "
"Blockpost_Post3_scavengers_text2"	"Halt, euer Konvoi zieht nicht weiter. Wir bringen unsere eigenen mit!"
"Blockpost_Post3_scavengers_text3"	"Wollt ihr jetzt aufgeben? Zu spät ...unser Anführer hat seinen Motor gestartet!"
"Blockpost_scavengers_caption"	"Dozer"
"Blockpost_Start_nomads_text"	"Friede sei mit euch! Der Transport, den ihr geleitet, ist Eigentum der Nomads. Und ich ich bezweifel, dass ihr ihn uns ohne Kampf übergebt."
"Blockpost_Start_nomads_text2"	"Die letzten fünf Verlierer, die sich auf unserem Land \"wiedergefunden\" haben, kriechen jetzt ohne Räder durch das Ödland. Könnt ihr raten, welches Schicksal unsere Diebe erwartet?"
"Blockpost_Start_nomads_text3"	"Sagt mir, wie viel hat dieser Truck-Räuber euch bezahlt, um hier raus zu kommen? Ich könnte mehr anbieten. Aber das werde ich nicht. Ich verhandle mich nicht mit Entführern."
"Blockpost_Start_psycho_text"	"Sie sind mutig, Lastwagen von uns zu stehlen. BEI SICHTKONTAKT FEUERN!"
"Blockpost_Start_psycho_text2"	"Ich sehe mit meinem kleinen Auge einen Truck, der STIRB sagt! Weil es unser Truck ist!"
"Blockpost_Start_psycho_text3"	"Ha! Wir haben die Truck-Entführer, jetzt liegt es an unserem Folterknecht. Lasst uns ihre Hände und Beine nehmen und sie in Fässern die Straße herunter rollen lassen!"
"Blockpost_Start_scavengers_text"	"Hallo, Überlebende! Ihr hättest das nicht anfangen sollen. Der Truck ist gestohlen! Wollt ihr ihn? Dann geht zurück, oder ihr werdet nicht lange Überlebende sein."
"Blockpost_Start_scavengers_text2"	"Eins-zwei, kannst du mich hören? Jemand hat unseren Lastwagen gestohlen. Wenn ich euch sehe - seid ihr tot."
"Blockpost_Start_scavengers_text3"	"Also, was haben wir hier? Ein gestohlener Truck! Lasst es. Solange ihr noch etwas habt, um die Pedale zu drücken."
"Blockpost_Win_nomads_text"	"Pech! Aber ich werde euch das nächste mal, wenn wir uns treffen, erwischen!"
"Blockpost_Win_nomads_text2"	"W... Wie... Wie ist das passiert?"
"Blockpost_Win_nomads_text3"	"Neeein, wir haben verloren! Sag meiner Familie, dass..."
"Blockpost_Win_psycho_text"	"Aargh! Nagut. Ihr habt gewonnen! Ich werde einen anderen töten!"
"Blockpost_Win_psycho_text2"	"Ein gutes Spiel. Schade, dass wir bestraft wurden."
"Blockpost_Win_psycho_text3"	"Ihr habt euch eine Kugel eingefangen — ihr geht nach Hause, das ist alles, was ich auf Lager habe."
"Blockpost_Win_scavengers_text"	"Alle Kontrollpunkte wurden zerstört und der Lastwagen wurde gestohlen. Bastarde!"
"Blockpost_Win_scavengers_text2"	"Wir haben verloren. Verdammt!"
"Blockpost_Win_scavengers_text3"	"Also gut. Ihr gewinnt! Aber nur diesmal. Verstanden?"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"Bei der Konstruktion dieser Blaupause werden fehlende Bauteile mit zufälligen, analogen Bauteilen des gleichen Typs ersetzt."
"BLUEPRINT_EXHIBITION_EXPAND"	"Erweitern"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"Teile deine Blaupause mit anderen Überlebenden, damit diese deine Werke aus der Galerie bewerten und herunterladen können"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"Die Blaupause kann nicht geladen werden, da sich der Leviathan grade im Kampf befindet. Hole ihn erst zur Garage zurück."
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"Die Blaupause konnte nicht geladen werden, da der Leviathan-Service derzeit nicht verfügbar ist. Warte ein paar Minuten und versuche es erneut."
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"Die Blaupause kann zur Zeit nicht geladen werden. Zuerst musst du die Belohnung abholen, die der Leviathan aus der letzten Schlacht erbeutet hat."
"BLUEPRINT_LOAD_TOOLTIP"	"Konstruiere ein gepanzertes Fahrzeug mit der ausgewählten Blaupause, indem Bauteile aus dem Lager genutzt werden."
"BLUEPRINT_LOAD_WARNING"	"@ffff0000Der Zusammenbau dieser Blaupause wird das Fahrzeug, dass sich gegenwärtig auf diesem Garagenplatz befindet, ins Lager verschieben. Fortfahren?"
"BLUEPRINT_PREVIEW_TOOLTIP"	"Probiere dein gepanzertes Fahrzeug auf der Teststrecke aus"
"boar_bundle_vehicle_desc"	"Ein leichtes und wendiges Fahrzeug, das schnell die Entfernung zum Ziel schließen und es mit Stoßzähnen an der Kabine rammen kann. Dank zweier \"Sledgehammer\" funktioniert das Auto aber auch aus nächster Nähe."
"boar_bundle_vehicle_name"	"Keiler"
"Bombrun_Boss_nomads_text"	"Ich hatte Pläne für diesen Turm. Dieses Mal werde ich euch nicht unterschätzen!"
"Bombrun_Boss_nomads_text2"	"Sieht so aus, als wäre meine Anstrengung nicht genug. Zeit um die Hilfe des Anführers zu bitten!"
"Bombrun_Boss_nomads_text3"	"Verdammt! Ich bin gezwungen, das Beste zu verwenden, was ich in meinem Arsenal habe. Lasst uns loslegen! "
"Bombrun_Boss_psycho_text"	"MEIN TURM! Warum habt ihr das gemacht?! Ich starte mein Auto genau jetzt. Ich werde euch zerschmettern! Eure Gedärme werden im ganzen Tal verteilt sein!"
"Bombrun_Boss_psycho_text2"	"Warum habt ihr den Turm in die Luft gejagt? Was habt ihr damit erreicht? Macht mich traurig! Ich habe sowieso eine explosive Persönlichkeit und ihr würdigt sie mit Schießpulver!"
"Bombrun_Boss_psycho_text3"	"Verdammt! Ich dachte immer, es ist ein Geschenk! Doppelgesichtige Betrüger wie ihr, wir seid ihr eigentlich noch am Leben? Ihr habt mir das Herz gebrochen, ich werde eure Gesichter brechen!"
"Bombrun_Boss_scavengers_text"	"Verdammt, ihr seid stark! Also ist es Zeit für große Waffen!"
"Bombrun_Boss_scavengers_text3"	"Keine Explosionen! Nicht noch einmal! Ich werde euch zerstören, egal welche Ressourcen es mich kosten wird!"
"Bombrun_Defeat_nomads_text"	"Zeit aus unseren Fehlern zu lernen"
"Bombrun_Defeat_nomads_text2"	"Aufgegeben? Danke, das ist so süß!"
"Bombrun_Defeat_psycho_text"	"Eh-heh! Ihr werdet euren Boom nicht bekommen! Wir haben schließlich fair gewonnen."
"Bombrun_Defeat_psycho_text2"	"Mein Truck, meine Prinzessin, mein Schatz! Ihr werdet ihn nicht brauchen, also nehme ich ihn! Danke für das Geschenk, ich platze vor Glück!"
"Bombrun_Defeat_psycho_text3"	"Das war ein loderndes Display, oder?"
"Bombrun_Defeat_scavengers_text"	"Keine weiteren Explosionen auf meinem Land! Kapiert?"
"Bombrun_Defeat_scavengers_text2"	"Gut, gut... jetzt müssen wir den Minentransporter so weit wie möglich von hier entfernen."
"Bombrun_Defeat_scavengers_text3"	"Toll! Niemand weiteres explodiert heute. Oder verbrennt im Auto..."
"Bombrun_Def_nomads_text2"	"Euch ist es wirklich ernst. Glaubt ihr, ihr könnt den Turm einfach in die Luft jagen? Ich werde mein Bestes tun, damit das nicht passiert!"
"Bombrun_Def_nomads_text3"	"Das Tor zerstört und nun auch noch den Turm einnehmen wollen? Das ist jetzt unverschämt, meine Herren. Wir werden euch zerstören, bevor die Ladung detoniert!"
"Bombrun_Def_psycho_text"	"Es wird explodieren! Hey! Niemand darf auf meinem Territorium ein Feuerwerk starten!"
"Bombrun_Def_psycho_text2"	"Leute, das ist eine Ölpumpe. Hier können keine explosiven Lastwagen parken. Wartet, das ist euer Plan?! Ihr seid verrückt! Lasst mich euch holen!"
"Bombrun_Def_psycho_text3"	"Das wars, meine Geduld ist am Ende, ihr übertreibt es! Bleibt weg vom Truck und vielleicht erschieße ich euch einfach."
"Bombrun_Def_scavengers_text"	"Der Truck hat endlich angehalten. Warten? Er ist zum Explodieren manipuliert! Stoppt sie, bevor sie einen weiteren Turm sprengen!"
"Bombrun_Def_scavengers_text3"	"Ein bisschen mehr und der Turm wird explodieren! Keine Explosionen mehr! Nein! Ihr könnt den Truck nicht schützen!"
"Bombrun_Gate_nomads_text"	"Es ist noch nicht zu spät, um umzukehren, während das Tor steht. Aber erwartet keine Gnade, wenn ihr die Sicherungen aufbaut. "
"Bombrun_Gate_nomads_text2"	"Ich biete euch einen Deal an: Ihr berührt nicht die Vorbereitungen, unser Tor bleibt intakt und... wir lassen euch sogar am Leben und ihr könnt eure Räder behalten! Nein? Ok, dann machen wir es so wie ihr."
"Bombrun_Gate_nomads_text3"	"Habe ich recht damit zu denken, dass ihr unser Tor in die Luft sprengen werdet? Es tut mir leid, ich kann nicht einfach zusehen und abwarten. So bin ich aufgewachsen."
"Bombrun_Gate_psycho_text2"	"Ich meine, danke, dass ihr mich zum Tor gebracht habt. Wirklich, das hättet ihr nicht machen sollen. Mein Freund wird jetzt kommen und mich abholen, ok?"
"Bombrun_Gate_psycho_text3"	"Ich bin kurz davor vor Neid zu expplodieren! Warum ein vermintes Auto nehmen, ihr könnt auch normale Autos fahren! Lasst es am Tor und ich werde euch gehen lassen. Ehrlich."
"Bombrun_Gate_scavengers_text"	"Seid ihr blind? Die Straße ist geschlossen! Dreht um und versucht gar nicht erst Sprengkörper aufzusammeln. Das Tor zu sprengen ist eine schlechte Idee!"
"Bombrun_Gate_scavengers_text3"	"Überall hier gibt es Gebühren! Nein! Nein! Wir werden euch aufhalten."
"Bombrun_nomads_caption"	"Jeff"
"Bombrun_psycho_caption"	"Oswald"
"Bombrun_scavengers_caption"	"Thermite"
"Bombrun_Start_nomads_text"	"Ich heiße die Reisenden in unseren Jagdgründen willkommen! Euer Geleitzug sieht gefährlich aus. Haltet an oder wir werden euch zwingen müssen."
"Bombrun_Start_nomads_text3"	"Verirrte Reisende auf unserem Grund und Boden? Ich muss euch warnen -  der Straßenverlauf ist gesperrt."
"Bombrun_Start_psycho_text"	"Hey, was wollt ihr auf unserem Territorium? Bleibt mit eurer Bombe weg von unserem Land. Ich bin eifersüchtig!"
"Bombrun_Start_psycho_text2"	"Hey, was ist das für ein angenehmer Klang? Ist es ein vermintes Auto? Oh, ihr solltet es nicht haben, Leute, es ist nicht einmal mein Geburtstag!"
"Bombrun_Start_scavengers_text"	"Wohin geht ihr? Und durch unser Land mit diesem komischen Truck... Ich habe gesagt, kehrt um!"
"Bombrun_Start_scavengers_text2"	"Schnüffelt. Bin das nur ich oder riecht das wie Schießpulver? Verdammt, der Truck ist vermint!"
"Bombrun_Win_nomads_text"	"Ich werde nächstes Mal besser vorbereitet sein."
"Bombrun_Win_nomads_text2"	"Ihr habt gewonnen. Ich muss zugegeben, das war unerwartet."
"Bombrun_Win_nomads_text3"	"Ich muss zugeben — ihr habt gewonnen."
"Bombrun_Win_psycho_text"	"Haha, sieht so aus, als wären wir bei der Arbeit ausgebrannt!"
"Bombrun_Win_psycho_text2"	"Ihr zerbrecht immer alle Spielsachen! Wie soll ich mit euch arbeiten?!"
"Bombrun_Win_psycho_text3"	"Also, das war jetzt ein BOOM! Ja, ich weiß, sie haben uns in die Luft gejagt! Aber das war großartig!"
"Bombrun_Win_scavengers_text2"	"Neeeeein! Wir mussten all diese Explosionen stoppen!"
"Bombrun_Win_scavengers_text3"	"Nein! Nein! Ihr hättet nicht gewinnen können!"
"BOX_A_Name"	"\"Rookie Container\" Paket"
"BOX_B_Name"	"\"Rekrut Container\" Paket"
"BOX_C_Name"	"\"Offizier Container\" Paket"
"BOX_D_Name"	"\"Unteroffizier Container\" Paket"
"BOX_E_Name"	"\"Teile Container\" Paket"
"brawl_Boss_henchman2"	"Harry"
"brawl_Boss_henchman3"	"Marv"
"brawl_Boss_henchman4"	"Gruber"
"BRIEFING_WAIT_OTHER_PLAYERS"	"Warten auf weitere Spieler"
"BundleRewardWnd_Duration"	"$time$ bis zur Zerstörung"
"Bundle_14feb_18_Name"	"'Burning Heart' Paket"
"Bundle_ambulance_name"	"\"Pandemic\" Paket"
"Bundle_ambulance_womoney_name"	"\"Pandemic\" Paket"
"Bundle_boar_name"	"\"Wild Hunt\" Paket"
"Bundle_boar_womoney_name"	"\"Wild Hunt\" Paket"
"Bundle_ChinaEvent_Desc"	"China OBT Startbelohnung"
"Bundle_fiery_claw_Desc"	"- Einzigartiges schnelles Panzerfahrzeug: \"Lavabird\"|- Autokanone \"AC43 Rapier\", 20 mm.|- Einzigartiges Heldenportrait \"Air Shaman\"|- Farbdose: \"Muster: Lava\"|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 55|- 500 Coins"
"Bundle_fiery_claw_Name"	"«Lavabird» Paket"
"Bundle_Firestarters_Name"	"\"Arsonist\" Paket"
"Bundle_Firestarters_womoney_Name"	"\"Arsonist\" Paket"
"Bundle_Football_Desc"	"- Einzigartiges gepanzertes Fahrzeug: \"Fan Van\"|- Einzigartige Hupe: \"Vuvuzela\"|- Einzigartiges Dekor: \"Schwarzblaues\" Leuchtfeuer und \"Rotes Auge\" Leuchtfeuer|- Einzigartiges Heldenportrait: Hector|- Einzigartiger Aufkleber: \"Ball im Spiel\"|- Einzigartige Farbdose: \"Zur Meisterschaft\"|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 40|- 500 Coins"
"Bundle_Football_Name"	"\"Third Half\" Paket"
"Bundle_Football_womoney_Desc"	"- Einzigartiges gepanzertes Fahrzeug: \"Fan Van\"|- Einzigartige Hupe: \"Vuvuzela\"|- Einzigartiges Dekor: \"Schwarzblaues\" Leuchtfeuer und \"Rotes Auge\" Leuchtfeuer|- Einzigartiges Heldenportrait: Hector|- Einzigartiger Aufkleber: \"Ball im Spiel\"|- Einzigartige Farbdose: \"Zur Meisterschaft\"'|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 40"
"Bundle_Football_womoney_Name"	"\"Third Half\" Paket"
"Bundle_Hunter_Desc"	"- Einzigartiges gepanzertes Fahrzeug: \"Beater\"|- Einzigartige Bewaffnung: epischer Minenleger \"Kapkan\"|- Zusätzliche Waffen: drei kraftvolle \"Sledgehammer\" Schrotflinten|- Einzigartige Fahrerkabine: \"Ghost\"|- Einzigartiges Heldenportrait: \"Wolfhound\"|- Einzigartige Farbdose: \"Neblige Sümpfe\"|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 55.|- Einzigartiger Aufkleber: \"Hunger\" x2|- 2650 Coins."
"Bundle_Hunter_Name"	"\"Spectral Hunter\" Paket"
"Bundle_Hunter_womoney_Desc"	"- Einzigartiges gepanzertes Fahrzeug: \"Beater\"|- Einzigartige Bewaffnung: epischer Minenleger \"Kapkan\"|- Zusätzliche Waffen: drei kraftvolle 'Sledgehammer' Schrotflinten|- Einzigartige Fahrerkabine: Ghost|- Einzigartiges Heldenportrait: Wolfhound|- Einzigartige Farbdose: Neblige Sümpfe|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 55.|- Einzigartiger Aufkleber: \"Hunger\" x2."
"Bundle_Hunter_womoney_Name"	"\"Spectral Hunter\" Paket"
"Bundle_Landing_cabin_Name"	"Ein besonderes Geschenk"
"Bundle_Landing_weapon_Desc"	"- LM-54 \"Chord\" Maschinengewehr |- \"Lupara\" Schrotflinte |- \"Avenger 57mm\" Geschütz|||Du kannst die erhaltenen Teile sofort oder später verwenden. Die Bauteile befinden sich im Abschnitt \"Lager\""
"Bundle_Landing_weapon_Name"	"Ein besonderes Geschenk"
"Bundle_obt_gift_large_Desc"	"- Einzigartiges schert gepanzertes Fahrzeug \"Tramp\"|- Bewaffnung: Geschütz \"Executioner 88mm\"|- Einzigartige Kabine \"Bear\"|- Einzigartiges Charakterportrait \"Renevant\"|- Farbdosen: \"Muster: Digitale Wüste\", \"Illusion Metallic\"|- Erhöht die maximale Anzahl der Teile auf 55"
"Bundle_obt_gift_medium_Desc"	"- Einzigartiges schweres Fahrzeug \"Fenrir\"|- Bewaffnung: Autokanone \"AC72 Whirlwind\", 25 mm|- Einzigartige Kabine \"Fury\"|- Einzigartiges Charakterportrait \"Wotan\"|- Farbdosen: \"Muster: Flamme\", \"Material: Carbon\"|- Erhöht die maximale Anzahl der Teile auf 55"
"Bundle_obt_gift_small_Desc"	"- Einzigartiges schnelles Fahrzeug “Iron Talon”|- Bewaffnung: Autokanone “AC43 Rapier”, 20 mm|- Einzigartiges Charakterportrait “Air Shaman”|-Farbdosen: “Material: Aluminium”, “Muster: Blitz”|- Erhöht die maximale Anzahl der Teile auf 55"
"Bundle_obt_gift_tank_Desc"	"- Einzigartiges schwer gepanzertes Fahrzeug \"Renevant\"|- Bewaffnung: Turmgeschütz \"ZS-34 Fat Man\", Maschinengewehr \"LM-54 Chord\"|- Einzigartige Kabine \"Carapace\"|- Einzigartiges Charakterportrait \"Tankman\"|- Farbdosen: \"Material: Quarz\", \"Muster: Will-o -wisp\"|- Erhöht die maximale Anzahl der Teile auf 55"
"Bundle_Sportcar_Name"	"«Corrida» Paket"
"Bundle_WW1_Desc"	"- Einzigartiges gepanzertes Fahrzeug: Mark EX.|- Bewaffnung: Zwei seltene frontale Maschinengewehre \"ST-M23 Defender\" und ein epischer Geschützturm ZIS-34 \"Fat Man\".|- Einzigartige Gleisketten: Goliath Gleiskette epischer seltenheit;|- Einzigartiges Heldenportrait: Leutnant Mitchell;|- Eine einzigartige Farbdose: Salomons Muster;|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 55;|- Einzigartiger Aufkleber: Kriegshunde x2;|- 3400 Coins."
"Bundle_WW1_name"	"«Iron Shield» Paket"
"Bundle_WW1_womoney_Desc"	"- Einzigartiges gepanzertes Fahrzeug: Mark EX.|- Bewaffnung: Zwei seltene frontale Maschinengewehre \"ST-M23 Defender\" und ein epischer Geschützturm ZS-34 \"Fat Man\".|- Einzigartige Gleisketten: Goliath Gleiskette epischer seltenheit;|- Einzigartiges Heldenportrait: Leutnant Mitchell;|- Eine einzigartige Farbdose: Salomons Muster;|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 55;|- Einzigartiger Aufkleber: Kriegshunde x2;"
"Bundle_WW1_womoney_name"	"«Iron Shield» Paket"
"Bundle_Xmas17_Desc"	"- Einzigartiges gepanzertes Fahrzeug \"Icebreaker\"|- Einzigartige epische Kabine: \"Icebox\"|- Bewaffnung — 2 epische frontale Maschinengewehre ST-M26 Tackler|- Motor: Razorback, Aktiver Waffenkühler|- Exklusives Profilbild: \"Jack Frost\"|- Farbdosen: Cold Flame, Material: Aluminium|- Erhöht die Maximalzahl der Bauteile pro Fahrzeug auf 55|- 2100 Coins"
"Bundle_Xmas17_mini_bound_Desc"	"- Einzigartiges gepanzertes Fahrzeug \"Get the fir\"|- Einzigartiges Dekor \"Aus dem Wald\"|- Farbdose: \"Ein kleines Etwas\"|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 35|- 500 Coins"
"Bundle_Xmas17_mini_bound_Name"	"\"New Year's Junior\" Paket"
"bundle_xmas17_mini_Desc"	"- Exklusives gepanzertes Fahrzeug \"Get the fir\"|- Einzigartiges Dekor \"Aus dem Wald\"|- Exklusives Profilbild: \"Nick Frost\"|- Farbdose: Ein kleines Etwas|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 35|- 500 Coins"
