"2STEP_AUTHORIZATION_ENABLED"	"Your account is protected."
"BLUEPRINT_EXHIBITION_TOOLTIP"	"Share the blueprint with other survivors for them to rate and download it from the exhibition"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"Unable to load the blueprint since the leviathan is currently in battle. Return it to the garage first."
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"Unable to load the blueprint since the leviathan service is currently unavailable. Wait a couple of minutes and try again."
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"Unable to load the blueprint at this time. First you need to collect the reward the leviathan brought from the last battle."
"BLUEPRINT_LOAD_TOOLTIP"	"Assemble an armored car with the selected blueprint by using the parts from storage"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000Assembling this blueprint will remove the current vehicle from its garage space. Continue?"
"BLUEPRINT_PREVIEW_TOOLTIP"	"Test your armored vehicle at the circuit"
"boar_bundle_vehicle_desc"	"A light and agile vehicle, that can quickly close the distance to the target and ram it with tusks mounted on the cabin. However, the car works just as well at close distance thanks to two 'Sledgehammers'."
"boar_bundle_vehicle_name"	"Boar"
"Bombrun_Boss_nomads_text"	"I had plans for that tower.This time I won't underestimate you!"
"Bombrun_Boss_nomads_text2"	"Looks like my effort was not enough. Time to ask for the leader's help!"
"Bombrun_Boss_nomads_text3"	"Damn! I'm forced to use the best I have in my arsenal. Let's go!"
"Bombrun_Boss_psycho_text"	"MY TOWER! Why'd you do that?! I'm starting my car right now. I'll smash you! Your guts will be all over the Valley!"
"Bombrun_Boss_psycho_text2"	"Why did you blow, the tower, what have you achieved? Made me sad! I've got an explosive personality anyway and you're seasoning it with gunpowder!"
"Bombrun_Boss_psycho_text3"	"Damn! I kept thinking it's a gift! Two-faced cheats like you, how are you even alive? You broke my heart, I'll break your faces!"
"Bombrun_Boss_scavengers_text"	"Damn, you're tough! So it's time for big guns!"
"Bombrun_Boss_scavengers_text3"	"Not explosions! Not again! I'm gonna destroy you whatever resources it's going to cost me!"
"Bombrun_Defeat_nomads_text"	"Time to learn from our mistakes"
"Bombrun_Defeat_nomads_text2"	"Giving up? Thank you, that's so sweet."
"Bombrun_Defeat_psycho_text"	"Eh-heh! You won't get your boom! We kinda won fair and square, you know."
"Bombrun_Defeat_psycho_text2"	"My trucl, my princess, my precious! You're not going to need it, so I'm taking it! Thanks for the gift, I'm exploding with happiness!"
"Bombrun_Defeat_psycho_text3"	"That was a blazing display, right?"
"Bombrun_Defeat_scavengers_text"	"No more explosions on my land! Got it?"
"Bombrun_Defeat_scavengers_text2"	"Good, good... Now we need to take this mined truck as far away from me as possible."
"Bombrun_Defeat_scavengers_text3"	"Great! Nobody else is exploding today. Or burning in the car..."
"Bombrun_Def_nomads_text2"	"You really are serious. Think you can blow up the tower? I'll do my best to stop this from happening!"
"Bombrun_Def_nomads_text3"	"Blew up the gate and now want to take the tower? Now this is outrageous, gentlemen. We'll destroy you before the transport detonates!"
"Bombrun_Def_psycho_text"	"It's gonna blow! Hey! Nobody is allowed to start fireworks on my territory!"
"Bombrun_Def_psycho_text2"	"Guys, it's an oil pump. Can't park explosive trucks here. Wait, that's your plan?! You're crazy! Just let me get you!"
"Bombrun_Def_psycho_text3"	"That's it, my patience is blowing up, you're overdoing it! Stay away from the truck and maybe I'll just shoot you."
"Bombrun_Def_scavengers_text"	"The truck has finally stopped. Wait? It's rigged to explode! Stop them before they blow up another tower!"
"Bombrun_Def_scavengers_text3"	"A bit more and the tower's gonna blow! No more explosions! No! You can't protect the truck!"
"Bombrun_Gate_nomads_text"	"It's not too late to turn back while the gate is standing. But do not expect mercy if you assemble the fuses."
"Bombrun_Gate_nomads_text2"	"I'm offering a deal: you don't touch the charges, our gate stays intact and... we'll even let you keep your lives and wheels! No? Ok, have it your way."
"Bombrun_Gate_nomads_text3"	"Am I right in thinking that you're going to blow our gate? I'm sorry I can't just stand by and watch. That's how I'm brought up."
"Bombrun_Gate_psycho_text2"	"I mean, thanks for taking me to the gate. Really, shouldn't have. My fella's gonna come and get me now, ok?"
"Bombrun_Gate_psycho_text3"	"I'm about to explode with envy! Why take a mined car, you can ride a normal one! Leave it by the gate and I'm gonna let you go. Honest."
"Bombrun_Gate_scavengers_text"	"Are you blind? The road's closed! Turn around and do not try to pick up explosives. Blowing up the gate is a bad idea!"
"Bombrun_Gate_scavengers_text3"	"Charges are everywhere around here! No! Noo! We'll stop you."
"Bombrun_nomads_caption"	"Jeff"
"Bombrun_psycho_caption"	"Oswald"
"Bombrun_scavengers_caption"	"Thermite"
"Bombrun_Start_nomads_text"	"I welcome travellers to our territory! You convoy looks dangerous. Stop or we'll have to use force."
"Bombrun_Start_nomads_text3"	"Lost travellers on our territory? I must warn you that the road further is closed."
"Bombrun_Start_psycho_text"	"Hey, whaddya want on our turf? Stay away with your damn bomb, I'm getting jealous, you know!"
"Bombrun_Start_psycho_text2"	"Hey, what's this pleasant sound? Is is a mined car? Oh you shouldn't have, guys, it's not even my birthday!"
"Bombrun_Start_scavengers_text"	"Where do you think you're going? Through our land on this weird truck. I said, go back!"
"Bombrun_Start_scavengers_text2"	"Sniff. Is it just me or does this smell like gunpowder? Damn, the truck is mined!"
"Bombrun_Win_nomads_text"	"I will be more prepared next time."
"Bombrun_Win_nomads_text2"	"You won. I have to admit, that was unexpected."
"Bombrun_Win_nomads_text3"	"I have to admit — you won."
"Bombrun_Win_psycho_text"	"Ha-ha, looks like we got burnt out at work!"
"Bombrun_Win_psycho_text2"	"You keep breaking all the toys! How am I supposed to work with you?!"
"Bombrun_Win_psycho_text3"	"Now that's a BOOM! Yeah I know they blew us up! But that was awesome!"
"Bombrun_Win_scavengers_text2"	"Nooooo! We had to stop all these explosions!"
"Bombrun_Win_scavengers_text3"	"No! No! You couldn't have won!"
"BOX_A_Name"	"“Rookie container” pack"
"BOX_B_Name"	"“Recruit container” pack"
"BOX_C_Name"	"“Officer container” pack"
"BOX_D_Name"	"“Sub-officer container” pack"
"BOX_E_Name"	"“Parts container” pack"
"brawl_Boss_henchman2"	"Harry"
"brawl_Boss_henchman3"	"Marv"
"brawl_Boss_henchman4"	"Gruber"
"BRIEFING_WAIT_OTHER_PLAYERS"	"Waiting for other players"
"BundleRewardWnd_Duration"	"$time$ until destruction"
"Bundle_14feb_18_Name"	"“St' Valentine's Day” pack"
"Bundle_ambulance_name"	"“Pandemic” pack"
"Bundle_ambulance_womoney_name"	"“Pandemic” pack"
"Bundle_boar_name"	"“Wild Hunt” pack"
"Bundle_boar_womoney_name"	"“Wild Hunt” pack"
"Bundle_ChinaEvent_Desc"	"China OBT start reward"
"Bundle_fiery_claw_Desc"	"- Unique fast armored car “Lavabird”|- Weapons: autocannon “AC43 Rapier”, 20 mm|- Unique character portrait “Air Shaman”|- Paint can “Pattern: Lava”|- Increases the maximum number of parts used to 55|- 500 in-game coins"
"Bundle_fiery_claw_Name"	"“Lavabird” pack"
"Bundle_Firestarters_Name"	"“Arsonist” Pack"
"Bundle_Firestarters_womoney_Name"	"“Arsonist” Pack"
"Bundle_Football_Desc"	"- Unique armored car “Fan Van”|- Unique horn “Vuvuzela”|- Unique decor: “Black and Blue” flare and “Red Eye” flare|- Unique character portrait “Hector”|- Unique sticker “Ball in the game”|- Unique paint can “To the championship!”|- Increase in the number of used parts up to 40|- 500 in-game coins"
"Bundle_Football_Name"	"“Third Half” pack"
"Bundle_Football_womoney_Desc"	"- Unique armored car “Fan Van”|- Unique horn “Vuvuzela”|- Unique decor: “Black and Blue” flare and “Red Eye” flare|- Unique character portrait Hector|- Unique sticker “Ball in the game”|- Unique paint can “To the championship!”|- Increase in the number of used parts up to 40"
"Bundle_Football_womoney_Name"	"“Third Half” pack"
"Bundle_Hunter_Desc"	"- Unique armored car “Beater”|- Weapons: unique epic minelayer “Kapkan”|- Additional weapon: three powerful shotguns “Sledgehammer”|- Unique cabin “Ghost”|- Unique character portrait “Wolfhound”|- Unique sticker “Hunger” x2|- Unique paint can “Misty Marshes”|- Increases the maximum number of parts used to 55|- 2650 in-game coins"
"Bundle_Hunter_Name"	"“Spectral Hunter” pack"
"Bundle_Hunter_womoney_Desc"	"- Unique armored car “Beater”|- Weapons: unique epic minelayer “Kapkan”|- Additional weapon: three powerful shotguns “Sledgehammer”|- Unique cabin “Ghost”|- Unique character portrait: “Wolfhound”|- Unique sticker “Hunger” x2|- Unique paint can “Misty Marshes”|- Increases the maximum number of parts used to 55"
"Bundle_Hunter_womoney_Name"	"“Spectral Hunter” pack"
"Bundle_Landing_cabin_Name"	"A special gift"
"Bundle_Landing_weapon_Desc"	"- LM-54 “Chord” machine gun|- “Lupara” shotgun|- “Avenger 57mm” cannon|||You can use the obtained parts right now or do it later. The parts can be found in the “Storage” section"
"Bundle_Landing_weapon_Name"	"A special gift"
"Bundle_obt_gift_large_Desc"	"- Unique heavy armored vehicle “Tramp”|- Weapons: cannon “Executioner 88mm”|- Unique cabin “Bear”|- Unique character portrait “Revenant”|- Paint cans: “Pattern: Digital desert”, “Mirage metallic”|- Maximum number of parts increased to 55"
"Bundle_obt_gift_medium_Desc"	"- Unique heavy vehicle “Fenrir”|- Weapons: autocannon “AC72 Whirlwind”, 25 mm|- Unique cabin “Fury”|- Unique character portrait “Wotan”|- Paint cans: “Pattern: Flame”, “Material: Carbon”|- Maximum number of parts increased to 55"
"Bundle_obt_gift_small_Desc"	"- Unique fast vehicle “Iron Talon”|- Weapons: autocannon “AC43 Rapier”, 20 mm|- Unique character portrait “Air Shaman”|- Paint cans: “Material: Aluminum”, “Pattern: Lightning”|- Maximum number of parts increased to 55"
"Bundle_obt_gift_tank_Desc"	"- Unique heavily-armored vehicle “Revenant”|- Weapons: turret cannon “ZS-34 Fat Man”, machine gun “LM-54 Chord”|- Unique cabin “Carapace”|- Unique character portrait “Tankman”|- Paint cans: “Material: Quartz”, “Pattern: Will-o”-wisp”|- Maximum number of parts increased to 55"
"Bundle_Sportcar_Name"	"“Corrida” pack"
"Bundle_WW1_Desc"	"- Unique armored car “Mark EX”|- Weapons: Two rare frontal machine guns “ST-M23 Defender” and an epic turret cannon ZS-34 “Fat Man”|- Unique tracks “Goliath track” of epic rarity x2|- Unique character portrait “Lieutenant Mitchell”|- Unique sticker “Dogs of War” x2|- A unique paint can “Solomon's pattern”|- Increases the maximum number of parts used to 55|- 3400 in-game coins"
"Bundle_WW1_name"	"“Iron Shield” pack"
"Bundle_WW1_womoney_Desc"	"- Unique armored car “Mark EX”|- Weapons: Two rare frontal machine guns “ST-M23 Defender” and an epic turret cannon ZS-34 “Fat Man”|- Unique tracks “Goliath track” of epic rarity x2|- Unique character portrait “Lieutenant Mitchell”|- Unique sticker “Dogs of War” x2|- A unique paint can “Solomon's pattern”|- Increases the maximum number of parts used to 55"
"Bundle_WW1_womoney_name"	"“Iron Shield” pack"
"Bundle_Xmas17_Desc"	"- Unique armored car “Icebreaker”|- Unique cabin “Icebox” of epic rarity|- Weapons: 2 frontal machine guns “ST-M26 Tackler” of epic rarity|- Engine “Razorback”, “Weapon cooler”|- Unique character portrait “Jack Frost”|- Paint cans: “Cold flame”, “Material: Aluminium”|- Maximum number of parts increased to 55|- 2100 in-game coins"
"Bundle_Xmas17_mini_bound_Desc"	"- Unique armored vehicle “Get the fir”|- Unique decor “From the forest”|- Paint can “A little something”|- Maximum number of parts increased to 35|- 500 in-game coins"
"Bundle_Xmas17_mini_bound_Name"	"“New Year's Junior” pack"
"bundle_xmas17_mini_Desc"	"- Unique armored vehicle “Get the fir”|- Unique decor “From the forest”|- Unique character portrait “Nick Frost”|- Paint can “A little something”|- Maximum number of parts increased to 35|- 500 in-game coins"
"bundle_xmas17_mini_Name"	"“New Year's Junior” pack"
"bundle_xmas17_mini_womoney_Desc"	"- Unique armored vehicle “Get the fir”|- Unique decor “From the forest”|- Unique character portrait “Nick Frost”|- Paint can “A little something”|- Maximum number of parts increased to 35"
"bundle_xmas17_mini_womoney_Name"	"“New Year's Junior” pack"
"Bundle_Xmas17_Name"	"“Frostburn” pack"
"Bundle_Xmas17_womoney_Name"	"“Frostburn” pack"
"Bundle_Xmas_Yt_name"	"“Player Union” pack"
"Cabin_DronSpawn_name"	"Werewolf"
"Cabin_InnateMelee_Desc"	"The “Cerberus” cabin is a survivor's best friend. It understands everything, but just can't speak. Guts enemies in melee combat like the fierce mythical hound."
"Cabin_Lambo_Desc"	"This cabin from a powerful supercar is equipped with a mighty engine and a couple of tech solutions increasing accuracy."
"Cabin_Lambo_Name"	"Torero"
"Cabin_Mi24_Desc"	"Once this cabin belonged to a helicopter and climbed high in the sky. It's just as hard to believe, as the fact that TVs kill people. However, all of this is true."
"Cabin_Mi24_Name"	"Ghost"
"Cabin_Tribal_Hog_Desc"	"Several tusks fixed on this cabin's front are not only an element of intimidation, but also an unusual melee weapon."
"Cabin_Tribal_Hog_Name"	"Tusk"
"Cabin_Tribal_name"	"Bat"
"Cabin_Tribal_RaiderSkin_Desc"	"Retro design and minimalism. This cabin built by a mysterious genius carries the spirit of the long-gone Great Wars era."
"call_to_action_to_quests"	"Challenges"
"Captcha_text"	"Enter the text from the image."
"Captcha_text_2"	"Attempts left: $val$."
"CarDriver_Firestarters_lvl10_desc"	"Fire damage increased by $car_damage_flame_mul$%"
"CarDriver_Firestarters_lvl11_name"	"Hard steel 3"
"CarDriver_Firestarters_lvl12_name"	"Oneshot 3"
"CarDriver_Firestarters_lvl13_desc"	"$targets$: ammunition +$ammo_add$ pcs."
"CarDriver_Firestarters_lvl14_desc"	"The drone left after the $targets$ cabin's destruction is $nested_car_max_health_mul$% more durable"
"CarDriver_Firestarters_lvl14_name"	"Second chance"
"CarDriver_Firestarters_lvl14_old_desc"	"$targets$: active time extended by $work_time_mul$%"
"CarDriver_Firestarters_lvl14_old_name"	"Searing rage"
"CarDriver_Firestarters_lvl15_desc"	"Maximum speed of all movement parts +$speed_limit_mul$%"
"CarDriver_Firestarters_lvl15_name"	"Unstoppable"
"CarDriver_Firestarters_lvl1_name"	"Hard steel 1"
"CarDriver_Firestarters_lvl2_name"	"Oneshot 1"
"CarDriver_Firestarters_lvl3_name"	"Strong position"
"CarDriver_Firestarters_lvl4_desc"	"$targets$: reloading accelerated by $shooting_cooldown_mul$%"
"CarDriver_Firestarters_lvl4_name"	"Sticky"
"CarDriver_Firestarters_lvl5_desc"	"$targets$ fire puddle radius +$projectile_spreading_area_height_mul$%"
"CarDriver_Firestarters_lvl5_name"	"Lighter"
"CarDriver_Firestarters_lvl6_name"	"Hard steel 2"
"CarDriver_Firestarters_lvl7_name"	"Oneshot 2"
"CarDriver_Firestarters_lvl8_desc"	"$targets$: reloading accelerated by $shooting_cooldown_mul$%"
"CarDriver_new_level"	"New skill available “$skill$”"
"CarEditor_paint_erase"	" — Remove paint"
"CarPart_Airintake_Desc"	"Serves for delivery of air to the vehicle's internals."
"CarPart_Airintake_Name"	"Plane air intake"
"CarPart_AmbulanceLights_name"	"Ambulance lights"
"CarPart_anniversary2018_Desc"	"A gift from Ivy to honour the first anniversary of the Engineers' arrival in the Wasteland."
"CarPart_anniversary2018_Name"	"Fifth Wheel"
"CarPart_april_balloon_desc"	"Inflatable Missiles is a great way to make fun of your friends. "
"CarPart_CarHorn_Vuvuzela_Desc"	"A ringing blast to accompany every match ever and, of course, the post-game celebrations."
"CarPart_CarHorn_Vuvuzela_Name"	"Vuvuzela"
"CarPart_Christmas_tree_Name"	"“From the forest”"
"CarPart_Duck_Football_Desc"	"A trophy for the tournament's winners. Given temporarily until the next tournament."
"CarPart_Duck_Football_Name"	"Rewarduck"
"CarPart_Engine_Powerful_Desc"	"An armored car with an extremely powerful 12-valve engine that can blow away everything in its path: small obstacles, sleepy raiders, a roof...||Only one engine can be installed on the vehicle."
"CarPart_Engine_Powerful_name"	"Oppressor"
"CarPart_Exhaust_Dble_Side_L_desc"	"The owner of this decoration is easy to find because of the unique twin flames ejected by the pipes."
"CarPart_Exhaust_Dble_Side_L_name"	"Corno sinistro"
"CarPart_Exhaust_Dble_Side_R_desc"	"The owner of this decoration is easy to find because of the unique twin flames ejected by the pipes."
"CarPart_Exhaust_Dble_Side_R_name"	"Corno destro"
"CarPart_Exhaust_Feather01_Name"	"Winnetou"
"CarPart_Exhaust_Feather02_Name"	"Chingachgook"
"CarPart_FakeGun_Desc"	"The inflatable cannon was conceived as a decoy gadget. But its ridiculous appearance made it incredibly popular in the Wasteland."
"CarPart_FakeGun_Name"	"Inflatable Mammoth"
"CarPart_Fireworks_Anniversary_Desc"	"Launches a festive rocket in the shape of the Crossout logo to celebrate the first year in the Wasteland.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_Anniversary_Name"	"“Anniversary” fireworks"
"CarPart_Fireworks_Dragon_Name"	"Hidden Dragon"
"CarPart_Fireworks_one_blue_Desc"	"Launches a festive rocket skyward, filled to the brim with rampant joy. You can only install one fireworks launcher.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_one_green_Desc"	"Launches a festive rocket skyward, filled to the brim with rampant joy. You can only install one fireworks launcher.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_one_red_Desc"	"Launches a festive rocket skyward, filled to the brim with rampant joy. You can only install one fireworks launcher.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_six_Desc"	"Launches a volley with 6 festive rockets skyward, the last one is in the shape of the Crossout logo. You can only install one fireworks launcher.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_three_Desc"	"Launches a volley with 3 festive rockets skyward, filled to the brim with rampant joy. You can only install one fireworks launcher.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_Valentine_Desc"	"Launches a festive rocket into the sky, exploding in the shape of a heart. You can only install one fireworks launcher.||This is a temporary item! The countdown starts when you first mount it on a car."
"CarPart_Fireworks_Valentine_Name"	"Purple fireworks"
"CarPart_football_hand_finger_Desc"	"Are you a player or a fan? Doesn't matter! The foam hand looks great on any armored car!"
"CarPart_football_hand_finger_Name"	"“Number One” hand"
"CarPart_football_hand_goat_Desc"	"A foam hand for those who like to fast driving, loud music and having a blast!"
