"ADVENTURE_REWARD_BONUS"	"Plus"
"item_chest_online_14h_desc"	"Contient un élément de véhicule, excepté les pneumatiques:|@ff9900ffpièce épique pour 2 heures@ffffffff avec une faible probabilité.|Bannière d'ingénieur avec une probabilité moyenne.|@ff0099ffPièce rare pour 2 heures@ffffffff avec une forte probabilité."
"item_chest_online_2h_desc"	"Container avec une pièce de véhicule:|Bannière des ingénieurs avec une faible probabilité.|@ff0099ffpièce rare pour 2 heures@ffffffff, excepté les pneumatiques, avec une probabilité moyenne.|Pièce commune avec une forte probabilité."
"item_Chest_online_2h_gold_Desc"	"\"Le conteneur contient une partie aléatoire, à l'exception des pièces de\" Steppenwolf \",\" Dawn's children \"et\" Firestarters \":|@ffffcc6620 coins@ffffffff avec une faible probabilité.|@ff0099ffPièce rare non échangeable @ffffffff sauf pour les roues avec faible probabilité.|Drapeau des ingénieurs avec une faible probabilité.|@ffffffffPièce commune @ffffffff avec une forte probabilité. \""
"item_chest_Rare_desc"	"Container pouvant contenir des objets décoratifs ou des pièces rares ou épiques de toutes les factions:|@ff9900ffEpic part@ffffffff avec une faible probabilité.|@ff0099ffRare part@ffffffff avec une haute probabilité.|Décoration avec une probabilité moyenne.|Peinture avec une faible probabilité."
"item_chest_rare_weapon_desc"	"Le container peut contenir n'importe quelle @ff0099ffPièce rare@ffffffff en dehors des roues.|"
"item_chest_Relic_desc"	"Container pouvant contenir une pièce ou relique rare de toutes les factions:|@ffff7519Relic part@ffffffff avec une faible probabilité.|@ff0099ffRare part@ffffffff avec une haute probabilité."
"item_chest_White_desc"	"Container contenant une pièce rare, une décoration ou un spray de peinture|@ff0099ffRare part@ffffffff avec une faible probabilité.|@ffffffffCommon part@ffffffff avec une haute probabilité.|Décoration avec une probabilité moyenne.|Painture avec une basse probabilité."
"item_Halloween_chest_desc"	"Contient des décoration terrifiantes."
"item_Knight_new_guns_chest_desc"	"Container contenant une pièce rare:|@ffffcc66Legendary part@ffffffff avec une faible probabilité.|@ff9900ffEpic part@ffffffff avec une probabilité moyenne.|@ff0099ffRare part@ffffffff avec une haute probabilité."
"MAP_TITLE_ARENA_FOOTBALL"	"Stade central"
"Mask_Frenzied_3_Desc"	"Les gens comme lui s'appellent 'Dead inside'. Cynique et impitoyable."
"Mask_Steam_Desc"	"Il entendit l'appel pour la première fois, lorsqu'un motif bleu apparut sur son poignet. Puis il a commencé à construire une machine de ses propres mains à partir des pièces collectées sur le champ de bataille, et l'a appelé \"Bloodhound\". Et au moment où ses yeux ont commencé à briller dans le noir, il l'a conduit dans le Wasteland."
"Mask_Tim_desc"	"C'est la roue qui grince qui obtient la graisse. Et Hammer Tim le savait mieux que quiconque. Pendant la journée, il préparait des voitures dans son garage pour des compétitions pas tout à fait légales, et la nuit, il avait parfois de la chance dans des affaires assez sérieuses. Puis les portes de son garage furent soigneusement verrouillées et une paire de têtes musclées se tenait dehors à surveiller.|Des nuits comme celles-là, de vieux amis «d'affaires» se tournèrent vers Tim. Reconstruisez une voiture ou deux, sans poser de questions. Hammer Tim considérait l'accord comme un art et les clients de nuit payaient bien. Cela donnait vraiment le temps de respirer à l'artisan, qui se sentait limité par des budgets modestes."
"Mask_Tim_name"	"Hammer Tim"
"MAX_LIMIT_TOOLTIP"	"Le nombre de pièces que vous pouvez installer sur un véhicule est limité.|Vous pouvez augmenter la limite en augmentant votre réputation chez la faction des Ingénieurs. Gagnez des batailles pour pouvoir construire des machines plus grandes."
"MBP_Info_Junkyard"	"Casse Impériale"
"MENU_ESCAPE_ACCOUNT_COPY"	"Copier les données du compte"
"MissionWnd_MBP_reward_tooltip"	"Récompense"
"Mission_Halloween_Pvp_Desc"	"Ici, vous pouvez gagner des «friandises délicates» en tirant le plus de tours possible sur vos adversaires! Et puis venez visiter la sorcière pour échanger les ressources contre une récompense."
"Mission_Scrap_Rare_Desc"	"Une victoire en bataille vous donne une boite de câbles.|"
"PARTTYPE_structure_military_apc"	"Morceau d'APC"
"PERK_Dynamo_Cooler_DESC"	"Tout les 100m parcourus par le véhicule, réduction du cooldown restant des armes et modules de $perk_param$%."
"PERK_ENRAGE_DESC"	"Recevoir des dégâts augmente temporairement les dégâts que vous infligez. Max. effect — $perk_damage_mul$% à $max_stack$ dégâts."
"PERK_OverheatReset_DESC"	"- Portrait de personnage unique «Hammer Tim»"
"privacy_policy_text_1"	"Dernière mise à jour : 24 mai 2018||Cette politique de confidentialite explique les informations vous concernant collectees et traitees par Gaijin Network Ltd lorsque vous utilisez nos jeux en ligne, « War Thunder », « Crossout », « Star Conflict », et d'autres qui ont ete publiees par Gaijin Network Ltd (ci-apres denommes « jeu » ou « jeux »). Elle s'applique egalement a la boutique officielle en ligne pour les jeux — $url href=\"https://store.gaijin.net\" text=\"store.gaijin.net\"$ — et les sites officiels des jeux — $url href=\"https://warthunder.ru\" text=\"warthunder.ru\"$, $url href=\"https://warthunder.com\" text=\"warthunder.com\"$, $url href=\"https://crossout.net\" text=\"crossout.net\"$, et $url href=\"https://star-conflict.com\" text=\"star-conflict.com\"$ — ainsi qu'aux autres sites ou cette politique de confidentialite est publiee (ces sites sont ci-apres denommes « site » et « sites »), et via d'autres services (tels que des services d'assistance, des discussions « in-game », des forums, etc.) ou elle concerne les jeux ou Gaijin Network Ltd. Gaijin Network Ltd sera denomme ci-apres « Gaijin ». Les pronoms « nous », « nos », et « leur » designent aussi Gaijin Network Ltd.||VEUILLEZ LIRE CETTE POLITIQUE DE CONFIDENTIALITE AVANT DE CONTINUER A UTILISER LE JEU OU LE SITE. VOTRE UTILISATION DU JEU OU DU SITE VAUT ACCEPTATION DE CETTE POLITIQUE DE CONFIDENTIALITE.||Si, apres lecture de la politique de confidentialite, vous avez encore des questions ou des preoccupations liees a la confidentialite, veuillez nous contacter a privacy#@gaijin.net. Veuillez noter que pour des raisons de securite, votre demande concernant la rectification ou l'effacement de vos donnees personnelles doit nous parvenir via notre service d'assistance a : $url href=\"https://support.gaijin.net\" text=\"support.gaijin.net\"$."
"privacy_policy_text_5"	" ||3. LES FINALITES DU TRAITEMENT DE VOS DONNEES UTILISATEUR||Nous utilisons les donnees collectees sur vous et votre dispositif pour vous fournir des jeux et des services et pour pouvoir poursuivre notre activite. Nous poursuivons les objectifs suivants lors du traitement de vos donnees utilisateur :||(1) Pour effectuer les taches et fournir les services qui font partie du contrat avec vous et pour vous permettre de jouer aux jeux et d'utiliser les sites et les services connexes. A cette fin, nous effectuons les processus suivants :||(a) operer, administrer et soutenir les jeux et les sites ;||(b) creer des profils d'utilisateur et construire et entretenir la base de donnees des utilisateurs ;||(c) recevoir des rapports d'incidents, ameliorer votre experience de jeu, ameliorer la qualite de nos services et developper et ameliorer nos jeux, nos sites et nos services connexes ;||(d) vous permettre de communiquer avec les autres joueurs dans des discussions en ligne et sur des forums (le cas echeant) ;||(e) faire des sondages et de la recherche et analyser et integrer les resultats de tels sondages et recherches de maniere anonyme ;||(f) personnaliser nos jeux et sites (c.-a-d. en stockant vos preferences et parametres) ;||(g) envoyer vos messages afin de confirmer l'accomplissement de certaines actions par vous, via le numero de telephone portable et/ou l'adresse electronique que vous nous avez fournis ;||(h) vous envoyer des messages techniques, des notes de service, des mentions legales (dont les changements apportes aux documents reglementaires), repondre a vos demandes via le service d'assistance, les resultats de notre reflexion concernant vos demandes selon notre politique de confidentialite et les autres informations obligatoires."
"privacy_policy_text_6"	"|(2) Pour afficher des publicites personnalisees et vous envoyer directement des messages de prospection directe. A cette fin, nos partenaires analytiques (voir article 5.2) et certains autres partenaires peuvent suivre votre comportement en ligne puis afficher des publicites personnalisees dans les jeux ainsi que d'autres jeux et d'autres sites. De plus, nous pouvons publier des offres personnalisees dans les jeux, basees sur les donnees concernant votre utilisation de nos jeux. Nous envoyons egalement des informations a votre adresse electronique qui contiennent des messages avec des correctifs et des mises a jour, des nouvelles, des publications a venir, des promotions et des offres speciales, des reductions, des concours, etc. Pour recevoir les details concernant vos droits de vous retirer des publicites personnalisees et des messages de prospection directe, consulter l'article 6.2.||(3) Afin d'assurer la securite et pour lutter contre la fraude et les methodes injustes de jeu, nous surveillons et analysons le comportement des joueurs dans les jeux, nous agissons a l'encontre des joueurs qui ne respectent pas les regles du jeu et nous prenons les mesures preventives qui s'imposent.||(4) Pour analyser toutes les donnees qui ont ete collectees et pour segmenter et profiler les donnees.||(5) Pour respecter les exigences legales en vigueur et pouvoir executer les obligations legales, exercer ou proteger nos droits et proteger vos interets vitaux ou les interets des autres."
"Promo_mask1_Desc"	"Autocollant non commercialisable \"Masque à gaz civil"
"Promo_mask2_Desc"	"Autocollant non commercialisable \"Gardez le masque!\""
"Quest_April1st_5_desc"	"Prenez le prix {$required_value $;time;times} placez-le dans le \"Mec\", Où avez-vous eu la voiture? bagarre."
"RESOURCE_DESC_NewYearMoney"	"Un pilote de voiture de combat, Caleb Virkist, a été blessé à la tête lors d'une mission de maintien de la paix dans l'un des points chauds.|Il ne pouvait que trouver du travail en tant que chauffeur de taxi, mais est finalement tombé amoureux de son travail et de sa voiture.|Les compétences de combat l'ont aidé à survivre à la catastrophe et même à emmener quelques passagers dans un lieu sûr. Dans les premiers jours après le désastre, il est allé en ville pour sauver des civils encore et encore, mais chaque affrontement avec des pillards a causé des dommages irréparables à sa psyché. Caleb est devenu de plus en plus déçu par l'humanité. Peu à peu, il commença à oublier les mots et devint de plus en plus sujet à des crises de colère incontrôlables. Après l'une de ces attaques, il erra seul dans le Wasteland, où il disparut sans laisser de trace.|Quelques années plus tard, des rumeurs ont circulé à propos d'un fou nommé Caliban, qui attaque les voyageurs par une décharge abandonnée et conduit les cadavres de ses victimes sur le siège passager de sa voiture noir et orange. Et quand même le squelette s'écroule, il part à la recherche d'un nouveau compagnon.|Ils disent que sa voiture a été vue à proximité."
"RESOURCE_TYPE_TokenZone1"	"Engraved casings"
"Restriction_RESOURCE_NewYearMoney_Desc"	"Vous avez besoin de bonbons toxiques pour compléter cette opération. Vous pouvez en obtenir en gagnant des missions et en complément des challenges pendant l'événement."
"Restriction_RESOURCE_TokenZone1_Desc"	"Vous avez besoin de @ffff0000$lack$@ffffffff \"Engraved casings\" de plus. Vous pouvez les gagner lors de raids ou les acheter sur le marché."
"Restriction_RESOURCE_TokenZone1_Name"	"Quantité insuffisante de \"Engraved casings\""
"SEASON_QUEST_LOCK_FACTION_BASE"	"Requiert le niveau de réputation $lvl$ avec \"Ingénieurs\"."
"ShopAppearanceWnd_content"	"CK, peinture et autocollants"
"ShopItem_appearance"	"Kit de personnalisation"
"ShopItem_inGameShop_buyConfirmation"	"Voulez-vous vraiment acheter $bundle_name$ pour $price$?"
"ShopWnd_recommended"	"Recommandé"
"Skin_Chassis_Kamaz_C1_Raider_bundle_Desc"	"Kit de personnalisation de l'apparence de la cabine «Trucker».||La cabine «Backbone» construite par un mystérieux artisan porte encore les traces de l'original, dépouillé de tout sauf de ses os."
"starter_bundle_Vehicle_Desc"	"\"Être seul dans le Wasteland est assez effrayant, et la nuit c'est pire encore. C'est pour cette raison que les survivants aiment tellement les véhicules blindés - dans une grande boîte en fer blanc, vous vous sentez en sécurité!|\"Spirit\" a suivi Maxine et l'a gardée en sécurité lors de ses sorties après la tombée de la nuit dans le Wasteland. Et pendant tout ce temps, la rapide voiture blindée se sauvait souvent des balles des pillards et parfois même pire. \""
"Steel_Starter_Pack_bundle_Desc"	"- Véhicule blindé unique «Steel»|- Cabine \"Huntsman\"|- Armes: trois mitrailleuses \"LM-54 Chord\"|- Autocollant unique \"Steel-S\"|- Spay de peinture unique \"White Honeycomb\"|- Augmente le nombre maximal de pièces utilisées à 25"
"Steel_Starter_Pack_bundle_Name"	"Pack spécial \"Steel Starter Pack\""
"TCWnd_HoldText"	"Maintenez la touche enfoncée pour sélectionner la mise en page '$name$'"
"terms_of_use_text_1"	"ATTENTION, AVIS AUX UTILISATEURS : CECI EST UN ACCORD REGISSANT VOTRE RELATION AVEC GAJIN NETWORK LTD (adresse: Kyriakou Matsi, 10 Liliana Building, 2nd floor Office 203, PC 1082 Nicosia, Cyprus)  (« GAIJIN » ET VOTRE UTILISATION DES SERVICES DE GAIJIN (SELON LES CONDITIONS DEFINIES CI-DESSOUS) DISPONIBLES SUR CROSSOUT.RU, CROSSOUT.NET, WARTHUNDER.RU​, WARTHUNDER.COM​, STARCONFLICT.RU​, STARCONFLICTGAME.COM​, STORE.GAIJIN.NET​ (« SITE ») ET LES DOMAINES DE GAJIN INCLUS DANS CE SITE QUI VOUS EST FOURNI PAR GAIJIN. VOUS POUVEZ UTILISER CE SITE ET/OU LES SERVICES UNIQUEMENT SI VOUS ACCEPTEZ LES CONDITIONS DONT IL EST FAIT ETAT PAR LA PRESENTE. VEUILLEZ LIRE CES CONDITIONS ATTENTIVEMENT AVANT D'UTILISER CE SITE ET CES SERVICES. UTILISER CE SITE ET/OU CES SERVICES INDIQUENT QUE VOUS ACCEPTEZ CES CONDITIONS. SI VOUS N'ACCEPTEZ PAS CES CONDITIONS (« CONDITIONS D'UTILISATION »), N'UTILISEZ PAS CE SITE ET/OU SERVICE.||AVANT DE COCHER LE BOUTON   « J'ACCEPTE L'ACCORD »  ET DE CLIQUER SUR « SUIVANT », VEUILLEZ LIRE ATTENTIVEMENT LES CONDITIONS DE CES CONDITIONS D'UTILISATION, CAR CETTE ACTION REPRESENTE VOTRE SIGNATURE ET QU'EN CLIQUANT SUR LES BOUTONS  « J'ACCEPTE L'ACCORD » ET « SUIVANT » , VOUS ADHEREZ ET CONSENTEZ A ETRE LIE AUX PRESENTES CONDITIONS D'UTILISATION ET VOUS ACCEPTEZ QUE CES CONDITIONS D'UTILISATION SOIENT APPLICABLES COMME N'IMPORTE QUEL ACCORD ECRIT SIGNE DE VOTRE MAIN.  SI VOUS N'ACCEPTEZ PAS TOUTES LES CONDITIONS DE CES CONDITIONS D'UTILISATION, CLIQUEZ SUR LE BOUTON « ANNULER » ET VOUS N'ADHEREREZ PAS A CES CONDITIONS D'UTILISATION.||Vous pouvez recevoir une copie de ces Conditions d'utilisation en contactant Gaijin a l'adresse : legals#@gaijinent.com."
"terms_of_use_text_15"	"|SANS LIMITER LA PORTEE DE TOUT AUTRE RECOURS, GAIJIN PEUT LIMITER, SUSPENDRE, RESILIER, MODIFIER, OU SUPPRIMER DES COMPTES OU L'ACCES AU SERVICE EN TOUT OU EN PARTIE SI GAIJIN VOUS SUPECTE OU SI VOUS NE VOUS CONFORMEZ PAS A CES CONDITIONS D'UTILISATION OU POUR TOUTE UTILISATION DU SERVICE AVEREE OU SUSPECTEE D'ETRE ABUSIVE OU ILLEGALE, SANS NECESSAIREMENT VOUS EN AVISER AU PREALABLE. VOUS POUVEZ PERDRE VOTRE NOM D'UTILISATEUR ET VOTRE PERSONA/AVATAR A LA SUITE D'UNE RESILIATION OU D'UNE RESTRICTION DE COMPTE, AINSI QUE TOUS LES AVANTAGES, PRIVILEGES, OBJETS GAGNES ET OBJETS ACHETES ASSOCIES A VOTRE COMPTE, ET GAIJIN N'EST PAS TENU DE VOUS DEDOMMAGER POUR DE TELS RESULTATS OU PERTES.||SANS LIMITER LA PORTEE DE NOS AUTRES RECOURS, NOUS POUVONS LIMITER, SUSPENDRE OU RESILIER TOUT OU PARTIE DES COMPTES UTILISATEURS ET DU SERVICE, INTERDIRE L'ACCES A NOS SITES ET JEUX, ET A LEUR CONTENU, SERVICES ET OUTILS, RETARDER OU SUPPRIMER LE CONTENU HEBERGE, ET PRENDRE DES MESURES TECHNIQUES OU JURIDIQUES POUR EMPECHER LES UTILISATEURS D'ACCEDER AU SERVICE SI NOUS PENSONS QU'ILS CREENT UN RISQUE OU DES OBLIGATIONS JURIDIQUES, ENFREIGNENT LES DROITS DE PROPRIETE INTELLECTUELLE DE TIERS, OU AGISSENT A L'ENCONTRE DE LA LETTRE OU DE L'ESPRIT DE NOS CONDITIONS ET POLITIQUES. DE PLUS, NOUS POUVONS, DANS DES CIRCONSTANCES APPROPRIEES ET A NOTRE SEULE DISCRETION, SUSPENDRE OU RESILIER DES COMPTES D'UTILISATEURS QUI PEUVENT ETRE DES CONTREFACTEURS RECIDIVISTES DE DROITS DE PROPRIETE INTELLECTUELLE DE TIERS."
"terms_of_use_text_16"	"|Gaijin se reserve le droit de cesser d'offrir et/ou de soutenir le Service ou un jeu particulier ou une partie du Service a tout moment, de facon permanente ou temporaire, auquel cas votre licence d'exploitation du Service ou d'une partie de celui-ci sera automatiquement resiliee ou suspendue. ||La resiliation de votre Compte peut inclure de desactiver votre acces au Service ou a une partie de celui-ci, incluant tout contenu que vous avez soumis ou que d'autres joueurs ont soumis.||A COMPTER DE LA RESILIATION DE CET ACCORD, VOUS N'AUREZ PLUS LE DROIT D'UTILISER LE SERVICE DE QUELQUE FACON QUE CE SOIT."
"terms_of_use_text_3"	"|a. Vous ne devez pas creer un compte lie a ce Site et/ou Service (un « Compte »), ou acceder au Service si vous avez moins de 13 ans ;||b. Vous devez gerer votre Compte pour restreindre l'utilisation par les mineurs, et vous devez en interdire l'acces aux enfants de moins de 13 ans. Vous acceptez la pleine responsabilite de toute utilisation non autorisee du Service par des mineurs en rapport avec votre Compte. Vous etes l'unique responsable de toute utilisation de votre carte de credit ou de tout autre moyen de paiement (p. ex. Paypal et credits Facebook) par des mineurs ;||d. Vous ne devez pas creer un Compte ou utiliser le Service si vous etes un delinquant sexuel condamne ;||e. Vous ne devez pas etre titulaire d'un Compte ou utiliser le Service si vous avez precedemment ete supprime par Gaijin ou ete banni des jeux de Gaijin ;||f. Vous ne devez pas utiliser le Service si vous vous trouvez dans un pays faisant l'objet d'un embargo des Etats-Unis ou si vous etes resident d'une nation qui se trouve sur la liste des ressortissants specifiquement designes du Tresor americain.||g. Vous ne devez utiliser votre Compte qu'a des fins non commerciales ;||h. Vous ne devez pas utiliser votre Compte pour faire de la publicite aupres de tout autre utilisateur ou tiers, ni le solliciter ou lui transmettre des publicites, ce qui inclut des chaines de courriers, des pourriels ou des messages repetitifs (spim et spam) ;||i. Vous ne devez pas utiliser votre Compte pour vous adonner a des conduites reprehensibles ; et||j. Vous ne devez pas conceder une sous-licence, louer, louer a bail, vendre, echanger, donner, leguer ou transferer d'une autre maniere votre Compte ou tout autre Objet virtuel associe a votre Compte a quiconque sans la permission ecrite de Gaijin ;||k. Vous ne devez pas utiliser ou acceder a un Compte ou a des Objets virtuels qui ont ete sous-licencies, loues, loues a bail, vendus, echanges, donnes, legues ou autrement transferes par le createur d'origine du Compte sans l'accord de Gaijin."
"terms_of_use_text_5"	"|Informations de compte||Lors de la creation ou de la mise a jour de votre Compte, il peut vous etre demande de fournir a Gaijin certaines informations personnelles, incluant sans s'y limiter votre nom, votre date de naissance, votre adresse e-mail, votre adresse, votre lieu de residence, votre identifiant et votre mot de passe. Ces informations seront detenues et utilisees conformement a la $url href=\"https://crossout.net/fr/support/privacypolicy/#/\" text=\"Politique de confidentialité\"$ de Gaijin. Vous acceptez de fournir des informations precises et completes a Gaijin, et de mettre rapidement a jour de telles informations.||Vous reconnaissez et acceptez par la presente que votre identifiant, votre numero, votre nom et votre photo de profil puissent etre publiquement disponibles pour les autres utilisateurs et que certains moteurs de recherche puissent indexer votre nom et votre photo de profil.||Au cours du processus de configuration de Compte, il peut vous etre demande de selectionner un nom d'utilisateur et un mot de passe specifiques (« Informations de connexion »). Les regles suivantes regissent la securite de vos Informations de connexion :||a. Vous ne devez pas partager le Compte ou les Informations de connexion avec un tiers, laisser quiconque utiliser ou acceder a votre Compte, ou faire quoi que ce soit qui puisse mettre en peril votre Compte ;||b. Dans l'eventualite ou vous prendriez connaissance ou suspecteriez raisonnablement une infraction a la securite, incluant sans s'y limiter les pertes, vols ou divulgations non autorisees des Informations de connexion, vous devez immediatement avertir Gaijin et modifier vos Informations de connexion ;||c. Vous etes le seul responsable du maintien de la confidentialite de vos Informations de connexion, et vous serez responsable de toute utilisation de vos Informations de connexion, incluant les achats, que vous les ayez autorises ou non ; et||d. Vous etes le seul responsable de toute utilisation non autorisee de votre Compte."
"terms_of_use_text_8"	"|EN AUCUN CAS GAIJIN OU L'UN DE SES AFFILIES NE POURRA ETRE TENU RESPONSABLE DE DEGATS DIRECTS, INDIRECTS, CONSECUTIFS, PUNITIFS, SPECIAUX OU ACCIDENTELS (INCLUANT, SANS S'Y LIMITER, LES DEGATS RESULTANT D'UNE PERTE DE L'ENTREPRISE, DE CONTRAT, DE REVENUS, DE DONNEES, D'INFORMATIONS OU D'UNE INTERRUPTION DE L'EXPLOITATION), SOUS TOUTE THEORIE DE RESPONSABILITE, QUI DECOULENT DE L'UTILISATION, OU DE L'INCAPACITE A UTILISER CE SITE OU LES CONTENUS, PRODUITS, SERVICES, DECLARATIONS OU ACTIONS D'UN TIERS SUR OU VIA CE SITE, DE TOUT ACCES NON AUTORISE OU D'UNE ALTERATION DE VOS TRANSMISSIONS OU DONNEES, DE TOUTE INFORMATION ENVOYEE OU RECUE, OU NON ENVOYEE OU RECUE, DE TOUT DYSFONCTIONNEMENT DU STOCKAGE DES DONNEES, DE TOUTE PERTE DE DONNEES, DE PERTES OU ENDOMMAGEMENTS DE FICHIERS, DE PERTES OU ENDOMMAGEMENTS DE CONTENU, ET POUR TOUS LES SERVICES ACCESSIBLES VIA LE SITE QUI SONT RETARDES OU INTERROMPUS, MEME SI GAJIIN A ETE INFORME DE L'EVENTUALITE DE TELS DEGATS. TOUT LITIGE INTENTE CONTRE GAIJIN AFFERENT OU ETANT EN RAPPORT AVEC CE SITE DOIT ETRE AMORCE ET PORTE A LA CONNAISSANCE DE GAIJIN PAR ECRIT DANS UN DELAI DE UN (1) AN A COMPTER DE LA DATE DE LA CAUSE D'ACTION. CETTE LIMITATION DE GARANTIE NE S'APPLIQUE PAS AUX DOMMAGES CORPORELS OU AU DECES DANS LA MESURE OU LE DROIT APPLICABLE INTERDIT UNE TELLE LIMITATION. DE PLUS, COMME CERTAINES JURIDICTIONS INTERDISENT OU LIMITENT L'EXCLUSION OU LA LIMITATION DE RESPONSABILITE POUR LES DEGATS CONSECUTIFS OU ACCIDENTELS, OU N'AUTORISENT PAS l'EXCLUSION OU LA LIMITATION DES GARANTIES IMPLIQUEES, LA LIMITATION CI-DESSUS PEUT NE PAS S'APPLIQUER DANS TOUTES LES CIRCONSTANCES.||Certaines juridictions interdisent l'exclusion des garanties ou limitations impliquees, par consequent les limitations ci-dessus peuvent ne pas s'appliquer a vous."
"TONNAGE_TOOLTIP"	"Si la masse dépasse le tonnage ($tonnage$), une pénalité est appliquée à la vitesse maxi et à l'accélération.|Dépasser la masse limite vous empêche de rejoindre une partie."
