"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"HUD_EVENT_ACT_PVE_EXP_PACK_LOOTED"	"Получено $count$ репутации с фракцией $faction$"
"HUD_EVENT_ACT_PVE_TRAVEL_AMMO_RESTOCKED"	"Боезапас всех орудий пополнен на 50%"
"HUD_EVENT_ACT_PVE_TRAVEL_LOOTED"	"Вы подобрали груз, вот повезло!"
"HUD_EVENT_ACT_PVE_TRAVEL_LOOTING_FAILED"	"Груз остался там, где был."
"HUD_EVENT_ACT_PVE_TRAVEL_REPAIRED"	"Машина полностью отремонтирована"
"HUD_EVENT_MSG_PVE_EXP_PACK_LOOTED"	"Найдены секретные бумаги!"
"HUD_EVENT_MSG_PVE_TRAVEL_AMMO_RESTOCKED"	"Подобраны боеприпасы!"
"HUD_EVENT_MSG_PVE_TRAVEL_LOOTED"	"Груз подобран!"
"HUD_EVENT_MSG_PVE_TRAVEL_LOOTING_FAILED"	"В кузове нет места!"
"HUD_EVENT_MSG_PVE_TRAVEL_REPAIRED"	"Произведен ремонт."
"HUD_MARKER_TEXT_CARGO_DROP_TG"	"Пункт назначения"
"INVENTORY_EXPAND_ITEMS"	"Вкл/Выкл стеки деталей"
"Mission_any_pvp_desc"	"Это тру ПВП, единственый и неповторимый. Все режимы, все карты, А награда выдается согласно тому городу, где ты находишься."
"Mission_any_pvp_name"	"ПВП Патруль"
"Notifications_CAR_DESTROYED_gold_text"	"Ваша машина была полностью разрушена"
"Notifications_CAR_DESTROYED_gray_text"	"Но вам удалось спасти немного ресурсов."
"Notifications_CAR_DESTROYED_white_text"	"Вы можете покататься на запасной машине."
"QUEST_TOWN_NOT_ROLLED"	"Место выполнения засекречено"
"QUEST_TOWN_RESTRICTION"	"Выполнить в поселении: $townName$"
"QUEST_TYPE_COLLECT_ITEMS_DESC"	"Привези мне $collect_item$ в количестве $maxValue$. И нажми нопку \"Выполнить заказ\"."
"SEASON_QUEST_COLLECT_ITEMS"	"Выполнить заказ"
"SHOW_UNAVAILABLE"	"Показать неизвестные"
"STORE_CARGO_MAX_TITLE"	"Погрузить все:"
"STORE_CARGO_TITLE"	"Погрузить в кузов"
"TMI_CheatChangeCurrentTown"	"ТЕЛЕПОРТ СЮДА (ЧИТ!!!!)"
"TMI_TravelTo"	"Отправиться в путь"
"TOWN"	"Город:"
"TRADEMAP_RECIPES_LIST"	"Производимые материалы:|$recipesList$"
"TRADEMAP_SET_RESPAWN"	"Прописаться здесь"
"TRADEMAP_TOWN_TOOLTIP"	"$townName$|$townDesc$||Фракция: $factionName$, репутация ур. $factionLvl$||Деталей на складе: $itemsCount$||Добываемые ресурсы:|$rewardsList$|"
"TRADEMAP_TOWN_UNREACHABLE"	"Можно ехать только в соседний город."
"TRADING_MISSION_TITLE"	"Подтверждение выбора"
"CarPart_Gun_Proto_ShotgunCloseCombat_Desc"	"Критически высокий разброс, огромный урон, высокая скорострельность и долгая перезарядка."
"CarPart_Gun_Proto_ShotgunCloseCombat_Name"	"ПРОТО Шотган ББ"
"CarPart_Gun_Proto_ShotgunFLACK_Desc"	"Быстрая очередь из 3 залпов. Снаряды взрываются через 80 м. после запуска."
"CarPart_Gun_Proto_ShotgunFLACK_Name"	"ПРОТО FLAKK"
"CarPart_Gun_Proto_Sonic_Desc"	"Не наносит урон, а только отталкивает врага."
"CarPart_Gun_Proto_Sonic_Name"	"ПРОТО Соник ган"
"CarPart_Wheel_Proto_fast_Desc"	"Рвет с места со страшной силой. Но из-за высокого трения машина переворачивается на крутых поворотах."
"CarPart_Wheel_Proto_fast_Name"	"Адово колесо ST"
"CarPart_Wheel_Proto_fast_S_Desc"	"Рвет с места со страшной силой. Но из-за высокого трения машина переворачивается на крутых поворотах."
"CarPart_Wheel_Proto_fast_S_Name"	"Адово колесо"
"AchievementsWnd_rewards"	"Награды за медали:"
"AchievementsWnd_score"	"Очков"
"AchievementsWnd_tooltip"	"$item_name$$tradable$$unlock$"
"AchievementsWnd_tooltip_tradable"	"||$texture name not_sell scale 2$ Нельзя продать|"
"AchievementsWnd_tooltip_unlock"	"|Для получения разблокируйте медаль $medal_name$."
"achievements_category_CRAFT"	"Производство"
"achievements_category_FIRST"	"Общие"
"achievements_category_LEVELING"	"Репутация"
"achievements_category_MARKET"	"Рынок"
"achievements_category_PVE"	"Рейды"
"achievements_category_PVP"	"Миссии"
"achievement_ASSEMBLY_SIZE_desc"	"Собрать машину из $value$ деталей|"
"achievement_ASSEMBLY_SIZE_name"	"Сон разума"
"achievement_ASSEMBLY_UR_desc"	"Собрать машину с очками мощи не ниже $value$|"
"achievement_ASSEMBLY_UR_name"	"It's Alive! Alive!"
"achievement_build_car_x5_desc"	"$value$ раз внести изменения в конструкцию машины"
"achievement_build_car_x5_name"	"Кастомайзер"
"achievement_change_fire_controls_x1_desc"	"Изменить раскладку управления оружием"
"achievement_change_fire_controls_x1_name"	"Всему своя кнопка"
"achievement_completed"	"Выполнено"
"achievement_completed_total"	"Получено медалей:"
"achievement_CRAFT_EPIC_desc"	"Произвести {$value$ ; 'эпическую деталь'; 'эпические детали' ; 'эпических деталей';}"
"achievement_CRAFT_EPIC_name"	"Фабрикант"
"achievement_CRAFT_EXOTIC_desc"	"Произвести {$value$ ; 'реликтовую деталь'; 'реликтовые детали' ; 'реликтовых деталей';}"
"achievement_CRAFT_EXOTIC_name"	"Оружейный барон"
"achievement_craft_item_x5_desc"	"Произведите $value$ любых деталей"
"achievement_craft_item_x5_name"	"Подмастерье"
"achievement_CRAFT_LEGENDARY_desc"	"Произвести {$value$ ; 'легендарную деталь'; 'легендарные детали' ; 'легендарных деталей';}"
"achievement_CRAFT_LEGENDARY_name"	"Магнат"
"achievement_CRAFT_RARE_desc"	"Произвести {$value$ ; 'редкую деталь'; 'редкие детали' ; 'редких деталей' ;}"
"achievement_CRAFT_RARE_name"	"Кустарь"
"achievement_dismantle_item_x1_desc"	"Разобрать {$value$;деталь;детали;деталей} автомобиля"
"achievement_dismantle_item_x1_name"	"Переплавка"
"achievement_faction_base_lvl_10_desc"	"Достигнуть $value$ уровня репутации с фракцией «Механики»"
"achievement_faction_base_lvl_10_name"	"Опытный механик"
"achievement_fight_completed_x5_desc"	"Завершить $value$ боев"
"achievement_fight_completed_x5_name"	"Боец"
"achievement_FUSE_EPIC_PART_desc"	"Произвести {$value$ ; 'улучшенную эпическую деталь'; 'улучшенные эпические детали' ; 'улучшенных эпических деталей';}"
"achievement_FUSE_EPIC_PART_name"	"Эпический синтез"
"achievement_FUSE_EXOTIC_PART_desc"	"Произвести улучшенную реликтовую деталь"
"achievement_FUSE_EXOTIC_PART_name"	"Реликтовый синтез"
"achievement_FUSE_LEGENDARY_PART_desc"	"Произвести улучшенную легендарную деталь"
"achievement_FUSE_LEGENDARY_PART_name"	"Легендарный синтез"
"achievement_FUSE_RARE_PART_desc"	"Произвести улучшенную редкую деталь"
"achievement_FUSE_RARE_PART_name"	"Редкий синтез"
"achievement_level_tooltip_with_date"	"$name$|@ff606060$date$|@ff909090$desc$|@ffddbb80$val$/$max$"
"achievement_level_tooltip_wo_date"	"$name$|@ff909090$desc$|@ffddbb80$val$/$max$"
"achievement_LOOT_CHESTS_OPEN_desc"	"Открыть $value$ контейнеров"
"achievement_LOOT_CHESTS_OPEN_name"	"Открыватель"
"achievement_LOOT_PARTS_desc"	"Получить $value$ деталей по итогам боев"
"achievement_LOOT_PARTS_name"	"Бюро находок"
"achievement_LVL_FACTION_FRENZIED_desc"	"Достигнуть $value$ уровня репутации с фракцией «Бешеные»"
"achievement_LVL_FACTION_FRENZIED_name"	"Бешеный"
"achievement_LVL_FACTION_MILITARY_desc"	"Достигнуть $value$ уровня репутации с фракцией «Степные волки»"
"achievement_LVL_FACTION_MILITARY_name"	"Милитарист"
"achievement_LVL_FACTION_SCAVENGERS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Мусорщики»"
"achievement_LVL_FACTION_SCAVENGERS_name"	"Искатель"
"achievement_LVL_FACTION_SCIENTISTS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Дети Рассвета»"
"achievement_LVL_FACTION_SCIENTISTS_name"	"Последователь Рассвета"
"achievement_LVL_FACTION_TRADERS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Скитальцы»"
"achievement_LVL_FACTION_TRADERS_name"	"Исследователь"
"achievement_LVL_PARAGON_BASE_desc"	"Получить $value$ уровень престижа с фракцией «Механики»"
"achievement_LVL_PARAGON_BASE_name"	"Механик со стажем"
"achievement_LVL_PARAGON_FRENZIED_desc"	"Получить $value$ уровень престижа с фракцией «Бешеные»"
"achievement_LVL_PARAGON_FRENZIED_name"	"Легендарный безумец"
"achievement_LVL_PARAGON_MILITARY_desc"	"Получить $value$ уровень престижа с фракцией «Степные волки»"
"achievement_LVL_PARAGON_MILITARY_name"	"Маршал"
"achievement_LVL_PARAGON_SCAVENGERS_desc"	"Получить $value$ уровень престижа с фракцией «Мусорщики»"
"achievement_LVL_PARAGON_SCAVENGERS_name"	"Свет в конце тоннеля"
"achievement_LVL_PARAGON_SCIENTISTS_desc"	"Получить $value$ уровень престижа с фракцией «Дети Рассвета»"
"achievement_LVL_PARAGON_SCIENTISTS_name"	"Хранитель Рассвета"
"achievement_LVL_PARAGON_TRADERS_desc"	"Получить $value$ уровень престижа с фракцией «Скитальцы»"
"achievement_LVL_PARAGON_TRADERS_name"	"Ты видел всё"
"achievement_MARKET_BOUGHT_COUNT_desc"	"Приобрести $value$ товаров на рынке"
"achievement_MARKET_BOUGHT_COUNT_name"	"Шопоголик"
"achievement_MARKET_INSTABUY_desc"	"Купить $value$ товар через быструю покупку"
"achievement_MARKET_INSTABUY_name"	"Импульсивный покупатель"
"achievement_MARKET_INSTASELL_desc"	"Продать $value$ товар через быструю продажу"
"achievement_MARKET_INSTASELL_name"	"Оппортунист"
"achievement_MARKET_MONEY_EARNED_desc"	"Заработать $value$ на рынке"
"achievement_MARKET_MONEY_EARNED_name"	"Рокфеллер"
"achievement_MARKET_SOLD_COUNT_desc"	"Продать $value$ товаров на рынке"
"achievement_MARKET_SOLD_COUNT_name"	"Барыга"
"achievement_MEDAL_ANY_desc"	"Заработать $value$ любых наклеек в боях"
"achievement_MEDAL_ANY_name"	"Медалист"
"achievement_PVE_ALL_desc"	"Успешно завершить $value$ любых рейдов"
"achievement_PVE_ALL_name"	"Рейдер"
"achievement_PVE_DEFENCE_desc"	"Успешно завершить $value$ рейдов типа «Защита»"
"achievement_PVE_DEFENCE_name"	"Защитник"
"achievement_PVE_FUEL_RACE_desc"	"Успешно завершить $value$ рейдов типа «Гонка за горючим»"
"achievement_PVE_FUEL_RACE_name"	"Гонщик"
"achievement_PVE_LEVIATHAN_desc"	"Успешно завершить $value$ рейдов типа «Левиафан»"
"achievement_PVE_LEVIATHAN_KILLS_desc"	"Уничтожить или помочь уничтожить $value$ левиафанов"
"achievement_PVE_LEVIATHAN_KILLS_name"	"Охотник"
"achievement_PVE_LEVIATHAN_name"	"Уничтожитель"
"achievement_PVE_MOB_KILLS_desc"	"Уничтожить или помочь уничтожить $value$ врагов в PvE"
"achievement_PVE_MOB_KILLS_name"	"Мясник"
"achievement_PVE_MY_LEVIATHAN_WINS_desc"	"Обеспечить $value$ побед созданному вами левиафану"
"achievement_PVE_MY_LEVIATHAN_WINS_name"	"Стратег"
"achievement_PVE_SIEGE_desc"	"Успешно завершить $value$ рейдов типа «Штурм»"
"achievement_PVE_SIEGE_name"	"Разрушитель"
"achievement_PVP_ASSAULT_VICTORY_desc"	"Победить $value$ раз в режиме «Захват»"
"achievement_PVP_ASSAULT_VICTORY_name"	"Захватчик"
"achievement_PVP_CONQUER_VICTORY_desc"	"Победить $value$ раз в режиме «Встречный бой»"
"achievement_PVP_CONQUER_VICTORY_name"	"Конкистадор"
"achievement_PVP_DAMAGE_BLAST_desc"	"Нанести бронемашинам игроков $value$ повреждений взрывами"
"achievement_PVP_DAMAGE_BLAST_name"	"Бластер"
"achievement_PVP_DAMAGE_DIRECT_desc"	"Нанести бронемашинам игроков $value$ повреждений огнестрельным оружием"
"achievement_PVP_DAMAGE_DIRECT_name"	"Стрелок"
"achievement_PVP_DAMAGE_ENERGY_desc"	"Нанести бронемашинам игроков $value$ повреждений энергетическим оружием"
"achievement_PVP_DAMAGE_ENERGY_name"	"Обжигающий рассвет"
"achievement_PVP_DAMAGE_FLAME_desc"	"Нанести бронемашинам игроков $value$ повреждений огнем"
"achievement_PVP_DAMAGE_FLAME_name"	"Поджигатель"
"achievement_PVP_DAMAGE_MELEE_desc"	"Нанести бронемашинам игроков $value$ повреждений оружием ближнего боя"
"achievement_PVP_DAMAGE_MELEE_name"	"Ванпанчмен"
"achievement_PVP_DAMAGE_TOTAL_desc"	"Нанести $value$ повреждений бронемашинам игроков"
"achievement_PVP_DAMAGE_TOTAL_name"	"Варлорд"
"achievement_PVP_DEFEAT_desc"	"Проиграть в сражении против живых игроков"
"achievement_PVP_DEFEAT_name"	"Не сдавайся!"
"achievement_PVP_KILLS_desc"	"Уничтожить $value$ бронемашин игроков любым способом"
"achievement_PVP_KILLS_name"	"Убийца"
"achievement_PVP_PARTICIPATED_desc"	"Принять участие в сражении против живых игроков"
"achievement_PVP_PARTICIPATED_name"	"Участник"
"achievement_PVP_VICTORY_desc"	"Победить $value$ раз в сражении против живых игроков"
"achievement_PVP_VICTORY_name"	"Победитель"
"achievement_QUEST_ANY_desc"	"Выполнить $value$ ежедневных испытаний"
"achievement_QUEST_ANY_name"	"Челленджер"
"achievement_score_total"	"Всего очков:"
"achievement_used_market_x1_desc"	"Воспользоваться рынком в первый раз"
"achievement_used_market_x1_name"	"Начинающий торговец"
"achievement_used_unlockables_x1_desc"	"Использовать разблокируемую деталь в чертеже"
"achievement_used_unlockables_x1_name"	"Конструктор"
"achievement_watched_tutorial_x1_desc"	"Просмотреть обучающий курс"
"achievement_watched_tutorial_x1_name"	"Прилежный ученик"
"CarPart_Booster_desc"	"Придает моментальный импульс в точке крепления. Может разогнать машину и даже подбросить вверх."
"CarPart_Booster_epic_Desc"	"Придает моментальный импульс в точке крепления. Может разогнать машину и даже подбросить вверх. Мощнее ракетного ускорителя."
"CarPart_Booster_epic_Name"	"Гермес"
"CarPart_Booster_name"	"Ускоритель авиа"
"CarPart_Booster_rare_desc"	"Придает моментальный импульс в точке крепления. Может разогнать машину и даже подбросить вверх."
"CarPart_Booster_rare_Name"	"Ускоритель ракетный"
"CarPart_kamikazeDroneDeployer_Desc"	"Выпускает подвижных дронов, взрывающихся при приближении к цели."
"CarPart_kamikazeDroneDeployer_Name"	"Запал"
"CarPart_Quadrocopter_epic_Desc"	"Выпускает подвижного боевого дрона, который поражает любые цели в радиусе атаки.|Дрон оснащен ракетницей."
"CarPart_Quadrocopter_epic_Name"	"РД-3 Филин"
"CarPart_Quadrocopter_rare_Desc"	"Выпускает подвижного боевого дрона, который поражает любые цели в радиусе атаки.|Дрон оснащен базовым пулеметом."
"CarPart_Quadrocopter_rare_Name"	"АД-12 Сокол"
"CarPart_Sniper_Rare_Desc"	"Позволяет рассмотреть врага и вести более прицельный огонь.|Радиус обнаружения врагов возрастает до @ff00ff00$radar_radius$ @ffffffff м."
"CarPart_Sniper_Rare_Name"	"Прицел"
"CarPart_Stealth_epic_Desc"	"Делает автомобиль полностью невидимым на короткое время. Атака или повреждение поля аннулируют эффект."
"CarPart_Stealth_epic_Name"	"Хамелеон"
"CarPart_Stealth_legend_Desc"	"Делает автомобиль полностью невидимым на более долгое время. Атака или повреждение поля аннулируют эффект."
"CarPart_Stealth_legend_Name"	"Хамелеон Mk2"
"CarPart_TurretDeployerMissile_epic_Desc"	"Создает боевую турель, которая обороняет периметр ограниченное время."
"CarPart_TurretDeployerMissile_epic_Name"	"ТР Анаконда"
"CarPart_TurretDeployer_rare_Desc"	"Создает боевую турель, которая обороняет периметр ограниченное время."
"CarPart_TurretDeployer_rare_Name"	"ТЗ Кобра"
"CarPart_WheelDroneDeployer_Desc"	"Выпускает подвижного боевого дрона на колесах, который поражает любые цели в радиусе атаки."
"CarPart_WheelDroneDeployer_Name"	"Прихвостень"
"CarPart_AlphaSign_Big_Desc"	"Большой и важный знак, вызывающий зависть у каждого встречного выжившего."
"CarPart_AlphaSign_Big_Name"	"Большой знак «Альфа»"
"CarPart_AlphaSign_Small_Desc"	"Небольшой, но уникальный знак. Не в размере дело."
"CarPart_AlphaSign_Small_Name"	"Малый знак «Альфа»"
"CarPart_ArmorSkull_Piece_desc"	"Фрагмент для сборки украшения «Бронечереп»"
"CarPart_ArmorSkull_Piece_name"	"Фрагмент «Бронечереп»"
"CarPart_Bag03_desc"	"Что скажет больше о чувстве стиля, чем этот прекрасный мешок."
"CarPart_Bag03_name"	"Мешок"
"CarPart_Banner_Base_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Механиков более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Base_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Механиков более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Base_minor_Name"	"Флаг Механиков"
"CarPart_Banner_Base_Name"	"Штандарт Механиков"
"CarPart_Banner_Frenzied_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Бешеных более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Frenzied_major_Name"	"Штандарт Бешеных"
"CarPart_Banner_Frenzied_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Бешеных более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Frenzied_minor_Name"	"Флаг Бешеных"
"CarPart_Banner_Military_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Степных Волков более значимой. ||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Military_major_Name"	"Штандарт Степных Волков"
"CarPart_Banner_Military_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Степных Волков более значимой. ||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Military_minor_Name"	"Флаг Степных Волков"
"CarPart_Banner_Scavengers_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Мусорщиков более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scavengers_major_Name"	"Штандарт Мусорщиков"
"CarPart_Banner_Scavengers_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Мусорщиков более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scavengers_minor_Name"	"Флаг Мусорщиков"
"CarPart_Banner_Scientists_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Детей рассвета более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scientists_major_Name"	"Штандарт Детей рассвета"
"CarPart_Banner_Scientists_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Детей рассвета более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scientists_minor_Name"	"Флаг Детей рассвета"
"CarPart_Banner_Spears_Desc"	"Эта конструкция из копий и черепов — вершина творческой мысли одной из радикальных банд."
"CarPart_Banner_Spears_Name"	"Копья"
"CarPart_Banner_Spears_Piece_desc"	"Фрагмент для сборки украшения «Копья»"
"CarPart_Banner_Spears_Piece_name"	"Фрагмент «Копья»"
"CarPart_Banner_Vagabonds_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Скитальцев более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Vagabonds_major_Name"	"Штандарт Скитальцев"
"CarPart_Banner_Vagabonds_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Скитальцев более значимой.||Бонус засчитывается, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Vagabonds_minor_Name"	"Флаг Скитальцев"
"CarPart_Barrel_Desc"	"Позволяет получать топливо в PvP боях. Дает 5 бензина. Эффект от нескольких бочек не складывается.|При уничтожении взрывается и наносит @ffff0000$death_blast_damage$@ffffffff урона в радиусе @ffff0000$death_blast_radius$@ffffffff метров."
"CarPart_Barrel_Name"	"Топливная бочка"
"CarPart_BigBag_Desc"	"Больше мешков богу мешков!"
"CarPart_BigBag_Name"	"Дорожная сумка"
"CarPart_Brace_Desc"	"Не бывает слишком мелких деталей, когда речь идет о красоте."
"CarPart_Brace_Name"	"Скоба"
"CarPart_Brakelights1_Desc"	"Кажется, что больше нет правил, и не надо никого предупреждать о торможении. Но невозможно сопротивляться магии мигающих красных огоньков..."
"CarPart_Brakelights1_Name"	"Стоп-сигнал"
"CarPart_Brakelights2_Desc"	"Кажется, что больше нет правил, и не надо никого предупреждать о торможении. Но невозможно сопротивляться магии мигающих красных огоньков..."
"CarPart_Brakelights2_Name"	"Задний фонарь"
"CarPart_CarHorn_Cucaracha_Desc"	"Тройной удар по нервам противника. Или союзника...|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_Cucaracha_Name"	"«Кукарача»"
"CarPart_CarHorn_Desc"	"Повторяет призывный рев одинокого мамонта. Ну, или сигнал массивного грузовика.|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_Funny_Desc"	"Юмор уместен в любой ситуации, не так ли?|(Звучать будет последний установленный гудок)"
"CarPart_CarHorn_Funny_Name"	"«Шутник»"
"CarPart_CarHorn_Hell_Desc"	"Размер не имеет значения!|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_Hell_Name"	"Гудильник"
"CarPart_CarHorn_Klaxon_Desc"	"Сложно переоценить фактор неожиданности при ведении боевых действий.|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_Klaxon_Name"	"«Аншлаг 2»"
"CarPart_CarHorn_Name"	"«Олифант»"
"CarPart_CarHorn_PoliceShort_Desc"	"Даже самые стойкие водители невольно выкручивают руль вправо, услышав этот сигнал. |(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_PoliceShort_Name"	"«Прижмитесь вправо»"
"CarPart_CarHorn_ShipHigh_Desc"	"Серьезная техника для серьезных людей.|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_ShipHigh_Name"	"«Потемкин»"
"CarPart_CarHorn_ShipLow_Desc"	"От этого звука выпадают остатки стекол из окон и, кажется, должен крошиться лед.|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_ShipLow_Name"	"«Титаник»"
"CarPart_CarHorn_Train_Desc"	"Навевает ностальгические воспоминания о железнодорожном переезде.|(Звучать будет последний установленный гудок.)"
"CarPart_CarHorn_Train_Name"	"«Экспресс»"
"CarPart_CarHorn_Train_Piece_desc"	"Фрагмент для сборки украшения «Экспресс»"
"CarPart_CarHorn_Train_Piece_name"	"Фрагмент «Экспресс»"
"CarPart_CarSeat_Desc"	"Повышает получаемую репутацию на @ff00ff00$exp_reward_bonus$%@ffffffff."
"CarPart_CarSeat_Name"	"Кресло"
"CarPart_Duck_Desc"	"Понятие милоты не чуждо даже самым черствым сердцам."
"CarPart_Duck_Name"	"Уточка"
"CarPart_Duck_Piece_desc"	"Фрагмент для сборки украшения «Уточка»"
"CarPart_Duck_Piece_name"	"Фрагмент «Уточка»"
"CarPart_Eagle_Desc"	"Такими гербами традиционно были украшены машины офицеров Нового Мирового Порядка. Но после того, как предприимчивый Скиталец выкрал у них дизайн орла, каждый может почувствовать себя... лидером."
"CarPart_Eagle_Name"	"Орел"
"CarPart_EvilDuck_Desc"	"Этот идол, попирающий все светлое и прекрасное, внушает ужас и отвращение любому. Никогда не устанавливайте его на свою машину."
"CarPart_EvilDuck_Name"	"Уткинатор"
"CarPart_EvilDuck_Piece_desc"	"Фрагмент для сборки украшения «Уткинатор»"
"CarPart_EvilDuck_Piece_name"	"Фрагмент «Уткинатор»"
"CarPart_Exhaust2_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_Exhaust2_Name"	"Выхлопная труба 2"
"CarPart_Exhaust3_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_Exhaust3_Name"	"Адовые трубы"
"CarPart_Exhaust_desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_Exhaust_name"	"Выхлопная труба"
"CarPart_FenderFlare2_desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_FenderFlare2_name"	"Расширитель крыла"
