"2STEP_AUTHORIZATION_ENABLED"	"Ваш аккаунт защищен."
"advertising_H_Name"	"Набор «Подарочный 8»"
"advertising_I_Name"	"Набор «Подарочный 9»"
"advertising_J_Name"	"Набор «Подарочный 10»"
"advertising_K_Name"	"Набор «Подарочный 11»"
"advertising_L_Name"	"Набор «Подарочный 12»"
"advertising_M_Name"	"Набор «Подарочный 13»"
"advertising_N_Name"	"Набор «Подарочный 14»"
"advertising_O_Name"	"Набор «Подарочный 15»"
"advertising_P_Name"	"Набор «Подарочный 16»"
"advertising_Q_Name"	"Набор «Подарочный 17»"
"Alienware2018_bundle_Desc"	"- Уникальный бронемобиль «Alien»|- Кабина «Егерь»|- Оружие: три пулемета «П-54М Аккорд»|- Уникальная наклейка «Alien»|- Уникальная краска «Blue Honeycomb»|- Увеличение лимита используемых деталей до 25|- Сканер на 3 дня"
"Alienware2018_bundle_Name"	"Специальный набор «Alien Starter Pack»"
"ambulance01_bundle_vehicle_desc"	"Карета скорой помощи, на которой Мортус годами перевозил больных, и после катастрофы оказалась ему полезной. Внешний вид и предназначение изменились под новые нужды хозяина. Этот автомобиль в Пустошах стал вестником смерти, увидеть его даже издалека сулит неминуемую гибель. Если добрый доктор услышит зов о помощи, он не пощадит никого. Поэтому сиди тихо, как бы больно ни было."
"ambulance01_bundle_vehicle_name"	"Последняя помощь"
"AppearanceCardWnd_caption"	"Информация о товаре"
"AppearanceCardWnd_contains"	"Включает в себя:"
"AppearanceCardWnd_to_shop"	"Вернуться в магазин"
"AutobuildParamWnd_Title"	"Настройка автосборки"
"avatar_battletest_desc"	"Учился по обмену в престижном вузе, подрабатывая парикмахером, модно одевался и кутил, как все. Жизнь не подготовила его к катастрофе, но когда мир рухнул, он остался крепко стоять на ногах. Мысли о семье, оставшейся за океаном, и жгучее желание когда-нибудь увидеть их снова заставляют его продолжать жить и бороться."
"avatar_bot_desc"	"Его пластиковые глаза видели такое, от чего у любого выжившего поседели бы волосы. Он помнит дикое время, когда встреча со Жнецом означала неминуемую гибель. Когда Пустоши бороздили не знающие физических законов машины. Когда каждая поездка могла закончиться полным разрушением всех деталей. Когда деревья были большими. Плачет он или улыбается?"
"avatar_cbt_desc"	"Когда рейдеры узнали об его недавно открывшемся таланте превращать органику в металл, Иного выследили, заточили в пещеру и заставили производить золото из костей. Освобожденный Механиками, он бежал в Пустоши, где теперь сторонится людей, предпочитая общество животных.|И все же встретить этого потерянного - большая удача. Ведь, несмотря на пережитые испытания, он сохраняет присутствие духа и всегда готов помочь ближнему."
"avatar_cbt_name"	"Иной"
"avatar_default_desc"	"Перестал стареть, подвергнувшись действию вируса Crossout. Так он объясняет, почему за все эти годы он не прибавил ни одной морщины. Но судя по случайным оговоркам, он гораздо, гораздо старше, чем выглядит."
"avatar_default_name"	"Кай"
"avatar_gamescom2017_name"	"Микки"
"avatar_gm_etc_desc"	"Если вы встретите в Пустошах носителя значка ГМО, то паниковать уже поздно. Конечно, вас еще может спасти удачно упавший метеорит, или проходящая мимо голодная химера, но скорее всего, ваши белки и аминокислоты будут отделены от носителя и послужат великой цели. Ведь те, кто носят такой значок, одними из первых были поражены кроссаутом и поняли, какие возможности он раскрывает. Они верят, что за катастрофой стоит сверх-разум и пытаются вступить с ним в контакт, принося жертвы."
"avatar_gm_etc_name"	"Тень"
"BINDING_NAME_autobuild"	"Автосборка"
"BINDING_NAME_mapScaleDec"	"Отдалить мини-карту"
"BINDING_NAME_mapScaleInc"	"Приблизить мини-карту"
"Blockpost_Defeat_nomads_text"	"Бездарная партия. Подумайте дважды, прежде чем еще раз соваться. Хотя я не уверен, что вам хватит двух раз, чтобы что-то запомнить."
"Blockpost_Defeat_nomads_text2"	"Все всегда заканчивается одинаково."
"Blockpost_Defeat_psycho_text"	"Раз, два, три, четыре — всех противников УБИЛИ!"
"Blockpost_Defeat_psycho_text2"	"Раз, два, три, четыре, пять — с этих пор молчать! Чей труп засмеется, тот второй раз убьется!"
"Blockpost_Defeat_psycho_text3"	"Пиф-паф! Ой-ой-ой! Умирает зайчик мой."
"Blockpost_Defeat_scavengers_text"	"Получили по заслугам?! Мусорщиков фуры уводить — это ж совсем без мозгов надо быть!"
"Blockpost_Defeat_scavengers_text2"	"Было наше — стало ваше, а потом снова наше. Ха! Не пытайтесь больше стянуть наши фуры."
"Blockpost_Defeat_scavengers_text3"	"Ну все, доездились."
"Blockpost_Post1_nomads_text"	"Остановитесь и сложите оружие, пока не покалечились. "
"Blockpost_Post1_nomads_text2"	"Последний шанс струсить и сдать назад. За этим блокпостом вас ждет расправа."
"Blockpost_Post1_nomads_text3"	"Сколько вам платит этот угонщик фур? Я заплачу больше. Молчите? Тогда пусть говорят пушки!"
"Blockpost_Post1_psycho_text"	"Пели птички, пели. За ворота улетели. За ворота не ходить, кто пройдет — того УБИТЬ!"
"Blockpost_Post1_scavengers_text"	"Вы глухие или тупые? Куда собрались? Возвращайте фуру быстро!"
"Blockpost_Post1_scavengers_text2"	"Кхе-кхе, Дозер на связи. Дальше хода нет."
"Blockpost_Post2_nomads_text2"	"Повторение — мать учения, ха? Хорошо. Подставляйте борта своих машин, мы повторим."
"Blockpost_Post2_psycho_text2"	"Стоит блокпост, неприступен он. Собирайте монатки и убирайтесь ВОН!"
"Blockpost_Post2_psycho_text3"	"На втором блокпосте сидели: царь, царевич, король и... скелеты тех, кто сюда сунулся!"
"Blockpost_Post2_scavengers_text"	"Еще не передумали? Тогда попробуйте-ка пробиться через это! Второй блокпост мы покруче защитили."
"Blockpost_Post2_scavengers_text2"	"Стреляйте, стреляйте. Нам блокпоста не жалко, у нас еще есть."
"Blockpost_Post2_scavengers_text3"	"Какого?!.. Все еще не померли? Ну-ка перестали стрелять, в вас целиться неудобно! Сейчас наши башни вам зададут."
"Blockpost_Post3_nomads_text"	"Видимо по-хорошему до вас не достучаться. Я на это и надеялся. Переходим к плану «Б»! Тотальное уничтожение!"
"Blockpost_Post3_nomads_text2"	"Зря радуетесь, что забрались так далеко. Чем дальше, тем больше колеса, которые вас раздавят!"
"Blockpost_Post3_nomads_text3"	"Все, конец вам и вашим преступлениям! Встречайте машину правосудия!"
"Blockpost_Post3_psycho_text"	"Скара, скара, ска-ра-бей, выползай и всех УБЕЙ!"
"Blockpost_Post3_psycho_text2"	"Раз, два, три, четыре, пять. Научились вы считать. Ну а дальше мы не знаем... Может, в босса ПОСТРЕЛЯЕМ?!"
"Blockpost_Post3_psycho_text3"	"Раз, два, три, четыре, пять, вышел зайчик погулять. Вдруг охотник выбегает... Прямо в зайчика СТРЕЛЯЕТ!"
"Blockpost_Post3_scavengers_text2"	"Приехали, ваш конвой дальше не идет. Мы выкатываем свой!"
"Blockpost_Post3_scavengers_text3"	"Ну че, хотите сдаться? А поздно, наш главарь уже завел мотор!"
"Blockpost_scavengers_caption"	"Дозер"
"Blockpost_Start_nomads_text"	"Мир вам! Транспорт, который вы сопровождаете, — собственность Скитальцев. И я настоятельно рекомендую вам вернуть его без боя. "
"Blockpost_Start_nomads_text2"	"Последние пять неудачников, «случайно» оказавшихся на нашей земле, теперь ползают по Пустошам без колес. Догадываетесь, какая судьба ждет воров?"
"Blockpost_Start_nomads_text3"	"Не подскажете, сколько вам заплатил этот угонщик фур, чтобы выбраться отсюда? Я мог бы предложить больше. Но не буду. Не веду дел с угонщиками."
"Blockpost_Start_psycho_text"	"Вот же смельчаки, воровать у нас фуры. УБИТЬ НА МЕСТЕ!"
"Blockpost_Start_psycho_text2"	"Ехала фура темным лесом — за каким-то интересом. Инти-инти-интерес — выходи на букву «УМРИТЕ»! Потому что это наша фура!"
"Blockpost_Start_psycho_text3"	"Ха! Фуры мы поймали вора, ждет своего он приговора. Надо думать и гадать, как его нам наказать. Оторвем все руки, ноги да и пустим ПО ДОРОГЕ!"
"Blockpost_Start_scavengers_text"	"Здорова, выжившие! У-у-у, а фура-то знакомая. Зря вы в эти дела воровские вляпались. Но я сегодня добрый, дам шанс сдаться без боя."
"Blockpost_Start_scavengers_text2"	"Раз-раз, слышно меня? Кто-то спер нашу фуру. Попадетесь на глаза — пристрелю."
"Blockpost_Start_scavengers_text3"	"Тэк-с, что это тут у нас? Ворованная фура! Бросьте. Или больше нечем будет на педаль давить."
"Blockpost_Win_nomads_text"	"Фортуна повернулась ко мне спиной. Но завтра измениться может все."
"Blockpost_Win_nomads_text2"	"Кх... Как же... так?"
"Blockpost_Win_nomads_text3"	"Н-е-е-т, мы проиграли! Передайте моей семье, что я..."
"Blockpost_Win_psycho_text"	"Агрх! Ладно. Ваша взяла! Убью кого-нибудь другого!"
"Blockpost_Win_psycho_text2"	"Хорошо сыграли. Жаль, нас покарали."
"Blockpost_Win_psycho_text3"	"Кто пулю поймал — тот молодец, ведь считалочке конец."
"Blockpost_Win_scavengers_text"	"Блокпосты, главно, разнесли, еще и фуру сперли. Вот гады!"
"Blockpost_Win_scavengers_text2"	"Проиграли. Тьфу!"
"Blockpost_Win_scavengers_text3"	"Ладно, ладно. Ваша взяла! Но только в этот раз. Запомнили?"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"При сборке чертежа отсутствующие запчасти будут заменены случайными аналогичными частями того же типа."
"BLUEPRINT_EXHIBITION_EXPAND"	"Расширить"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"Поделиться своим чертежом с другими выжившими, чтобы они могли оценить и скачать его с выставки"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"Невозможно загрузить чертеж, так как левиафан сейчас находится в бою. Сначала верните его в гараж."
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"Невозможно загрузить чертеж, так как в данный момент сервис левиафанов недоступен. Подождите несколько минут и попробуйте еще раз."
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"Невозможно загрузить чертеж в данный момент. Сначала надо получить награду, которую левиафан вынес из последнего боя."
"BLUEPRINT_LOAD_TOOLTIP"	"Собрать бронемобиль по выбранному чертежу, используя детали, которые есть на складе"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000Сборка этого чертежа удалит автомобиль из текущего парковочного места. Продолжить?"
"BLUEPRINT_PREVIEW_TOOLTIP"	"Испытать бронемобиль на полигоне"
"boar_bundle_vehicle_desc"	"Легкая и маневренная машина, способная быстро сблизиться с целью и протаранить ее клыками, установленными на кабину. Впрочем, машина чувствует себя вполне уверенно и на ближней дистанции благодаря двум «Кувалдам». "
"boar_bundle_vehicle_name"	"Кабан"
"Bombrun_Boss_nomads_text"	"Нехорошо получилось с вышкой... Я недооценил вас. Но на этот раз встречайте подходящего противника!"
"Bombrun_Boss_nomads_text2"	"Кажется, моих усилий было недостаточно. Придется просить помощи у главаря!"
"Bombrun_Boss_nomads_text3"	"Проклятье! Я вынужден применить лучшее, что есть в моем арсенале. Приступим!"
"Bombrun_Boss_psycho_text"	"МОЯ ВЫШЕЧКА! За че вы ее так?! Ну все, я завожу свою тачилу. Щас размотаю вас! Кишки будете по всей Долине собирать!"
"Bombrun_Boss_psycho_text2"	"Вот зачем вы вышку взорвали, вот чего вы добились? Расстроили меня! Я и так со взрывным характером, а вы еще порохом сверху посыпали!"
"Bombrun_Boss_psycho_text3"	"Блин! Я до последнего думал, что это подарок! Что за двуличные жулики, как вас вообще земля держит? Вы разбили мне сердце, я разобью вам лица!"
"Bombrun_Boss_scavengers_text"	"Ничего-то вас не берет! Придется тяжелые аргументы доставать."
"Bombrun_Boss_scavengers_text3"	"Только не взрывы! Только не снова! Я вас уничтожу, каких бы ресурсов мне это ни стоило!"
"Bombrun_Defeat_nomads_text"	"Время учиться на своих ошибках."
"Bombrun_Defeat_nomads_text2"	"Решили сдаться? Спасибо, так приятно."
"Bombrun_Defeat_psycho_text"	"Е-хе-хе! Не видать вам вашего бума! Мы вас типо честно победили, все дела."
"Bombrun_Defeat_psycho_text2"	"Моя фура, моя принцесса, моя прелесть! Она вам больше не пригодится, заберу себе! Спасибо за подарок, я просто взрываюсь от счастья!"
"Bombrun_Defeat_psycho_text3"	"Бомбически круто мы вам надавали, ага?"
"Bombrun_Defeat_scavengers_text"	"И чтобы больше никаких взрывов на моей земле! Усекли?"
"Bombrun_Defeat_scavengers_text2"	"Хорошо, хорошо... А теперь нужно отвезти эту заминированную фуру как можно дальше от меня."
"Bombrun_Defeat_scavengers_text3"	"Прекрасно! Никто больше сегодня не взорвется. И не сгорит в машине..."
"Bombrun_Def_nomads_text2"	"А вы и правда настроены серьезно. Думаете, у вас получится взорвать вышку? Я приложу все усилия, чтобы этого не произошло!"
"Bombrun_Def_nomads_text3"	"Взорвали ворота, а теперь решили вышку? Это уже ни в какие рамки, господа. Мы уничтожим вас до того, как транспорт детонирует!"
"Bombrun_Def_psycho_text"	"Тачка ж ща рванет! Э-э-э, алло! Только мне разрешено устраивать тут фейерверки!"
"Bombrun_Def_psycho_text2"	"Ребят, это ж нефтяная вышка. Нельзя тут взрывоопасные фуры парковать. Или погодите, это и был ваш план?! Ах вы ж поехавшие! Ну держитесь тогда!"
"Bombrun_Def_psycho_text3"	"Ну все, мое терпение взорвалось, вы уже сильно перегибаете! Руки прочь от фуры и, может быть, я вас просто пристрелю."
"Bombrun_Def_scavengers_text"	"Хм, фура остановилось. Погодите-ка... Сейчас взорвется! Не-е-т, только не снова! Убейте их!"
"Bombrun_Def_scavengers_text3"	"Еще немного и вышка взлетит на воздух! Никаких взрывов! Нет! Вам не удастся защитить фуру!"
"Bombrun_Gate_nomads_text"	"Еще не поздно повернуть назад, пока стоят ворота. Но пощады не ждите, если заряды соберете."
"Bombrun_Gate_nomads_text2"	"Предлагаю сделку: вы не трогаете заряды, наши ворота остаются целы и... мы даже сохраним вам жизнь и колеса! Нет? Прекрасно, будет по-вашему. "
"Bombrun_Gate_nomads_text3"	"Правильно ли я понимаю, что вы собираетесь взорвать наши ворота? Простите, не могу стоять в стороне и смотреть. Такое уж воспитание."
"Bombrun_Gate_psycho_text2"	"Не, спасибо, конечно, что до ворот довезли. Ребят, правда не стоило. Сейчас мой парень выйдет и заберет ее, окей?"
"Bombrun_Gate_psycho_text3"	"Да я сейчас взорвусь от зависти! Зачем вам заминированная тачка, покататься и на обычной можно! Оставьте ее у ворот, и я даже дам вам уйти. Честно-честно."
"Bombrun_Gate_scavengers_text"	"Вы слепые? Проезд закрыт! Разворачивайтесь и не пытайтесь подобрать взрывпакеты. Взрыв ворот — это плохая идея!"
"Bombrun_Gate_scavengers_text3"	"Тут повсюду разбросаны заряды! Нет! Не-е-т!.. Мы вас остановим."
"Bombrun_nomads_caption"	"Джефф"
"Bombrun_psycho_caption"	"Освальд"
"Bombrun_scavengers_caption"	"Автоген"
"Bombrun_Start_nomads_text"	"Приветствую странников на нашей территории! Ваш конвой выглядит опасно. Остановитесь сами, или мы применим силу."
"Bombrun_Start_nomads_text3"	"Заблудившиеся странники на нашей территории? Должен вас предупредить, что дальше путь закрыт."
"Bombrun_Start_psycho_text"	"Слышь, че надо на нашей территории? Не лезьте со своей бомбой на мою землю, мне же завидно!"
"Bombrun_Start_psycho_text2"	"Опа, что за приятный звук? Это что, заминированная тачка? Ребят, да не стоило, у меня даже не день рождения!"
"Bombrun_Start_scavengers_text"	"Куда ломанулись? Через нашу землю да еще и на этой странной фуре. Назад, я сказал!"
"Bombrun_Start_scavengers_text2"	"Кх-кх. Мне кажется, или пахнет порохом? Вот черт, фура заминирована!"
"Bombrun_Win_nomads_text"	"Поражение — это путь к победе. В следующий раз мы будем лучше готовы."
"Bombrun_Win_nomads_text2"	"Вы победили. Признаюсь, это было неожиданно."
"Bombrun_Win_nomads_text3"	"Придется признать — вы победили."
"Bombrun_Win_psycho_text"	"А-ха-ха, кажись, сгорели мы на работе!"
"Bombrun_Win_psycho_text2"	"Да что же вы все игрушки ломаете! Ну вот как с вами работать?!"
"Bombrun_Win_psycho_text3"	"Вот это ВЗРЫ-Ы-ЫВ! Да знаю я, что нас подорвали! Но было же огонь!"
"Bombrun_Win_scavengers_text2"	"Не-е-е-т! Мы были обязаны остановить все эти взрывы!"
"Bombrun_Win_scavengers_text3"	"Нет! Нет! Вы не могли нас победить!"
"BOX_A_Name"	"Набор «Сундук новичка»"
"BOX_B_Name"	"Набор «Сундук новобранца»"
"BOX_C_Name"	"Набор «Сундук офицера»"
"BOX_D_Name"	"Набор «Сундук обер-офицера»"
"BOX_E_Name"	"Набор «Сундук с запчастями»"
"brawl_Boss_henchman2"	"Гарри"
"brawl_Boss_henchman3"	"Марв"
"brawl_Boss_henchman4"	"Грубер"
"BRIEFING_WAIT_OTHER_PLAYERS"	"Ожидание других игроков"
"BundleRewardWnd_Duration"	"До разрушения $time$"
"Bundle_14feb_18_Name"	"Набор «День Святого Валентина»"
"Bundle_ambulance_name"	"Набор «Пандемия»"
"Bundle_ambulance_womoney_name"	"Набор «Пандемия»"
"Bundle_boar_name"	"Набор «Дикая охота»"
"Bundle_boar_womoney_name"	"Набор «Дикая охота»"
"Bundle_ChinaEvent_Desc"	"Награда за начало китайского ОБТ"
"Bundle_fiery_claw_Desc"	"- Уникальный скоростной бронемобиль «Огненный коготь»|- Оружие: автоматическая пушка «АП43 Рапира», 20 мм|- Портрет героя «Шаман воздуха»|- Баллончик с краской «Шаблон: Лава»|- Увеличение количества используемых деталей до 55|- 500 внутриигровых монет"
"Bundle_fiery_claw_Name"	"Набор «Огненный коготь»"
"Bundle_Firestarters_Name"	"Набор «Поджигатель»"
"Bundle_Firestarters_womoney_Name"	"Набор «Поджигатель»"
"Bundle_Football_Desc"	"- Уникальный бронемобиль «Фургон болельщика»|- Уникальный гудок «Вувузела»|- Уникальный портрет героя «Гектор»|- Уникальный декор: файер «Синяк» и файер «Фингал»|- Уникальная наклейка «Мяч в игре»|- Баллончик с уникальной краской «На чемпионат!»|- Увеличение количества используемых деталей до 40|- 500 внутриигровых монет"
"Bundle_Football_Name"	"Набор «Третий тайм»"
"Bundle_Football_womoney_Desc"	"- Уникальный бронемобиль «Фургон болельщика»|- Уникальный гудок «Вувузела»|- Уникальный портрет героя «Гектор»|- Уникальный декор: файер «Синяк» и файер «Фингал»|- Уникальная наклейка «Мяч в игре»|- Баллончик с уникальной краской «На чемпионат!»|- Увеличение количества используемых деталей до 40"
"Bundle_Football_womoney_Name"	"Набор «Третий тайм»"
"Bundle_Hunter_Desc"	"- Уникальный бронемобиль «Загонщик»|- Оружие: уникальный эпический миноукладчик «Капкан»|- Дополнительное оружие: три мощных дробовика «Кувалда»|- Уникальная кабина «Призрак»|- Уникальный портрет героя «Волкодав»|- Уникальная наклейка «Голод» x2|- Баллончик с уникальной краской «Туманные болота»|- Увеличение количества используемых деталей до 55|- 2650 внутриигровых монет"
"Bundle_Hunter_Name"	"Набор «Призрачный охотник»"
"Bundle_Hunter_womoney_Desc"	"- Уникальный бронемобиль «Загонщик»|- Оружие: уникальный эпический миноукладчик «Капкан»|- Дополнительное оружие: три мощных дробовика «Кувалда»|- Уникальная кабина «Призрак»|- Уникальный портрет героя «Волкодав»|- Уникальная наклейка «Голод» x2|- Баллончик с уникальной краской «Туманные болота»|- Увеличение количества используемых деталей до 55"
"Bundle_Hunter_womoney_Name"	"Набор «Призрачный охотник»"
"Bundle_Landing_cabin_Name"	"Специальный подарок"
"Bundle_Landing_weapon_Desc"	"- Пулемет «П-54М Аккорд»|- Дробовик «Обрез»|- Пушка «Мститель 57мм»|||Ты можешь использовать полученные детали сейчас или сделать это позже. Детали находятся в разделе «Склад»"
"Bundle_Landing_weapon_Name"	"Специальный подарок"
"Bundle_obt_gift_large_Desc"	"- Уникальный тяжелый бронемобиль «Бродяга»|- Оружие: пушка «Палач 88мм»|- Уникальная кабина «Медведь»|- Уникальный портрет героя «Выживший»|- Баллончики с красками: «Шаблон: Цифровая пустыня», «Мираж металлик»|- Увеличение количества используемых деталей до 55"
"Bundle_obt_gift_medium_Desc"	"- Уникальный укрепленный бронемобиль «Фенрир»|- Оружие: автоматическая пушка «АП72 Вихрь», 25 мм|- Уникальная кабина «Ярость»|- Уникальный портрет героя «Вотан»|- Баллончики с красками: «Шаблон: Пламя», «Материал: Карбон»|- Увеличение количества используемых деталей до 55"
"Bundle_obt_gift_small_Desc"	"- Уникальный скоростной бронемобиль «Железный коготь»|- Оружие: автоматическая пушка «АП43 Рапира», 20 мм|- Уникальный портрет героя «Шаман воздуха»|- Баллончики с краской: «Материал: Алюминий», «Шаблон: Молния»|- Увеличение количества используемых деталей до 55"
"Bundle_obt_gift_tank_Desc"	"- Уникальный гусеничный бронемобиль «Выживший»|- Оружие: башенная пушка «ЗИС-34 Толстяк», пулемет «П-54М Аккорд»|- Уникальная кабина «Панцирь»|- Уникальный портрет героя «Танкист»|- Баллончики с красками: «Материал: Кварц», «Шаблон: Блуждающий огонь»|- Увеличение количества используемых деталей до 55"
"Bundle_Sportcar_Name"	"Набор «Коррида»"
"Bundle_WW1_Desc"	"- Уникальный бронемобиль «Mark EX»|- Оружие: два редких фронтальных пулемета «П-23 Защитник» и эпическая башенная пушка «ЗИС-34 Толстяк»|- Уникальные гусеницы «Гусеница Голиаф» эпической редкости х2|- Уникальный портрет героя «Лейтенант Митчелл»|- Уникальная наклейка «Псы войны» х2|- Баллончик с уникальной краской «Раскраска Соломона»|- Увеличение количества используемых деталей до 55|- 3400 внутриигровых монет"
"Bundle_WW1_name"	"Набор «Железный щит»"
"Bundle_WW1_womoney_Desc"	"- Уникальный бронемобиль «Mark EX»|- Оружие: два редких фронтальных пулемета «П-23 Защитник» и эпическая башенная пушка «ЗИС-34 Толстяк»|- Уникальные гусеницы «Гусеница Голиаф» эпической редкости х2|- Уникальный портрет героя «Лейтенант Митчелл»|- Уникальная наклейка «Псы войны» х2|- Баллончик с уникальной краской «Раскраска Соломона»|- Увеличение количества используемых деталей до 55"
"Bundle_WW1_womoney_name"	"Набор «Железный щит»"
"Bundle_Xmas17_Desc"	"- Уникальный бронемобиль «Ледокол»|- Оружие: два фронтальных пулемета «П-26 Заградитель» эпической редкости|- Уникальная кабина «Холодильник» эпической редкости|- Двигатель «Работяга», «Охладитель оружия»|- Уникальный портрет героя «Джек Фрост»|- Баллончики с красками: «Холодное пламя», «Материал: Алюминий»|- Увеличение количества используемых деталей до 55|- 2100 внутриигровых монет"
"Bundle_Xmas17_mini_bound_Desc"	"- Уникальный бронемобиль «За елкой»|- Уникальный портрет героя «Ник Фрост»|- Уникальный декор «Из лесу вестимо»|- Баллончик с краской «Подарочек»|- Увеличение количества используемых деталей до 35|- 500 внутриигровых монет"
"Bundle_Xmas17_mini_bound_Name"	"Набор «Новогодний малый»"
"bundle_xmas17_mini_Desc"	"- Уникальный бронемобиль «За елкой»|- Уникальный портрет героя «Ник Фрост»|- Уникальный декор «Из лесу вестимо»|- Баллончик с краской «Подарочек»|- Увеличение количества используемых деталей до 35|- 500 внутриигровых монет"
"bundle_xmas17_mini_Name"	"Набор «Новогодний малый»"
"bundle_xmas17_mini_womoney_Desc"	"- Уникальный бронемобиль «За елкой»|- Уникальный портрет героя «Ник Фрост»|- Уникальный декор «Из лесу вестимо»|- Баллончик с краской «Подарочек»|- Увеличение количества используемых деталей до 35"
"bundle_xmas17_mini_womoney_Name"	"Набор «Новогодний малый»"
"Bundle_Xmas17_Name"	"Набор «Холодная ярость»"
"Bundle_Xmas17_womoney_Name"	"Набор «Холодная ярость»"
"Bundle_Xmas_Yt_name"	"Набор «Союз игроков»"
"Cabin_DronSpawn_name"	"Оборотень"
"Cabin_InnateMelee_Desc"	"Кабина «Цербер» — лучший друг выжившего. Все понимает, только сказать не может. Потрошит врагов в ближнем бою, словно у нее три пасти."
"Cabin_Lambo_Desc"	"Кабина от мощного суперкара оборудована скоростным движком и некоторыми ноу-хау, повышающими точность стрельбы."
"Cabin_Lambo_Name"	"Торреро"
"Cabin_Mi24_Desc"	"Когда-то эта кабина принадлежала вертолету и поднималась в небо. В это так же тяжело поверить, как и в то, что телевизоры убивают. Однако все из этого — правда."
"Cabin_Mi24_Name"	"Призрак"
"Cabin_Tribal_Hog_Desc"	"Клыки, закрепленные на этой кабине, — не только элемент устрашения, но и необычное оружие ближнего боя. "
"Cabin_Tribal_Hog_Name"	"Бивень"
"Cabin_Tribal_name"	"Нетопырь"
"Cabin_Tribal_RaiderSkin_Desc"	"Ретродизайн и лаконичность. В этой кабине, собранной неизвестным гением, сохранился дух давно ушедшей эпохи Великих войн."
"call_to_action_to_quests"	"К заданиям"
"Captcha_text"	"Введите текст с изображения."
"Captcha_text_2"	"Осталось попыток: $val$."
"CarDriver_Firestarters_lvl10_desc"	"Наносимый огненный урон выше на $car_damage_flame_mul$%"
"CarDriver_Firestarters_lvl11_name"	"Каленая сталь 3"
"CarDriver_Firestarters_lvl12_name"	"Ваншот 3"
"CarDriver_Firestarters_lvl13_desc"	"$targets$: боезапас +$ammo_add$ шт."
"CarDriver_Firestarters_lvl14_desc"	"Дрон, остающийся после гибели кабины $targets$ прочнее на $nested_car_max_health_mul$%"
"CarDriver_Firestarters_lvl14_name"	"Второй шанс"
"CarDriver_Firestarters_lvl14_old_desc"	"$targets$: работает дольше на $work_time_mul$%"
"CarDriver_Firestarters_lvl14_old_name"	"Обжигающая ярость"
"CarDriver_Firestarters_lvl15_desc"	"Максимальная скорость всех ходовых +$speed_limit_mul$%"
"CarDriver_Firestarters_lvl15_name"	"Неудержимый"
"CarDriver_Firestarters_lvl1_name"	"Каленая сталь 1"
"CarDriver_Firestarters_lvl2_name"	"Ваншот 1"
"CarDriver_Firestarters_lvl3_name"	"Крепкие ноги"
"CarDriver_Firestarters_lvl4_desc"	"$targets$: перезарядка быстрее на $shooting_cooldown_mul$%"
