"2STEP_AUTHORIZATION_ENABLED"	"บัญชีของคุณได้รับการรักษาความปลอดภัยแล้ว"
"avatar_cbt_desc"	"เมื่อเหล่านักสู้ทั้งหลายได้เรียนรู้ทักษะของการเปลี่ยนสารอินทรีย์ให้เป็นโลหะ เขาซึ่งถูกคุมขังได้โดนบังคับให้ผลิตทองคำที่มาจากกระดูก หลังจากที่เขาถูกปลดปล่อยให้เป็นอิสระโดยกลุ่ม Engineers เขาได้หนีไปยัง Wasteland และปลีกตัวออกจากสังคมไปใช้ชีวิตอยู่กับสัตว์ต่างๆ และเพื่อตามหาสิ่งที่เขาเสียไป แม้ว่าจะถูกทดลองต่างๆนาๆแต่เขายังคงมีจิตของความเป็นมนุษย์และชอบที่จะช่วยเหลือใครต่อใคร"
"avatar_cbt_name"	"Otherkin"
"avatar_default_desc"	"เขาหยุดการเจริญเติบโตตั้งแต่ได้รับผลกระทบจากไวรัส Crossout นั่นเป็นเหตุผลที่ว่าทำไมเขาดูอ่อนวัย แต่อย่าตัดสินที่ภายนอกเพราะเขาดูแก่กว่าที่ตาเห็นมาก"
"avatar_default_name"	"Kai"
"avatar_gamescom2017_name"	"Mickey"
"avatar_gm_etc_desc"	"หากคุณเจอคนถือป้าย GMO ใน Wasteland มันสายเกินไปแล้วที่จะตกใจกับเรื่องนั้น แน่นอนหากคุณยังปลอดภัยดีจากอุกกาบาตหรือหายนะอะไรก็แล้วแต่ ส่วนใหญ่แล้วโปรตีนกับกรดอมิโนจะแยกตัวออกจากพาหะ หลังจากนั้นใครก็ตามที่สวมป้ายเหล่านี้พวกเขาคือกลุ่มแรกที่ติดเชื้อ Crossout และตระหนักถึงโอกาสที่จะเปิดเผยให้โลกได้รับรู้"
"avatar_gm_etc_name"	"Shadow"
"BATTLELOG_RESULT_PLACE"	"อันดับ $value$"
"BINDING_NAME_autobuild"	"ประกอบรถอัตโนมัติ"
"BINDING_NAME_mapScaleDec"	"ซูมออก"
"BINDING_NAME_mapScaleInc"	"ซูมเข้า"
"Blockpost_Defeat_nomads_text"	"คิดให้ดีก่อนที่แกจะกลับมาอีก แค่ครั้งสองครั้งมันไม่พอสำหรับการเรียนรู้ใช่มะ?"
"Blockpost_Defeat_nomads_text2"	"มันจบเหมือนกันทุกทีนั่นแหล่ะ"
"Blockpost_Defeat_nomads_text3"	"ข้าจะส่งข่าวน่าเศร้าไปให้กับครอบครัวแกเอง ไม่ต้องห่วง"
"Blockpost_Defeat_psycho_text"	"หนึ่ง สอง สาม สี่ ซัดมันให้หมอบ!!"
"Blockpost_Defeat_psycho_text2"	"หนึ่ง สอง สาม สี่ ห้า ตอนนี้อยู่เฉยๆก่อน ใครหัวเราะออกมาจะได้ตายอีกรอบแน่ หรือมันยังไม่พอ!"
"Blockpost_Defeat_psycho_text3"	"หนึ่ง สอง มันจบแล้ว!"
"Blockpost_Defeat_scavengers_text"	"แกสมควรได้รับโทษ! การขโมยรถจาก Scavengers เป็นแผนที่โง่เง่าสิ้นดี!"
"Blockpost_Defeat_scavengers_text2"	"มันเป็นของพวกข้า! ฮ่า! อย่าพยายามขโมยรถของพวกข้าอีก"
"Blockpost_Defeat_scavengers_text3"	"นั่นแหล่ะ เราทำได้"
"Blockpost_Post1_nomads_text"	"หยุดแล้ววางอาวุธซะ แล้วแกจะไม่เจ็บตัว"
"Blockpost_Post1_nomads_text2"	"นี่เป็นโอกาสสุดท้ายที่ข้าจะให้แกหนีไป ถ้ายังดึงดันแกตายแน่"
"Blockpost_Post1_nomads_text3"	"แกถูกจ้างเท่าไหร่ เพื่อมาขโมยรถบรรทุก ข้าจะจ่ายให้แกสองเท่าเลย.. ไม่เอาเหรอ? ได้ งั้นกินลูกปืนข้าละกัน"
"Blockpost_Post1_psycho_text"	"แกคิดว่ากำลังทำอะไรอยู่? ช่ายยย ... แกกำลังจะตายไง๊!"
"Blockpost_Post1_psycho_text2"	"ถ้าแกผ่านเข้าไปได้ รับรองแกตายแน่!"
"Blockpost_Post1_scavengers_text"	"แกหูหนวกหรือว่าโง่กันแน่? แกจะไปไหน? เอารถพวกข้ากลับมา!"
"Blockpost_Post1_scavengers_text2"	"อะแฮ่ม, พูดมากจริง เมื่อไหร่แกจะหยุดสักที"
"Blockpost_Post1_scavengers_text3"	"แกนี่ไม่ฉลาดอย่างที่คิด ถอยกลับไปซะ"
"Blockpost_Post2_nomads_text2"	"การฝึกมันเยี่ยมขนาดนั้นเลยเหรอ ห๊ะ? ไหนโชว์ให้ข้าดูหน่อยเซ่ มาฝึกกันหน่อยมั้ยหล่ะ"
"Blockpost_Post2_psycho_text"	"Bear's ซ่อมรถของมันแล้ว แถมใช้อุ้งเท้าแทนยางด้วย ตอนนี้ลดไฟลงและถึงเวลาตายได้แล้ว!"
"Blockpost_Post2_psycho_text2"	"ข้าสอดแนมที่ด่านข้างหน้ามันแข็งแกร่งมาก ถอยไปซะขณะที่ยังมีโอกาส"
"Blockpost_Post2_psycho_text3"	"ด่านถัดไปมีทั้ง ราชา ราชินี เจ้าชาย และ กระดูกของคนที่หลงเข้ามา!"
"Blockpost_Post2_scavengers_text"	"จะไม่ยอมเปลี่ยนใจใช่มั้ย? งั้นก็มาลองกันสักตั้ง ทะลวงด่านที่สองให้ได้ละกัน พวกข้าพร้อมแล้ว "
"Blockpost_Post2_scavengers_text2"	"ยิงมัน ยิงมันนนน ลืมด่านหน้าไปซะ พวกเรายังมีอีกเยอะ"
"Blockpost_Post2_scavengers_text3"	"อะไรเนี่ย? แกยังมีชีวิตอยู่อีกเหรอ? หยุดยิงได้แล้ว ป้อมปืนข้าจะเล่นแกเอง"
"Blockpost_Post3_nomads_text"	"พูดไปก็ไร้ค่า ถึงเวลาของแผน B แล้ว ถล่มมันให้ยับ!"
"Blockpost_Post3_nomads_text2"	"ฉลองตอนนี้มันเร็วไป! ข้าจะถล่มแกให้ยับ!"
"Blockpost_Post3_nomads_text3"	"นี่คือจุดจบของแก! ตายซะเถอะ!"
"Blockpost_Post3_psycho_text"	"ตาย ตาย ตายยย พวกแกจบแค่นี้แหล่ะ!"
"Blockpost_Post3_psycho_text2"	"ห้า สี่ สาม สอง หนึ่ง ตอนนี้แกเรียนรู้เกี่ยวกับการนับเลขแล้วสินะ พวกข้าก็ไม่รู้จะพูดอะไร ยิงแม่มเลย!"
"Blockpost_Post3_psycho_text3"	"หนึ่ง สอง สาม สี่ ห้า อะไรต่อดีหล่ะ?"
"Blockpost_Post3_scavengers_text"	"นี่เป็นการเตือนครั้งสุดท้าย! ยอมแพ้ซะ! ถ้ายังอยากลืมตาดูโลกต่อไป! ไม่มีใครเป็นฮีโร่ได้หรอก"
"Blockpost_Post3_scavengers_text2"	"ขบวนรถจะไม่เป็นของแกอีกต่อไป พวกข้าจะเอามันมาเป็นของตัวเอง"
"Blockpost_Post3_scavengers_text3"	"จะยอมแพ้แล้วเหรอ? สายไปแล้ว หัวหน้าของข้าไม่ปล่อยแกไว้แน่"
"Blockpost_psycho_caption"	"Lewis"
"Blockpost_scavengers_caption"	"Dozer"
"Blockpost_Start_nomads_text"	"วิถีสันติ! รถที่พวกแกกำลังขนส่งอยู่เป็นสมบัติของ Nomads และเราต้องการให้แกยอมแพ้ซะ จะได้ไม่ต้องสู้กัน"
"Blockpost_Start_nomads_text2"	"ไอ้ขี้แพ้ 5 คนล่าสุด พวกมันพบว่าตัวเองอยู่ในแดนของข้าและกำลังคลานออกจาก Wasteland โดยไม่มีล้อเหลืออยู่ พวกแกรู้สึกถึงชะตากรรมเดียวกันรึเปล่า ไอ้พวกหัวขโมย?"
"Blockpost_Start_nomads_text3"	"บอกข้ามา ไอ้คนที่จ้างแกมาปล้นให้แกเท่าไหร่เพื่อให้แกออกจากที่นี่? ข้าจะให้มากกว่าเดิมมัน!"
"Blockpost_Start_psycho_text"	"แกตายตั้งแต่ขโมยของๆพวกข้าแล้ว! กินลูกปืนซะ"
"Blockpost_Start_psycho_text2"	"ตายยยยยยยยย! นั่นมันรถของพวกข้า!"
"Blockpost_Start_psycho_text3"	"ฮ่า! เราเจอรถที่ถูกปล้นแล้ว ล่ามัน!"
"Blockpost_Start_scavengers_text"	"มันอยู่นั่นไง! ข้าจำรถนั่นได้ แกไม่ควรปล้นมันเลย แต่วันนี้เป็นวันดี ข้ายื่นข้อเสนอให้แกยอมแพ้ซะ!"
"Blockpost_Start_scavengers_text2"	"หนึ่ง สอง, แกได้ยินข้ามั้ย? มีคนขโมยรถบรรทุกของเราไป ถ้าข้าเจอแก แกตายแน่!"
"Blockpost_Start_scavengers_text3"	"โอ้ ดูซิเราเจออะไร? รถที่ถูกขโมยมา ปล่อยมือซะถ้าแกไม่อยากตาย"
"Blockpost_Win_nomads_text"	"ซวยจริง! ข้าจะกลับมาเอาคืนแน่!"
"Blockpost_Win_nomads_text2"	"มะ.. มัน... มันเกิดขึ้นได้ไงเนี่ย?"
"Blockpost_Win_nomads_text3"	"ไม่นะ... เราแพ้แล้ว บอกครอบครัวข้าด้วย"
"Blockpost_Win_psycho_text"	"อ้ากกกก! แกชนะ! ข้าจะฆ่าให้เกลี้ยง!"
"Blockpost_Win_psycho_text2"	"เป็นเกมที่เยี่ยมมาก แต่แย่หน่อยที่เราแพ้ซะแล้ว"
"Blockpost_Win_psycho_text3"	"แกได้มันไปหมดแล้ว ข้ามีแค่นี้แหล่ะ กลับบ้านไปซะ"
"Blockpost_Win_scavengers_text"	"พวกมันระเบิดด่านหน้าและขโมยรถไปแล้ว! พวกสารเลว!"
"Blockpost_Win_scavengers_text2"	"เราแพ้แล้ว บ้าเอ๊ย!"
"Blockpost_Win_scavengers_text3"	"ก็ได้ ก็ได้ แกชนะ แต่แค่ตอนนี้เท่านั้นแหล่ะ เข้าใจมั้ย?"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"ในขณะที่ประกอบรถจากแบบแปลน ไอเทมที่ยังขาดอยู่จะถูกสุ่มแทนที่โดยอัตโนมัติด้วยไอเทมที่คล้ายกัน"
"BLUEPRINT_EXHIBITION_EXPAND"	"ขยายพื้นที่"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"แชร์แบบแปลนกับผู้เล่นอื่น สามารถให้คะแนนและดาวน์โหลดจากโชว์รูมได้"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"ไม่สามารถโหลดแบบแปลนได้เนื่องจาก มอนสเตอร์ยังต่อสู้อยู่ กรุณานำกลับมาที่โรงรถก่อน"
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"ไม่สามารถโหลดแบบแปลนได้เนื่องจากมอนสเตอร์ไม่สามารถใช้งานได้ในขณะนี้ โปรดลองอีกครั้งภายหลัง"
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"ไม่สามารถโหลดแบบแปลนได้ เนื่องจากคุณต้องเก็บรวบรวมรางวัลจากการส่งมอนสเตอร์ไปต่อสู้ก่อน"
"BLUEPRINT_LOAD_TOOLTIP"	"ประกอบรถจากแบบแปลนที่เลือกโดยใช้ไอเทมจากในคลัง"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000หากประกอบแบบแปลนนี้จะเป็นการลบแบบแปลนปัจจุบันออกจากพื้นที่โรงรถ ดำเนินการต่อ?"
"BLUEPRINT_PREVIEW_TOOLTIP"	"Test your armored vehicle at the circuit"
"boar_bundle_vehicle_desc"	"น้ำหนักเบาคล่องแคล่วว่องไว สามารถเข้าจู่โจมเป้าหมายระยะประชิดด้วยตัวถัง Tusk ได้อย่างรวดเร็ว ยังไงก็เถอะ จะให้ประสิทธิภาพเต็มที่ยิ่งกว่านี้ต้องมีอาวุธ Sledgehammers ติดไปด้วย 2 กระบอก"
"boar_bundle_vehicle_name"	"Boar"
"Bombrun_Boss_nomads_text"	"ข้ามีแผนบางอย่าง แต่ตอนนี้ข้าไม่อยากประเมินแกต่ำเกินไป!"
"Bombrun_Boss_nomads_text2"	"ดูเหมือนความพยายามของข้ามันยังไม่มากพอ เรียกหัวหน้ามาช่วยเร็ว!"
"Bombrun_Boss_nomads_text3"	"หวานหมู! ข้าต้องใช้สิ่งที่ดีที่สุดที่ข้ามีในคลังแสงของข้า ลุย!"
"Bombrun_Boss_psycho_text"	"แท่นขุดของข้า! พวกแกทำแบบนั้นทำไม? ข้าจะออกไปบดขยี้พวกแกเดี๊ยวนี้แหล่ะ!"
"Bombrun_Boss_psycho_text2"	"แกระเบิดแท่นขุดทำไม มีจุดประสงค์อะไร? มันทำให้ข้าเสียใจสุดๆ! ข้าจะระเบิดพวกแกเรียงตัวเลย คอยดู!"
"Bombrun_Boss_psycho_text3"	"หวานหมู! ข้าจะคิดซะว่ามันคือของขวัญ ไอ้คนตีสองหน้า แกยังมีชีวิตอยู่ได้ยังไง แกทำข้าใจสลาย ข้าจะเก็บแกซะ!"
"Bombrun_Boss_scavengers_text"	"บัดซบ! แกมันดื้อด้านจริงๆ! ได้เวลาเจอของหนักแล้ว!"
"Bombrun_Boss_scavengers_text2"	"ข้าไม่ต้องการให้เป็นแบบนี้! พวกแกดูสิ ข้าไม่ได้ต้องการมันเลย แต่พวกแกทำให้มันเป็นแบบนี้ ดังนั้นพวกแกจงเป็นเหยื่อให้กับข้าเถอะ!"
"Bombrun_Boss_scavengers_text3"	"ข้าจะทำลายแกด้วยทุกอย่างที่ข้ามี!"
"Bombrun_Defeat_nomads_text"	"ได้เวลาที่แกจะเรียนรู้ความผิดพลาดแล้ว"
"Bombrun_Defeat_nomads_text2"	"ยอมแพ้แล้ว? ดีมากเจ้าหนู"
"Bombrun_Defeat_nomads_text3"	"ข้ายินดีที่จะทำให้แกรู้ว่าที่นี่ใครใหญ่!"
"Bombrun_Defeat_psycho_text"	"เฮ เฮ้! มันก็ยุติธรรมดีนี่นา แกก็รู้"
"Bombrun_Defeat_psycho_text2"	"รถข้า ของรักของข้าาาาาาาา ... พวกแกไม่ต้องการมันหรอก ข้าจะเอามาให้ได้ ขอบคุณสำหรับของขวัญ ข้าจะระเบิดมันให้ดู ความสุขของข้า!"
"Bombrun_Defeat_psycho_text3"	"ข้าดีใจที่ได้กำจัดแกทิ้งซะ"
"Bombrun_Defeat_scavengers_text"	"ไม่มีระเบิดในแดนของข้าอีกแล้ว! ใช่ปะ?"
"Bombrun_Defeat_scavengers_text2"	"ดี.. ดีมากกก.... ตอนนี้ต้องเอารถขนกับระเบิดไปให้ไกลข้าให้มากที่สุด"
"Bombrun_Defeat_scavengers_text3"	"เยี่ยม! ไม่มีคนโดนระเบิดและโดนเผา"
"Bombrun_Def_nomads_text2"	"นี่แกจริงจังเหรอ คิดว่าแกจะระเบิดแท่นขุดได้? ก็ลองดูซิ ข้ายังอยู่ทั้งคน"
"Bombrun_Def_nomads_text3"	"ระเบิดประตูนั่นซะแล้วยึดแท่นขุดมาให้ได้! สุภาพบุรุษทั้งหลาย ข้าจะทำลายพวกแกให้หมด!"
"Bombrun_Def_psycho_text"	"อะไรนะ!? แท่นขุดเกิดระเบิด! ไม่มีใครอนุญาตให้จุดพลุในเขตของข้า! ไปลากคอมันมา!"
"Bombrun_Def_psycho_text2"	"เฮ้ยพวก! นั่นมันแท่นขุดน้ำมัน อย่าเอารถระเบิดมาจอดที่นี่สิเฟ้ย เดี๊ยว..นั่นแผนของแกเหรอ? บ้าไปแล้วเหรอไง!?"
"Bombrun_Def_psycho_text3"	"ความอดทนของข้าใกล้จะหมดแล้ว แกต้องเลือกที่จะถอยออกไปจากรถบรรทุกของพวกข้า ไม่งั้นข้าจะเก็บแกซะ"
"Bombrun_Def_scavengers_text"	"รถบรรทุกหยุดสักที เดี๊ยว? แท่นขุดกำลังจะระเบิด! หยุดพวกมันไว้ก่อนมันจะทำลายแท่นอื่นๆ!"
"Bombrun_Def_scavengers_text2"	"ข้าได้ยินเสียงระเบิดเวลา ไอ้บ้า! หยุดมันเดี๊ยวนี้นะ!"
"Bombrun_Def_scavengers_text3"	"อีกนิดเดียวป้อมก็จะระเบิดแล้ว! ไม่!"
"Bombrun_Gate_nomads_text"	"มันไม่สายเกินที่จะหันหลังกลับ แต่อย่าหวังว่าจะได้ความเมตตาจากพวกข้า"
"Bombrun_Gate_nomads_text2"	"ข้ายื่นข้อเสนอให้ ถ้าแกไม่แตะต้องอะไรเลย ข้าจะเปิดประตูให้และปล่อยแกผ่านไป! ไม่เหรอ? งั้นแกเลือกเองนะ"
"Bombrun_Gate_nomads_text3"	"ข้าคิดถูกมั้ยที่แกกำลังพยายามระเบิดประตูอยู่? ข้าคงไม่ยืนมองเฉยๆแล้วปล่อยให้แกทำหน้าระรื่นอยู่ได้หรอก"
"Bombrun_Gate_psycho_text"	"เห็นยังหล่ะ รีบออกจากที่นี่ซะ ข้าทิ้งของเล่นตูมตามไว้ให้พวกมันดูต่างหน้า"
"Bombrun_Gate_psycho_text2"	"ข้าหมายถึง ขอบคุณมากที่พาข้าไปที่ประตู จริงๆแล้วแฟนข้ากำลังจะมารับหล่ะ"
"Bombrun_Gate_psycho_text3"	"แกเอารถกับระเบิดไปทำไม คันอื่นก็มี! หยุดอยู่ตรงนั้นแหล่ะ แล้วข้าจะปล่อยแกไป"
"Bombrun_Gate_scavengers_text"	"ตาบอดเหรอไง? ถนนมันปิด! กลับมาซะแล้วหยิบระเบิดมาด้วย เจ้าพวกโง่ ระเบิดประตูทิ้งเป็นไอเดียที่บ้าบอสิ้นดี"
"Bombrun_Gate_scavengers_text2"	"ข้ารู้ว่าแกคิดอะไรอยู่ ข้ารู้นะ ระเบิดใช่ไหมหล่ะ มันจะไม่เกิดขึ้นแน่นอน!"
"Bombrun_Gate_scavengers_text3"	"ข้าจะหยุดแกให้ได้"
"Bombrun_nomads_caption"	"Jeff"
"Bombrun_psycho_caption"	"Oswald"
"Bombrun_scavengers_caption"	"Thermite"
"Bombrun_Start_nomads_text"	"ยินดีต้อนรับนักเดินทางทั้งหลายเข้าสู่เขตปกครองของข้า! ขบวนรถของพวกแกดูอันตรายใช้ได้ หยุดเดี๊ยวนี้ หรือต้องให้ใช้กำลัง"
"Bombrun_Start_nomads_text2"	"ลมอะไรหอบแกมาที่นี่? ข้าได้ยินมาว่าขบวนรถของพวกแกขนระเบิดมาเต็มลำ ให้มันน้อยๆหน่อย ข้าจะหยุดพวกแกเอง"
"Bombrun_Start_nomads_text3"	"หลงทางเหรอในแดนของข้าเหรอ ฮึฮึฮึ! ข้าต้องเตือนแกก่อนนะว่าถนนเส้นนั้นมันปิด"
"Bombrun_Start_psycho_text"	"เฮ้ย แก! ข้าเหม็นหนูสกปรกอย่างพวกแกและระเบิดพวกนั้น หันหัวกลับไปซะ!"
"Bombrun_Start_psycho_text2"	"เฮ้ย เสียงแบบนี้มัน? รถกับระเบิดใช่มั้ย? ไม่นะแกไม่ควรทำแบบนั้น นี่ไม่ใช่วันเกิดของข้าด้วยซ้ำ"
"Bombrun_Start_psycho_text3"	"เฮ้ นี่มันรถที่บรรทุกระเบิดมาเต็มลำใช่มั้ย? แกไปได้มาจากไหน?"
"Bombrun_Start_scavengers_text"	"แกคิดว่าแกจะไปไหน? ทะลวงผ่านแดนของข้าไปพร้อมกับรถโง่ๆนั่น? กลับไปซะ!"
"Bombrun_Start_scavengers_text2"	"ฟุดฟิดๆ กลิ่นเหมือนดินปืนเลย? บ้าเอ๊ย! นี่มันรถขนระเบิด"
"Bombrun_Start_scavengers_text3"	"เฮ้ย แก อะไรอยู่ในรถบรรทุก? ตอบมาซะ หรือจะให้พวกข้าหยุดแกเอง?"
"Bombrun_Win_nomads_text"	"คราวหน้าข้าจะเตรียมแผนเซอร์ไพรส์แกแน่"
"Bombrun_Win_nomads_text2"	"แกชนะ! ข้าต้องยอมรับว่ามันเกินคาดไปหน่อย"
"Bombrun_Win_nomads_text3"	"ก็ได้...แกชนะ"
"Bombrun_Win_psycho_text"	"ฮ่า ๆ ๆ ดูเหมือนงานพวกข้าจะบรรลัยหมดแล้ว"
"Bombrun_Win_psycho_text2"	"แกทำเหมือนพวกเราเป็นของเล่น! มีอะไรให้ข้ารับใช้อีกมั้ย?"
"Bombrun_Win_psycho_text3"	"บูมมมมมมมม! เย่! ข้ารู้มันสุดยอดไปเลย"
"Bombrun_Win_scavengers_text"	"อ้ากกก เราแพ้แล้ว "
"Bombrun_Win_scavengers_text2"	"ม่ายยยยยยยย! พวกเราต้องหยุดระเบิดนั่นทั้งหมดเลย"
"Bombrun_Win_scavengers_text3"	"ไม่! ไม่! แกไม่มีวันชนะ!"
"BOX_A_Name"	"Rookie Container Pack"
"BOX_B_Name"	"Recruit Container Pack"
"BOX_C_Name"	"Officer Container Pack"
"BOX_D_Name"	"Sub-Officer Container Pack"
"BOX_E_Name"	"Parts Container Pack"
"brawl_Boss_henchman2"	"Harry"
"brawl_Boss_henchman3"	"Marv"
"brawl_Boss_henchman4"	"Gruber"
"BRIEFING_PRIZE_CONDITION_DESC"	"เพื่อความสำเร็จจากการต่อสู้ จะต้องได้อันดับที่ 1 ถึง $minPlace$"
"BRIEFING_WAIT_OTHER_PLAYERS"	"กำลังรอผู้เล่นอื่น"
"BundleRewardWnd_Duration"	"$time$ จนกว่าจะหมดเวลา"
"Bundle_14feb_18_Desc"	"- รถ Prancing Pony|- อาวุธ AC43 Rapier, MM5-4 Vector|- ตัวถัง Jockey|- ล้อ Stallion, Stallion (ST)|- อวาตาร์ Bonnie|- สี Lollipop|- ขยายการติดตั้งไอเทมได้สูงสุด 55 ชิ้น|- สติ๊กเกอร์ Quick and the Dead|- ได้รับ 1,000 Cash"
"Bundle_14feb_18_Name"	"'St' Valentine's Day' Pack"
"Bundle_14feb_18_womoney_Desc"	"- รถ Prancing Pony|- อาวุธ AC43 Rapier, MM5-4 Vector|- ตัวถัง Jockey|- ล้อ Stallion, Stallion (ST)|- อวาตาร์ Bonnie|- สี Lollipop|- ขยายการติดตั้งไอเทมได้สูงสุด 55 ชิ้น|- สติ๊กเกอร์ Quick and the Dead"
"Bundle_ambulance_desc"	"- รถ Last aid|- อาวุธ AC72 Whirlwind|- ตัวถัง Hot Rod|- แตร Ambulance blinker|- โครงสร้าง Hot Rod|- อวาตาร์ Mortus|- สี Plague'|- สติ๊กเกอร์ Snake venom|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น|- 1,500 Cash"
"Bundle_ambulance_name"	"'Pandemic' Pack"
"Bundle_ambulance_womoney_desc"	"- รถ Last aid|- อาวุธ AC72 Whirlwind|- ตัวถัง Hot Rod|- แตร Ambulance blinker|- โครงสร้าง Hot Rod|- อวาตาร์ Mortus|- สี Plague'|- สติ๊กเกอร์ Snake venom ชิ้น"
"Bundle_ambulance_womoney_name"	"'Pandemic' Pack"
"Bundle_boar_desc"	"- รถ Boar|- อาวุธ Sledgehammer x2|- ตัวภัง Tusk|- รูป Jager |- สี Boar Scalp|- สติ๊กเกอร์ Eye of the beast|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น|- 1,000 Cash"
"Bundle_boar_name"	"'Wild Hunt' Pack"
"Bundle_boar_womoney_desc"	"- รถ Boar|- อาวุธ Sledgehammer x2|- ตัวถัง Tusk|- อวาตาร์ Jager |- สี Boar scalp|- สติ๊กเกอร์ Eye of the beast|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น"
"Bundle_boar_womoney_name"	"'Wild Hunt' Pack"
"Bundle_fiery_claw_Desc"	"- รถ Lavabird|- อาวุธ AC43 Rapier|- อวาตาร์ Air Shaman|- สี Lava|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น|- 1,500 Cash"
"Bundle_fiery_claw_Name"	"Lavabird Pack"
"Bundle_Firestarters_Desc"	"- รถ Wild Fire|- อาวุธ Junkbow x2|- ตัวถัง Cerberus|- ใช้งานไอเทมฝ่าย Firestarters ได้ก่อน|- อวาตาร์ Red Hot|- สี Fire Salamander of legendary|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 60 ชิ้น|- สติ๊กเกอร์ Capricorn|- ได้รับ 3,800 Cash"
"Bundle_Firestarters_Name"	"'Arsonist' Pack"
