"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"Al montar desde un plano, las piezas que falten se sustituirán por piezas análogas aleatorias del mismo tipo."
"BLUEPRINT_EXHIBITION_EXPAND"	"Expandir"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"Comparte el plano con otros supervivientes para que lo califiquen y descarguen desde la exposición"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"Es imposible cargar el plano ya que en estos momentos el leviatán está en combate. Primero hazlo regresar al garaje."
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"Es imposible cargar el plano porque en estos momento el servicio de los leviatanes no está disponible. Espera unos minutos y vuelve a intentarlo."
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"No se puede cargar el plano en este momento. Primero tienes que recoger la recompensa que el leviatán consiguió en la última batalla."
"BLUEPRINT_LOAD_TOOLTIP"	"Arma un vehículo blindado con el plano seleccionado usando las piezas de tu inventario"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000Ensamblar este plano eliminará el vehículo que se encuentra actualmente en la plaza del garaje. ¿Continuar?"
"BLUEPRINT_PREVIEW_TOOLTIP"	"Prueba tu vehículo blindado en el circuito"
"boar_bundle_vehicle_desc"	"Un vehículo ligero y ágil que puede acercarse rápidamente al objetivo y embestirlo con los colmillos que lleva montados en la cabina. Sin embargo, el coche funciona igual de bien a corta distancia gracias a dos 'Sledgehammers'."
"Bombrun_Boss_nomads_text"	"Tenía planes para esa torre. ¡Esta vez no te subestimaré!"
"Bombrun_Boss_psycho_text"	"¡MI TORRE! ¡¿Qué demonios estás haciendo?! Estoy poniendo en marcha mi vehículo ahora mismo. ¡Te aplastaré! ¡Tus tripas estarán esparcidas por todo el Valle!"
"Bombrun_Boss_scavengers_text"	"Maldita sea, ¡eres resistente! Entonces, ¡es hora de usar las armas grandes!"
"Bombrun_Defeat_scavengers_text"	"No más explosiones en mis tierras. ¿Lo entiendes?"
"Bombrun_Def_psycho_text"	"¿¡Qué?! ¡La plataforma está a punto de explotar! ¡No le permito a nadie encender fuegos artificiales en mi territorio! ¡Atrapadlos chicos!"
"Bombrun_Def_scavengers_text"	"Por fin se ha detenido el camión. ¿Espera? ¡Está listo para explotar! ¡Detenlos antes de que destruyan otra torre!"
"Bombrun_Gate_scavengers_text"	"¿Estás ciego? ¿Cómo no viste que la carretera está cerrada? Date la vuelta y no intentes recoger explosivos. ¡Una explosión es una mala idea!"
"Bombrun_nomads_caption"	"Jeff"
"Bombrun_Start_psycho_text"	"¡Eh, tú! ¡Huelo a rata y a muchas explosiones! ¡Da la vuelta o si no!"
"Bombrun_Start_scavengers_text"	"¿A dónde crees que vas? Atravesando nuestra tierra en este extraño camión. ¡Detente! ¡Te lo advierto por última vez!"
"Bombrun_Win_nomads_text"	"Estaré más preparado la próxima vez."
"BOX_A_Name"	"Pack 'Contenedor de novato'"
"BOX_B_Name"	"Pack 'Contenedor de recluta'"
"BOX_C_Name"	"Pack 'Contenedor de oficial'"
"BOX_D_Name"	"Pack 'Contenedor de suboficial'"
"BOX_E_Name"	"Pack 'Contenedor de piezas'"
"brawl_Boss_henchman2"	"Harry"
"brawl_Boss_henchman3"	"Marv"
"brawl_Boss_henchman4"	"Gruber"
"BRIEFING_WAIT_OTHER_PLAYERS"	"Esperando por otros jugadores"
"BundleRewardWnd_Duration"	"$time$ hasta la destrucción"
"Bundle_14feb_18_Name"	"pack 'Día de San Valentín'"
"Bundle_boar_name"	"Pack 'Wild Hunt'"
"Bundle_boar_womoney_name"	"Pack 'Wild Hunt'"
"Bundle_Firestarters_Name"	"'Arsonist' Pack"
"Bundle_Firestarters_womoney_Name"	"'Arsonist' Pack"
"Bundle_Football_Desc"	"- Vehículo blindado único: 'Fan Van';|- Bocina única: 'Vuvuzela';|- Decoración única: bengala 'Black and Blue' y bengala 'Red Eye';|- Retrato de héroe único: Hector;|- Pegatina única: 'Ball in the game';|- Bote de pintura único: 'To the championship!';|- Aumenta el número máximo de piezas que se pueden usar a 40;|- 500 coins."
"Bundle_Football_womoney_Desc"	"- Vehículo blindado único: 'Fan Van';|- Bocina única: 'Vuvuzela';|- Decoración única: bengala 'Black and Blue' y bengala 'Red Eye';|- Retrato de héroe único: Hector;|- Pegatina única: 'Ball in the game';|- Bote de pintura único: 'To the championship!';|- Aumenta el número máximo de piezas que se pueden usar a 40."
"Bundle_Hunter_Desc"	"- Vehículo blindado único: 'Beater';|- Arma única: lanza minas épico 'Snare';|- Armas adicionales: tres potentes escopetas 'Sledgehammer';|- Cabina única: 'Ghost';|- Retrato único de héroe: 'Wolfhound';|- Bote de pintura única: 'Misty Marshes';|- Aumenta el número máximo de piezas que se pueden usar a 55;|- Pegatina única: 'Hunger' x2;|- 2650 coins."
"Bundle_Hunter_womoney_Desc"	"- Vehículo blindado único: 'Beater';|- Arma única: lanza minas épico 'Snare';|- Armas adicionales: tres potentes escopetas 'Sledgehammer';|- Cabina única: 'Ghost';|- Retrato único de héroe: 'Wolfhound';|- Bote de pintura única: 'Misty Marshes';|- Aumenta el número máximo de piezas que se pueden usar a 55;|- Pegatina única: 'Hunger' x2."
"Bundle_Landing_cabin_Name"	"Un regalo especial"
"Bundle_Landing_weapon_Desc"	"- Ametralladora LM-54 'Chord'|- Escopeta 'Lupara'|- Cañón 'Avenger 57mm'|||Puedes usar las piezas obtenidas en este momento o hacerlo más tarde. Encontrarás las piezas en la sección de 'Inventario'."
"Bundle_Landing_weapon_Name"	"Un regalo especial"
"Bundle_Sportcar_Name"	"Pack 'Corrida de toros'"
"Bundle_WW1_Desc"	"- Vehículo blindado único: Mark EX;|- Armas: Dos ametralladoras frontales épicas 'ST-M23 Defender' y un cañón de torreta épico ZIS-34 'Fat Man';|- Orugas únicas: Goliath de rareza épica;|- Retrato de personaje único: El Teniente Mitchell;|- Bote de pintura único: diseño Solomon;|- Aumenta el número máximo de piezas que se pueden usar a 55;|- Pegatina única: Dogs of War;|- 3400 coins."
"Bundle_WW1_womoney_Desc"	"- Vehículo blindado único: Mark EX;|- Armas: Dos ametralladoras frontales épicas 'ST-M23 Defender' y un cañón de torreta épico ZIS-34 'Fat Man';|- Orugas únicas: Goliath de rareza épica;|- Retrato de personaje único: El Teniente Mitchell;|- Bote de pintura único: diseño Solomon;|- Aumenta el número máximo de piezas que se pueden usar a 55;|- Pegatina única: Dogs of War;|- 3400 coins."
"Bundle_Xmas17_Desc"	"- Vehículo blindado único 'Icebreaker';|- Cabina única: 'Icebox' de rareza épica;|- Armas — 2 ametralladoras frontales ST-M26 Tackler de rareza épica;|- Motor: Razorback, refrigerador de armas;|- Retrato único de personaje: 'Jack Frost';|- Botes de pintura: Cold flame, Material: Aluminio;|- Aumenta el número máximo de piezas que se pueden usar a 55;|- 2100 coins."
"Bundle_Xmas17_mini_bound_Desc"	"- Vehículo blindado único 'Get the fir';|- Decoración única 'From the forest';|- Bote de pintura: A little something;|- Aumenta el número máximo de piezas que se pueden usar a 35;|- 500 coins."
"bundle_xmas17_mini_Desc"	"- Vehículo blindado único 'Get the fir';|- Decoración única 'From the forest';|- Retrato de único de personaje: Nick Frost;|- Bote de pintura: A little something;|- Aumenta el número máximo de piezas que se pueden usar a 35;|- 500 coins."
"bundle_xmas17_mini_womoney_Desc"	"- Vehículo blindado único 'Get the fir';|- Decoración única 'From the forest';|- Retrato de único de personaje: Nick Frost;|- Bote de pintura: A little something;|- Aumenta el número máximo de piezas que se pueden usar a 35."
"Bundle_Xmas17_Name"	"'Frostburn' pack"
"Cabin_DronSpawn_name"	"Werewolf"
"Cabin_InnateMelee_Desc"	"La cabina \"Cerberus\" es la mejor amiga de un superviviente. Lo entiende todo, pero simplemente no puede hablar. Ahuyenta a los enemigos en combate cuerpo a cuerpo como el feroz perro mítico."
"Cabin_Lambo_Desc"	"Esta cabina de un potente superdeportivo está equipada con un poderoso motor y un par de soluciones tecnológicas que aumentan la precisión."
"Cabin_Lambo_Name"	"Torero"
"Cabin_Mi24_Desc"	"Esta cabina perteneció una vez a un helicóptero y estuvo en lo alto del cielo. Esto es tan difícil de creer como que los televisores matan personas. Sin embargo, todo esto es verdad."
"Cabin_Mi24_Name"	"Ghost"
"Cabin_Tribal_Hog_Desc"	"Los varios colmillos fijados en esta cabina no son solo un elemento de intimidación sino también un arma inusual de combate cuerpo a cuerpo."
"Cabin_Tribal_Hog_Name"	"Tusk"
"Cabin_Tribal_name"	"Bat"
"Cabin_Tribal_RaiderSkin_Desc"	"De diseño retro y minimalista. Esta cabina, construida por un genio desconocido, conserva el espíritu de la pasada era de las Grandes Guerras."
"call_to_action_to_quests"	"Desafíos"
"Captcha_text"	"Introduce el texto de la imagen."
"Captcha_text_2"	"Intentos restantes: $val$."
"CarDriver_Firestarters_lvl10_desc"	"Aumenta un $car_damage_flame_mul$% el daño de fuego."
"CarDriver_Firestarters_lvl13_desc"	"$targets$: +$ammo_add$ unidades de munición."
"CarDriver_Firestarters_lvl14_desc"	"El dron que queda tras la destrucción de la cabina $targets$ es un $nested_car_max_health_mul$% más resistente"
"CarDriver_Firestarters_lvl14_old_desc"	"$targets$: tiempo que permanece en activo aumentado un $work_time_mul$%"
"CarDriver_Firestarters_lvl15_desc"	"+$speed_limit_mul$% de velocidad máxima a todas las piezas de movimiento"
"CarDriver_Firestarters_lvl4_desc"	"$targets$: recarga acelerada un $shooting_cooldown_mul$%"
"CarDriver_Firestarters_lvl5_desc"	"$targets$: +$projectile_spreading_area_height_mul$% al radio del ärea de fuego"
"CarDriver_Firestarters_lvl8_desc"	"$targets$: recarga acelerada un $shooting_cooldown_mul$%"
"CarDriver_new_level"	"Nueva habilidad disponible \"$skill$\""
"CarEditor_paint_erase"	" — Eliminar pintura"
"CarPart_Airintake_Desc"	"Sirve para llevar aire a las partes internas del vehículo."
"CarPart_Airintake_Name"	"Toma de aire plana"
"CarPart_AmbulanceLights_name"	"Luces de ambulancia"
"CarPart_anniversary2018_Desc"	"Un regalo de Ivy para honrar el primer aniversario de la llegada de los Ingenieros a Wasteland."
"CarPart_anniversary2018_Name"	"Quinta rueda"
"CarPart_april_balloon_desc"	"Los misiles inflables son una gran forma de burlarse de tus amigos."
"CarPart_CarHorn_Vuvuzela_Desc"	"Una explosión de sonido para acompañar cada partido y, por supuesto, las celebraciones posteriores al partido."
"CarPart_CarHorn_Vuvuzela_Name"	"Vuvuzela"
"CarPart_Duck_Football_Desc"	"Un trofeo para los ganadores del torneo. Se da temporalmente hasta el siguiente torneo."
"CarPart_Engine_Powerful_Desc"	"Un vehículo blindado con un potente motor de 12 válvulas que arrasará con todo lo que encuentre a su paso: pequeños obstáculos, soñolientos asaltantes, un techo… ||Solo se puede instalar un motor en el vehículo."
"CarPart_Engine_Powerful_name"	"Oppressor"
"CarPart_Exhaust_Dble_Side_L_desc"	"Se puede encontrar fácilmente al propietario de esta decoración debido a las singulares llamas dobles que expulsa por las tuberías."
"CarPart_Exhaust_Dble_Side_R_desc"	"Se puede encontrar fácilmente al propietario de esta decoración debido a las singulares llamas dobles que expulsa por las tuberías."
"CarPart_Exhaust_Feather01_Name"	"Winnetou"
"CarPart_Exhaust_Feather02_Name"	"Chingachgook"
"CarPart_FakeGun_Desc"	"El cañón inflable fue concebido para usarse como señuelo. Pero pronto se volvió popular entre los supervivientes quienes ahora lo están usando solo por diversión."
"CarPart_Fireworks_Anniversary_Desc"	"Lanza un cohete festivo con la forma del logotipo de Crossout para celebrar el primer año en Wasteland.||¡Este es un objeto temporal! La cuenta atrás comienza cuando lo instalas por primera vez en el vehículo."
"CarPart_Fireworks_Anniversary_Name"	"Fuegos artificiales de 'Aniversario'"
"CarPart_Fireworks_one_blue_Desc"	"Lanza un cohete festivo hacia el cielo, lleno hasta arriba de júbilo desenfrenado.||¡Es un objeto temporal! La cuenta atrás empieza al instalarlo por primera vez en un vehículo."
"CarPart_Fireworks_one_green_Desc"	"Lanza un cohete festivo hacia el cielo, lleno hasta arriba de júbilo desenfrenado.||¡Es un objeto temporal! La cuenta atrás empieza al instalarlo por primera vez en un vehículo."
"CarPart_Fireworks_one_red_Desc"	"Lanza un cohete festivo hacia el cielo, lleno hasta arriba de júbilo desenfrenado.||¡Es un objeto temporal! La cuenta atrás empieza al instalarlo por primera vez en un vehículo."
"CarPart_Fireworks_six_Desc"	"Lanza una descarga de 6 cohetes festivos hacia el cielo, el último con la forma del logo de Crossout.||¡Es un objeto temporal! La cuenta atrás empieza al instalarlo por primera vez en un vehículo."
"CarPart_Fireworks_three_Desc"	"Lanza una descarga de 3 cohetes festivos hacia el cielo, lleno hasta arriba de júbilo desenfrenado.||¡Es un objeto temporal! La cuenta atrás empieza al instalarlo por primera vez en un vehículo."
"CarPart_Fireworks_Valentine_Desc"	"Lanza un cohete festivo al cielo que explota con la forma de un corazón. Solo puedes instalar un lanzador de fuegos artificiales.||¡Es un objeto temporal! La cuenta atrás empieza al instalarlo por primera vez en un vehículo."
"CarPart_Fireworks_Valentine_Name"	"Fuegos artificiales púrpuras"
"CarPart_football_hand_finger_Desc"	"¿Eres un jugador o un aficionado? ¡No importa! ¡La mano de espuma se ve genial en cualquier vehículo blindado!"
"CarPart_football_hand_finger_Name"	"Mano 'Número Uno'"
"CarPart_football_hand_goat_Desc"	"Una mano de espuma para aquellos que les gusta conducir rápido, la música alta ¡y divertirse!"
"CarPart_Gun_Cannon_Legend_Name"	"Cyclone"
"CarPart_Gun_catapult_Desc"	"Lanza un proyectil incendiario que deja un área en llamas en el lugar de la explosión. Cuando golpeas a alguien con este arma, los Adoradores del Fuego gritan, parece, algo sobre una ardiente hiena. Aparentemente, no saben que no se encuentran por Wasteland. "
"CarPart_Gun_catapult_name"	"Incinerator"
"CarPart_Gun_Flamethrower_fixed_Desc"	"Este solía ser un lanzallamas de uso agrícola con el que se destruía las malas hierbas y plagas. Un caso raro, ya que su esencia no ha cambiado a pesar del paso del tiempo."
"CarPart_Gun_Flamethrower_fixed_name"	"Draco"
"CarPart_Gun_Machinegun_Legendary_Name"	"Aspect"
"CarPart_Gun_MineTrap_Desc"	"Una curiosa arma con minas que no dejará que ni una sola víctima te eluda.|No afecta a camiones y leviatanes."
"CarPart_Gun_MineTrap_Name"	"Kapkan"
"CarPart_Gun_Revolver_epic_Desc"	"Se parece mucho a un arma del viejo mundo, cuando los Knechte estaban lejos de vagar por las carreteras de Wasteland. Es muy posible que ni siquiera hubiera carreteras por aquel entonces (¡tal salvajismo!).|No se puede modificar las reservas de munición ni la velocidad de recarga. El cargador se recarga automáticamente."
"CarPart_Gun_ShotGun_Garbage_epic_Name"	"Fafnir"
"CarPart_Gun_SMG_Epic_Name"	"M-38 Fidget"
"CarPart_Gun_SMG_Legend_Desc"	"Esta innovadora arma de los Lobos Esteparios posee una muy alta índice de disparo y un daño mortal. Se usa en emboscadas móviles para destruir, de forma extremadamente rápida, las piezas de los vehículos blindados enemigos a corta distancia ."
"CarPart_Gun_SMG_Legend_Name"	"M-39 Imp"
"CarPart_Gun_SMG_Name"	"M-37 Piercer"
"CarPart_Gun_Syfy_FusionRifle_epic_Name"	"Prometheus V"
"CarPart_Gun_WheelRocket_Desc"	"Lanza tres ruedas, que ruedan felizmente y explotan al chocar con un enemigo o al recibir daño.|Están llenas de explosivos inestables por lo que se detonan tras pasar $projectile_ttl$ segundos."
"CarPart_Gun_WheelRocket_name"	"Fortune"
"CarPart_lambo_f_fender_l_Desc"	"No influye en las características del vehículo, ¡pero es chulísimo!"
"CarPart_lambo_f_fender_r_Desc"	"No influye en las características del vehículo, ¡pero es chulísimo!"
"CarPart_MBP_Sign_Name"	"Trofeo real"
"CarPart_Pikes_Dikoobraz_Name"	"Steel mohawk"
"CarPart_SelfCalc_Desc"	"Con esta herramienta, todas las armas cuerpo a cuerpo empiezan a girar como locas y durante @ff00ff00$spell_duration$@ffffffff s infligen más daño."
"CarPart_SelfCalc_name"	"Tormentor"
"CarPart_Shnekohod_Desc"	"Un curioso medio de transporte con barrenas de taladro hecho por algún tipo de Archimedes. Cada barrena instalada reduce la potencia de la cabina pero te permite moverte libremente hacia los lados."
"CarPart_Structure_boxslope_1x2x6_name"	"Downstream"
"CarPart_Structure_bumper1_Desc"	"Una tubería de hierro con pinchos y cuchillas soldadas en ella."
"CarPart_Structure_bumper1_name"	"Nibbler"
"CarPart_Structure_bumper2_Desc"	"Un ejemplo de disonante arte contemporáneo de Wasteland. Un parachoques casero, hecho con la forma de espeluznantes manos, doblando una tubería. El autor de la idea se quemó durante el proceso."
"CarPart_Structure_diffusor_Desc"	"Un difusor, cortado de un hot-rod, que incluye un sistema de tubo de escape."
"CarPart_Structure_fender1_Desc"	"Un guardabarros casero para vehículos con ruedas grandes (y capacidad)"
"CarPart_Structure_fender2_r_Desc"	"Guardabarros de un hot-rod, hecho a medida para los habitantes del Valle. Se coloca a la derecha."
"CarPart_Structure_fender3_l_Desc"	"Guardabarros delantero izquierdo de un hot-rod. Parece peligroso. ¡No tocar!"
"CarPart_Structure_fender3_r_Desc"	"Guardabarros delantero derecho de un hot-rod. Parece peligroso. ¡No tocar!"
"CarPart_Structure_hood_half_Desc"	"Mitad del capó de un hot-rod que una vez sirvió y formó parte del sistema de tubo de escape."
"CarPart_Structure_hood_half_name"	"Rollover"
"CarPart_Structure_radiator_grill1_Desc"	"Parte frontal de un vehículo que solía recorrer un lugar más pintoresco que Wasteland."
"CarPart_Structure_radiator_grill2_Desc"	"Nadie recuerda por qué la gente solía llamar de esta manera a la parte delantera del vehículo. A lo mejor el hocico de esta bestia era tan terrible. Pero las tradiciones son tradiciones."
"CarPart_Structure_trunk_Desc"	"Parte del maletero de un hot-rod mejorada por artesanos y fusionada con un radiador. Pero ahora, por supuesto, ya no funciona el enfriamiento."
"CarPart_Structure_trunk_name"	"Scorched"
"CarPart_TankTrackRomb_Desc"	"La gente inventó orugas parecidas durante la que fue la primera guerra global. Ahora se usan en la actual, y menos global, guerra.|Al instalarlas, limitan severamente la velocidad máxima del vehículo. Cada oruga que se instale reduce la potencia de la cabina."
"CarPart_Torch_Blue_Desc"	"Una bengala de aficionado casera con humo azul. No la enciendas estando aún en tus manos.|Solo se pueden instalar dos bengalas en un vehículo."
"CarPart_Torch_Blue_Name"	"Bengala 'Black and Blue'"
"CarPart_Torch_Red_Desc"	"Una bengala de aficionado casera con humo rojo. No la enciendas estando aún en tus manos.|Solo se pueden instalar dos bengalas en un vehículo."
"CarPart_Torch_Red_Name"	"Bengala 'Red Eye'"
"CarPart_Wheel_Hopping_desc"	"La suspensión neumática con manejo variable de altura permite que el vehículo funcione en dos modos. Y también realizar trucos."
"CarPart_Wheel_Hopping_name"	"Stallion"
"CarPart_Wheel_Hopping_S_desc"	"La suspensión neumática con manejo variable de altura permite que el vehículo funcione en dos modos. Y también realizar trucos."
"CarPart_Wheel_Hopping_S_name"	"Stallion ST"
"CarPart_Wheel_MonsterTruck_Desc"	"Sobrevivió a los tiempos de las competiciones de camiones gigantes y fue mejorada por los Adoradores del Fuego para aplastar a los enemigos de manera más efectiva. Cada rueda que se instale reduce la potencia de la cabina."
"CarPart_Wheel_MonsterTruck_name"	"Bigfoot"
"CarPart_Wheel_MonsterTruck_S_Desc"	"Sobrevivió a los tiempos de las competiciones de camiones gigantes y fue mejorada por los Adoradores del Fuego para aplastar a los enemigos de manera más efectiva. Cada rueda que se instale reduce la potencia de la cabina."
"CarPart_Wheel_MonsterTruck_S_name"	"Bigfoot ST"
"CarPart_Wheel_SawWheel_Desc"	"Echa un vistazo al diseño original de la llanta de la rueda. Enfatiza la agudeza de las sensaciones al conducir por Wasteland. Cuanto más rápido conduzcas, ¡más les dolerá a aquellos que sean golpeados por sus pinchos! Cada rueda instalada reduce la potencia de la cabina."
"CarPart_Wheel_SawWheel_name"	"Shiv"
"CarPart_Wheel_SawWheel_S_Desc"	"Echa un vistazo al diseño original de la llanta de la rueda. Enfatiza la agudeza de las sensaciones al conducir por Wasteland. Cuanto más rápido conduzcas, ¡más les dolerá a aquellos que sean golpeados por sus pinchos! Cada rueda instalada reduce la potencia de la cabina."
"CarPart_Wheel_SawWheel_S_name"	"Shiv ST"
"CAR_ITEM_LIST_TITLE"	"Piezas usadas"
"CAR_ITEM_TOTAL_PRICE"	"Coste aproximado: @fff0b912$totalPrice$"
"CAR_ITEM_TOTAL_PRICE_TOOLTIP"	"Coste total de todas las piezas con lotes que actualmente se encuentran en el mercado."
"Chase_Defeat_nomads_text"	"Acepta la derrota con honor."
"Chase_Defeat_psycho_text"	"¡Otro que muerde el polvo!"
"Chase_Defeat_scavengers_text"	"¡La victoria es nuestra!"
"Chase_FirstNPCKill_nomads_text"	"¡Has derramado sangre! ¡Vas a pagar por eso!"
"Chase_FirstNPCKill_scavengers_text"	"¡Si! ¡Los tenemos! ¿Qué? ¿Ese era uno de nuestros chicos! ¡Maldita sea!"
"Chase_FirstTruckKill_nomads_text"	"Han destruido un camión. ¡Defended al otro! ¡Manteneros firmes!"
"Chase_FirstTruckKill_psycho_text"	"Conductor del camión, ¡vaya más rápido! ¿O quieres acabar como este?"
"Chase_FirstTruckKill_scavengers_text"	"¡No! ¡Porque el camión! ¡Era casi nuevo! ¡Daos prisa hombres o moriremos todos aquí!"
"Chase_HalfWay_nomads_text"	"¡Estamos a mitad de camino de nuestro punto de destino! ¡Seguid con el buen trabajo!"
"Chase_HalfWay_psycho_text"	"¡Vamos! ¡Vamos! ¡Vamos! Todavía tenemos un largo camino por delante. ¿Por qué es tan lento el camión?"
"Chase_NearTheEnd_nomads_text"	"¡Hermanos! ¡Estamos casi allí! ¡Continuad con el buen trabajo!"
"Chase_NearTheEnd_psycho_text"	"¡Y-y-y-y-y el ganador se abre camino hacia la recta final!"
"Chase_NearTheEnd_scavengers_text"	"Ves, te dije que no hay necesidad de darse prisa. Estamos a punto de llegar."
"Chase_scavengers_caption"	"El Centenario"
"Chase_Start_nomads_text"	"¡Tenemos compañía gente! ¡Preparaos para luchar contra los perseguidores!"
"Chase_Win_nomads_text"	"¡Oh, el dolor de la derrota!"
"Chase_Win_psycho_text"	"Al menos los he visto arder. ¡Y fue increíble!"
"Chase_Win_scavengers_text"	"¿Perdimos? ¿Cómo es eso posible!"
"Chassis_Kamaz_RaiderSkin_Desc"	"La cabina \"Backbone\", construida por un artesano desconocido, todavía muestra trazas de sus orígenes — la \"Trucker\", de la que se eliminó todo dejando solo los huesos.||Gran tonelaje y un perfil imponente, pero con baja velocidad."
"CHAT_INACTIVE_EDITBOX_HINT_PS4"	"Haz clic aquí para activar el chat..."
"CHAT_INACTIVE_EDITBOX_HINT_XBONE"	"Haz clic aquí para activar el chat..."
"CHAT_WHISPERS_IGNORED_FOR_BLOCKED_PLAYERS"	"No se puede enviar mensajes personales a una persona que has añadido a tu lista negra."
"CHAT_WHISPERS_IGNORED_FOR_NON_FRIENDS"	"No se pueden enviar mensajes personales a jugadores que no se encuentran en tu lista de amigos, de acuerdo a tu configuración."
"ChestOpen_accept"	"Reclamar"
"ChestOpen_reroll_confirmation"	"¿Estás seguro de que quieres cambiar la recompensa recibida por un nuevo contenedor?"
"ChestOpen_reroll_info"	"Si no te gusta la recompensa que has recibido, puedes intercambiarla por un contenedor nuevo a cambio de una pequeña tarifa y así poner a prueba tu suerte otra vez."
"China_NY_Wins_desc"	"Gana 5 batallas en los modos 'Incursión' o 'Misión'"
"ClanCreateWnd_create"	"Crear un clan"
"ClanCreateWnd_invite_sended"	"Has solicitado unirte a un clan."
"ClanCreateWnd_join"	"Únete a un clan"
"ClanCreateWnd_join_restrictions"	"Restricciones de acceso"
"ClanCreateWnd_restriction"	"a partir de nivel $lvl$"
"ClanCreateWnd_restriction_none"	"Para todos"
"ClanWnd_recruiting_level"	"a partir del nivel $level$"
"ClanWnd_recruiting_level_all"	"abierto a todo el mundo"
"ClanWnd_recruiting_none"	"cerrado"
"ClanWnd_recruiting_state"	"Reclutamiento"
"CLAN_MENU_SEND_INVITE_REQUEST"	"Enviar solicitud"
"Coins_discount_offer_Desc"	"¡Ey! Acércate un poco más. Tenemos una oferta muy especial para ti. ¡Disfruta de un descuento a la hora de comprar uno de los pack de monedas que elijas!||No te demores, ¡la oferta solo estará activa durante un tiempo limitado!"
"Coins_discount_offer_Name"	"Monedas con descuento"
"Commtowers_Boss_nomads_text"	"La distracción no tuvo éxito. Bien. Tengo una idea más radical."
"Commtowers_Boss_scavengers_text"	"No está funcionando. Es hora del Plan B. ¡Envíad hasta allí al vehículo del líder!"
"Commtowers_Defeat_scavengers_text"	"¡Si! Hombre, ¡somos tan buenos!"
"Commtowers_nomads_caption"	"Drake"
"Commtowers_psycho_caption"	"Munch"
"Commtowers_scavengers_caption"	"Owl"
"Commtowers_Start_nomads_text"	"Alguien entregó en secreto equipo para piratear nuestro territorio. Intentarán interceptar las torres de comunicación. Presumiblemente. Establecer un punto de observación tecnológico."
"Commtowers_Tower1Def2_nomads_text"	"El enemigo está en la segunda torre. Eso es justo lo que estaba esperando. ¡Id y recuperad la primera!"
"Commtowers_Tower1Def2_psycho_text"	"¡Ja ja! Es imposible que puedan defender ambas torres a la vez! ¡Veamos como lo intentan!"
"Commtowers_Win_psycho_text"	"Sal de aquí rápido. ¡Que no te vuelva a ver jamás!"
"Commtowers_Win_scavengers_text"	"¡Si! Hombre, ¡somos tan buenos!"
"CONFIRMATION_ACCOUNT_COPY"	"La cuenta actual se sobrescribirá con los datos del servidor en vivo."
