"2STEP_AUTHORIZATION_ENABLED"	"您的帳號受到保護"
"avatar_battletest_desc"	"一個著名大學的交換生，並兼職做理髮師，他像其他人一樣喜歡穿著時尚追求流行。沒有人在災難降臨時做好準備，但當世界崩潰時，他仍然堅定不移的相信，他的家人曾留言表示在海洋中的想法，並且為了能夠因為希望再次看到他們的渴望讓他繼續生活和戰鬥。"
"avatar_bot_desc"	"他的塑膠眼睛看到了會讓任何倖存者變灰的東西。他記得與收割者見面意味著像是一種迫在眉睫的死亡。當荒地裡充滿了違反物理定律的機器時。每次旅行最終可能會完全摧毀所有部件。當樹長很大時，是在哭或微笑嗎？"
"avatar_cbt_desc"	"當入侵者了解到他能夠將有機物轉化為金屬的天賦時，他被追捕並且關押在一個山洞裡，被迫從骨頭上產生黃金。被工程師陣營解放後，他遠離人群並且更嚮往與動物一起生活。然而，儘管他遭受了這麼多磨難，但仍然保持著鬥志，並且隨時準備好可以幫助其他人"
"avatar_cbt_name"	"其他"
"avatar_default_desc"	"受到病毒的影響，他停止了老化，但實際上他的年齡比看起來要老得多。"
"avatar_default_name"	"凱"
"avatar_gamescom2017_name"	"米奇"
"avatar_gm_etc_desc"	"如果你在荒地遇到一名轉基因生物徽章的持有者，恐怕已經太遲了。 當然，你仍然可以透過隕石或飢餓的嵌合體來被拯救，但更可能的是，你的蛋白質和氨基酸會被從宿主中分離出來，為了更大的目標服務－轉基因生物勳章的持有者。 畢竟，這徽章的持有者是第一批意識到了它透露出的機會的人。他們相信這場災難背後有一位幕後主使，所以不惜犧牲自己來試圖接觸它"
"avatar_gm_etc_name"	"陰影"
"BATTLELOG_RESULT_PLACE"	"第$value$名"
"BINDING_NAME_autobuild"	"自動配置"
"BINDING_NAME_mapScaleDec"	"縮小地圖"
"BINDING_NAME_mapScaleInc"	"放大地圖"
"Blockpost_Defeat_nomads_text"	"你在做圖勞無功的事情，請好好想想，雖然不知道這樣對你有沒有用"
"Blockpost_Defeat_nomads_text2"	"結束的情況總是這麼相似"
"Blockpost_Defeat_nomads_text3"	"不用擔心，我會把這個悲慘的消息告訴你的家人"
"Blockpost_Defeat_psycho_text"	"一、二、三、四，對手沒打中"
"Blockpost_Defeat_psycho_text2"	"一、二、三、四、五 -保持安靜， 誰在笑，讓他多死一次都還不夠！"
"Blockpost_Defeat_psycho_text3"	"三、二、一，他出局了！"
"Blockpost_Defeat_scavengers_text"	"拿到你想要的了嗎？敢在傭兵那偷卡車是件愚蠢的事情！"
"Blockpost_Defeat_scavengers_text2"	"這是我們的，你們的也是我們的，不要再嘗試偷我們的卡車了"
"Blockpost_Defeat_scavengers_text3"	"就是這樣，搞定！"
"Blockpost_Post1_nomads_text"	"在還沒傷害到你之前，放下你的武器"
"Blockpost_Post1_nomads_text2"	"這是你最後一次選擇退出的機會，否則等待你的只有死亡"
"Blockpost_Post1_nomads_text3"	"你的雇主給了你多少錢？我可以出更多！不說？那就用槍來說話吧！"
"Blockpost_Post1_psycho_text"	"你在幹嘛？這是再找死！"
"Blockpost_Post1_psycho_text2"	"我會在街上買一個鍋子，你只要穿過大門我就會讓你躺在那！"
"Blockpost_Post1_scavengers_text"	"你那理有問題？要去那裡？快回到卡車這來！"
"Blockpost_Post1_scavengers_text2"	"唉，多滋說了，這就是你該停下來的地方了"
"Blockpost_Post1_scavengers_text3"	"你看起來好像不是那麼聰明阿，站住，回來，你過不了防線的！"
"Blockpost_Post2_nomads_text2"	"熟能生巧，是吧？很好，讓我們再多練習點！"
"Blockpost_Post2_psycho_text"	"有一隻熊正在修理車子呢，用爪子抓著輪胎呢，現在把燈擦亮，該好好解決了！"
"Blockpost_Post2_psycho_text2"	"我正在監視看起來防衛很嚴密的前哨站，小心你的輪胎！"
"Blockpost_Post2_psycho_text3"	"有第二個前哨站了，誰會來呢？國王、皇后、公主，還是那些不自量力的骨頭！"
"Blockpost_Post2_scavengers_text"	"還沒有改變主意嗎？那就嘗試全力突破吧！我們在第二道防線配置更強的武裝力量"
"Blockpost_Post2_scavengers_text2"	"射擊！繼續射擊！忘掉前哨站，我們還有更多機會！"
"Blockpost_Post2_scavengers_text3"	"甚麼，你居然還活著，別開槍了，我無法瞄準了，我們砲塔會炸到你的屁股的"
"Blockpost_Post3_nomads_text"	"看起來是無法溝通了，這也是我希望的，啟動B計劃，徹底殲滅吧！"
"Blockpost_Post3_nomads_text2"	"也太早慶祝了吧，你走的越遠受到的傷害就越大！"
"Blockpost_Post3_nomads_text3"	"這是你和你的罪刑的最終結局！迎接最後的審判吧！"
"Blockpost_Post3_psycho_text"	"刀疤！刀疤！三等兵刀疤！這表示你們都將原地爆炸！"
"Blockpost_Post3_psycho_text2"	"五、死、三、二、一。現在你會算數字了，我們不知道還有甚麼好說的，殲滅BOSS吧？！"
"Blockpost_Post3_psycho_text3"	"數到五--一名倖存者跳進了水裡潛水， 就在這時，一條鯊魚出現了！ 瞬間咬掉了倖存者的耳朵！"
"Blockpost_Post3_scavengers_text"	"這是最後的警告！趕快放棄吧！我們會給你一條生路！沒人可以戰勝我們！"
"Blockpost_Post3_scavengers_text2"	"停下，你的車隊不會再前進了，我們會獲勝的！"
"Blockpost_Post3_scavengers_text3"	"現在想放棄？太晚了！我們的首領已經準備好了！"
"Blockpost_psycho_caption"	"狂派"
"Blockpost_scavengers_caption"	"多滋"
"Blockpost_Start_nomads_text"	"祝你平安，你現在護送的可是博派的財產，建議你在挨揍前放棄"
"Blockpost_Start_nomads_text2"	"最後這五個可憐的失敗者發現自己仍在我們的地盤上，現在正在試圖開著沒有輪胎的車子逃離，你能想像等待這些小偷的是什麼樣的命運嗎？"
"Blockpost_Start_nomads_text3"	"告訴我，你的雇主給了你多少錢？我可以給更多？但我可不跟你的雇主打交道"
"Blockpost_Start_psycho_text"	"他們居然敢偷我們的卡車！瞄準！射擊！"
"Blockpost_Start_psycho_text2"	"我正在監視那台寫著死亡的卡車，因為那是我們的卡車！"
"Blockpost_Start_psycho_text3"	"哈！我們到偷卡車的傢伙了，現在就看我們要怎樣懲罰了，讓我們砍了他的手和腿，再把他丟在在小路上！"
"Blockpost_Start_scavengers_text"	"嘿！倖存者們！喔，我知道那輛卡車，今天是個好日子，不要再做那些偷雞摸狗的事了，勸你們早點放棄吧！"
"Blockpost_Start_scavengers_text2"	"一二，能聽到我的聲音嗎？有人偷走了我們的卡車，如果我看到你，你就死定了"
"Blockpost_Start_scavengers_text3"	"所以，我們還有什麼？一輛被偷的卡車！丟了吧，還是踩著踏板吧！"
"Blockpost_Win_nomads_text"	"運氣真差，但是下次我會抓住你的！"
"Blockpost_Win_nomads_text2"	"哇喔，這，這，這倒底是怎麼發生的？"
"Blockpost_Win_nomads_text3"	"不，我們輸了！告訴我的家人吧..."
"Blockpost_Win_psycho_text"	"喔，好吧，你是贏了，但是我會去殺了其他人的！"
"Blockpost_Win_psycho_text2"	"幹得不錯，我們甘拜下風"
"Blockpost_Win_psycho_text3"	"你被擊中了，然後你回去了，這就是我看的全部"
"Blockpost_Win_scavengers_text"	"他們摧毀了我們的前哨戰，也搶走卡車了，可惡！"
"Blockpost_Win_scavengers_text2"	"我們輸了，可惡！"
"Blockpost_Win_scavengers_text3"	"好吧好吧，你贏了，但是只有這次，明白嗎？"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"設計圖中缺失的部件將被同類型的隨機高級部件代替"
"BLUEPRINT_EXHIBITION_EXPAND"	"擴大"
"BLUEPRINT_EXHIBITION_TOOLTIP"	"分享你的設計圖至戰車博物館，其他玩家可以點贊並下載你的設計圖"
"BLUEPRINT_LEVI_LOAD_STATE_ACTIVE"	"因為鋼鐵巨獸目前正在戰鬥，因此無法加載藍圖，需要先將鋼鐵巨獸召回車庫中"
"BLUEPRINT_LEVI_LOAD_STATE_UNKNOWN"	"由於鋼鐵巨獸目前還此法使用，因此無法加載藍圖，等幾分鐘再試一次"
"BLUEPRINT_LEVI_LOAD_STATE_WAITING"	"目前無法加載藍圖，首先需要收集透過鋼鐵巨獸之戰中獲得的獎勵"
"BLUEPRINT_LOAD_TOOLTIP"	"使用倉庫中已有的部件拼裝該戰車"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000載入此設計圖將移除當前載具，繼續嗎？"
"BLUEPRINT_PREVIEW_TOOLTIP"	"測試原型。"
"boar_bundle_vehicle_desc"	"這是台輕盈敏捷的車輛，可以快速接近目標，可以在座艙上裝備獠牙衝裝敵方。而且還有裝載2個\"巨錘\"霰彈槍，更加提升了近戰的威力"
"boar_bundle_vehicle_name"	"野豬"
"Bombrun_Boss_nomads_text"	"關於那座塔樓我有個計劃，這次我可不會在低估你了！"
"Bombrun_Boss_nomads_text2"	"看來我的努力還不夠，該請出首領出馬了！"
"Bombrun_Boss_nomads_text3"	"可惡！看來要使出最後手段了！我們上！"
"Bombrun_Boss_psycho_text"	"我的塔樓！ 你為什麼那麼做？！ 我現在就啟動我的戰車，我會在這個山谷裡粉碎你的！！"
"Bombrun_Boss_psycho_text2"	"你還有什麼好說的，真是讓我難過，我的脾氣已經很火爆了，你還再丟炸藥！"
"Bombrun_Boss_psycho_text3"	"可惡！我一直以為那是個禮物，你這個騙子，居然還活著，你真是傷透我的心了，我要打爛你的臉！"
"Bombrun_Boss_scavengers_text"	"可惡！這麼頑強，現在該是大炮登場的時候了！"
"Bombrun_Boss_scavengers_text2"	"我不想這樣做的，你們都看到了，我真的不想這樣的，一切都是你們逼我的，"
"Bombrun_Boss_scavengers_text3"	"不要再爆炸了，我要用我所有的資源摧毀你！"
"Bombrun_Defeat_nomads_text"	"該是從失敗中記取教訓了"
"Bombrun_Defeat_nomads_text2"	"放棄？那真是太謝謝了，太棒了！"
"Bombrun_Defeat_nomads_text3"	"很高興能夠證明我們之中誰才最強的！"
"Bombrun_Defeat_psycho_text"	"哈哈，你翻不了身了，我們可是很光明正的獲勝的，知道嗎？"
"Bombrun_Defeat_psycho_text2"	"我的卡車，我的公主，我的寶貝！ 你不要但是我想要！ 謝謝你的禮物，我超高興的！"
"Bombrun_Defeat_psycho_text3"	"可真是精彩的表演阿，對吧？"
"Bombrun_Defeat_scavengers_text"	"我的領地內不許爆炸，明白嗎？"
"Bombrun_Defeat_scavengers_text2"	"好好好，現在我們必須要讓這台佈雷車開的越遠越好"
"Bombrun_Defeat_scavengers_text3"	"太棒了，今天沒有沒爆炸，也沒有火燒車...."
"Bombrun_Def_nomads_text2"	"你可真認真阿，你以為你能炸掉塔樓嗎？我不會讓你得逞的！"
"Bombrun_Def_nomads_text3"	"炸掉了大門就想要去樓塔嗎？這太離譜了。我們會在你們抵達之前摧毀你們！"
"Bombrun_Def_psycho_text"	"它要爆炸了！嘿！不許任何人在我的地盤上玩火！"
"Bombrun_Def_psycho_text2"	"各位，這是個油泵。 不能把炸藥車放在這， 等等，那就是你的計劃？！ 你瘋了！ 我會找到你的！"
"Bombrun_Def_psycho_text3"	"就這樣，我的耐心已經到極限了，你太過分了阿，離卡車遠點，當心我開槍打你！"
"Bombrun_Def_scavengers_text"	"卡車中於停下來了，等著？遙控爆炸！ 在他們炸毀另一個塔之前阻止他們！"
"Bombrun_Def_scavengers_text2"	"我聽到引爆器的聲音了，你瘋了嗎！快停止倒數計時！"
"Bombrun_Def_scavengers_text3"	"塔樓再一會就要爆炸了，不，你無法保護卡車的！"
"Bombrun_Gate_nomads_text"	"大門依然屹立著，現在回頭不遲。但是若你打算開戰，不要期待我的憐憫"
"Bombrun_Gate_nomads_text2"	"來談筆交易吧：你不要過來，我們的大門就可以保持完好，也可以放你一條生路，不行？好吧！那就隨你吧！"
"Bombrun_Gate_nomads_text3"	"我想你是來炸毀大門的吧，對吧？我很抱歉，我是不會讓你得逞的，這就是我一貫的作風"
"Bombrun_Gate_psycho_text"	"看什麼看，滾吧！別碰這個會爆炸的玩具！"
"Bombrun_Gate_psycho_text2"	"我的意思是，謝謝你帶我來到大門這裡，我的男朋友要來接我了，明白嗎？"
"Bombrun_Gate_psycho_text3"	"我真是氣炸了，為什麼你要開著佈雷車，而不是一台普通的車呢，只要你離開大門，我保證讓你安全離開！"
"Bombrun_Gate_scavengers_text"	"你瞎了嗎？此路不通，離開吧，不要去觸破危險的炸藥。炸壞大門可不是一個好主意！"
"Bombrun_Gate_scavengers_text2"	"我想我知道你在想什麼了，爆炸爆炸，不會是這樣的吧？"
"Bombrun_Gate_scavengers_text3"	"這裡到處都是需要代價的，不不不，我們會阻止你的！"
"Bombrun_nomads_caption"	"傑夫"
"Bombrun_psycho_caption"	"奧斯瓦爾德"
"Bombrun_scavengers_caption"	"焊光"
"Bombrun_Start_nomads_text"	"歡迎光臨，旅行者們，你們的車隊看起來很危險，快停下來，不然我們就要使用武力了！"
"Bombrun_Start_nomads_text2"	"這是什麼風把你吹這來了，旅行者，你可沒受到邀請，對於像你這種的不速之客，我們都會阻止的"
"Bombrun_Start_nomads_text3"	"是迷路的旅行者嗎？警告你，此路不通"
"Bombrun_Start_psycho_text"	"嘿！你想在我的領土上做什麼？帶著你的炸彈離開！"
"Bombrun_Start_psycho_text2"	"嘿！這是什麼聲音？佈雷車？今天可不是我的生日！"
"Bombrun_Start_psycho_text3"	"嘿！這卡車上真的裝滿了炸藥了嗎？這是從哪個朋友那弄來的？"
"Bombrun_Start_scavengers_text"	"想去那？要用這個奇怪的卡車來穿越我們的領土？滾回去！"
"Bombrun_Start_scavengers_text2"	"嗯？這是我的味道還是火藥的味道？可惡！卡車上有炸藥！"
"Bombrun_Start_scavengers_text3"	"嘿，你的卡車裡面有什麼？回答我！否則我們就過去檢查了！"
"Bombrun_Win_nomads_text"	"我下次會準備的更多再來對付你"
"Bombrun_Win_nomads_text2"	"你贏了，我不得不承認，完全沒有料到"
"Bombrun_Win_nomads_text3"	"必須承認，你贏了"
"Bombrun_Win_psycho_text"	"哈哈，看起來燒的不錯阿"
"Bombrun_Win_psycho_text2"	"你一直再破壞物品嗎？我怎還會跟你一起搭擋呢？"
"Bombrun_Win_psycho_text3"	"真是個大爆炸阿！喔耶！我知道他們炸毀了，但是感覺真棒！"
"Bombrun_Win_scavengers_text"	"我們失敗了"
"Bombrun_Win_scavengers_text2"	"不！我們比需要阻止這些爆炸！"
"Bombrun_Win_scavengers_text3"	"不不不，你不可能贏的！"
"BOX_A_Name"	"新兵支援補給箱"
"BOX_B_Name"	"新兵進階補給箱"
"BOX_C_Name"	"士官支援補給箱"
"BOX_D_Name"	"士官進階補給箱"
"BOX_E_Name"	"士官功能補給箱"
"brawl_Boss_henchman2"	"哈利"
"brawl_Boss_henchman3"	"馬福"
"brawl_Boss_henchman4"	"格魯伯"
"BRIEFING_PRIZE_CONDITION_DESC"	"成功完成戰鬥，佔據1到 $minPlace$ 的位置"
"BRIEFING_WAIT_OTHER_PLAYERS"	"等待其他的玩家"
"BundleRewardWnd_Duration"	"到期時間：$time$"
"Bundle_14feb_18_Desc"	"獨特戰車：跳躍小馬|武器：20毫米自動火炮、中型機槍|獨特座艙：賽馬手|獨特移動裝置：馬蹄、馬蹄（可轉向）|獨特頭像：邦妮|獨特噴漆：棒棒糖|獨特塗鴉：生死時速|戰車最大部件數提升至55|1000金幣"
"Bundle_14feb_18_Name"	"\"熾熱的心\"戰場增援包"
"Bundle_14feb_18_womoney_Desc"	"獨特戰車：跳躍小馬|武器：20毫米自動火炮、中型機槍|獨特座艙：賽馬手|獨特移動裝置：馬蹄、馬蹄（可轉向）|獨特頭像：邦妮|獨特噴漆：棒棒糖|獨特塗鴉：生死時速|戰車最大部件數提升至55"
"Bundle_ambulance_desc"	"獨有裝甲車：最後救援|武器：25毫米自動火炮|獨有座艙：\"改裝車\"座艙|獨有裝飾：救護燈|獨有部件：改裝車系列|獨有頭像：莫特斯|噴漆：鼠疫|獨有塗鴉：蛇毒|戰車部件上限提升到55|1500金幣"
"Bundle_ambulance_name"	"\"廢土瘟疫\"戰場增援包"
"Bundle_ambulance_womoney_desc"	"獨有裝甲車：最後救援|武器：25毫米自動火炮|獨有座艙：\"改裝車\"座艙|獨有裝飾：救護燈|獨有部件：改裝車系列|獨有頭像：莫特斯|噴漆：鼠疫|獨有塗鴉：蛇毒|戰車部件上限提升到55"
"Bundle_ambulance_womoney_name"	"\"廢土瘟疫\"戰場增援包"
"Bundle_boar_desc"	"獨有裝甲車：野豬|武器：2個\"巨錘\"霰彈槍|獨有座艙：巨牙|獨有頭像：雅格|噴漆：野獸皮|專屬塗鴉：野獸之眼|戰車部件上限提升到55|1000金幣"
"Bundle_boar_name"	"\"野蠻獵殺\"戰場增援包"
"Bundle_boar_womoney_desc"	"獨有裝甲車：野豬|武器：2個\"巨錘\"霰彈槍|獨有座艙：巨牙|獨有頭像：雅格|噴漆：野獸皮|專屬塗鴉：野獸之眼|戰車部件上限提升到55"
"Bundle_boar_womoney_name"	"\"野蠻獵殺\"戰場增援包"
"Bundle_fiery_claw_Desc"	"獨特快速裝甲車：熔岩之翼|武器：20毫米自動火炮|獨有頭像：飛人沙曼|噴漆：圖案：熔岩|戰車部件上限提升到55|500金幣"
"Bundle_fiery_claw_Name"	"'熔岩之翼' 戰場增援包"
"Bundle_Firestarters_Desc"	"獨有裝甲車：野火|武器：2個垃圾噴射器霰彈槍|獨有座艙：地獄犬|獨有頭像：赤焰|噴漆：火焰蜥蜴|戰車部件上限提升到60|專屬塗鴉：摩羯座|3800金幣"
"Bundle_Firestarters_Name"	"\"烈焰燎原\"戰場增援包"
"Bundle_Firestarters_womoney_Desc"	"獨有裝甲車：野火|武器：2個垃圾噴射器霰彈槍|獨有座艙：地獄犬|獨有頭像：赤焰|噴漆：火焰蜥蜴|戰車部件上限提升到60|專屬塗鴉：摩羯座|3800金幣"
"Bundle_Firestarters_womoney_Name"	"\"烈焰燎原\"戰場增援包"
"Bundle_Football_Desc"	"專屬裝甲車：粉絲貨車|獨特喇叭：巫巫茲拉|獨特裝飾：黑藍信號彈、紅眼信號彈|獨特頭像：赫克托|獨特貼紙：鋼鐵錦標賽球|獨特噴漆：鋼鐵錦標賽|戰車部件上限提升到40|500金幣|"
"Bundle_Football_Name"	"\"勝利狂歡\"戰場增援包"
"Bundle_Football_womoney_Desc"	"專屬裝甲車：粉絲貨車|獨特喇叭：巫巫茲拉|獨特裝飾：黑藍信號彈、紅眼信號彈|獨特頭像：赫克托|獨特貼紙：鋼鐵錦標賽球|獨特噴漆：鋼鐵錦標賽|戰車部件上限提升到40|"
"Bundle_Football_womoney_Name"	"\"勝利狂歡\"戰場增援包"
"Bundle_Hunter_Desc"	"- 獨特裝甲車：打擊者|- 武器：獨特陷阱\"詭雷\"|- 額外武器：三個\"巨錘\"霰彈槍|- 獨特座艙：幽靈|- 獨有頭像：沃爾夫霍特|- 獨特噴漆：薄霧沼澤|- 戰車部件上限提升到55|- 獨特貼紙：2個\"饑餓\"|- 2650金幣"
"Bundle_Hunter_Name"	"\"光明獵手\"戰場增援包"
"Bundle_Hunter_womoney_Desc"	"- 獨特裝甲車：打擊者|- 武器：獨特陷阱\"詭雷\"|- 額外武器：三個\"巨錘\"霰彈槍|- 獨特座艙：幽靈|- 獨有頭像：沃爾夫霍特|- 獨特噴漆：薄霧沼澤|- 戰車部件上限提升到55|- 獨特貼紙：2個\"饑餓\"|"
"Bundle_Hunter_womoney_Name"	"\"光明獵手\"戰場增援包"
"Bundle_Landing_cabin_Name"	"一個特別禮物"
"Bundle_Landing_weapon_Desc"	"- 輕機槍|- 霰彈槍|- \"復仇者\"火炮|||你可以立即使用獲得的部分，或稍後再使用，這些部分可以在倉庫中找到"
"Bundle_Landing_weapon_Name"	"一個特別禮物"
"Bundle_Sportcar_Name"	"\"鬥牛勇士\"戰場增援包"
"Bundle_WW1_Desc"	"專屬裝甲車：馬克EX|武器：2個\"防禦者\"側炮、88毫米炮塔|獨有履帶：歌利亞巨人|獨有頭像：米切爾中尉|噴漆：所羅門圖像|獨特貼紙：征戰之犬|戰車部件上限提升到55|包含3400金幣"
"Bundle_WW1_name"	"\"鋼鐵之盾\"戰場增援包"
"Bundle_WW1_womoney_Desc"	"專屬裝甲車：馬克EX|武器：2個\"防禦者\"側炮、88毫米炮塔|獨有履帶：歌利亞巨人|獨有頭像：米切爾中尉|噴漆：所羅門圖像|獨特貼紙：征戰之犬|戰車部件上限提升到55||"
"Bundle_WW1_womoney_name"	"\"鋼鐵之盾\"戰場增援包"
"Bundle_Xmas17_Desc"	"獨有裝甲車：破冰者|獨有座艙：冰箱|武器：2個\"攔截者\"側炮|引擎：大功率引擎、武器冷卻器|獨有頭像：傑克佛斯特|噴漆：寒焰、材質：鋁|戰車部件上限提升到55|2100金幣"
"Bundle_Xmas17_mini_bound_Desc"	"- 獨特戰車：冷杉|- 獨特裝飾品：森林製造|- 噴漆：小禮物|- 戰車最大部件數提升至35"
"Bundle_Xmas17_mini_bound_Name"	"\"新年新生\"戰場增援包"
"bundle_xmas17_mini_Desc"	"- 獨特戰車：冷杉|- 獨特裝飾品：森林製造|- 獨特頭像：\"寒霜\"尼克|- 噴漆：小禮物|- 戰車最大部件數提升至35|- 500金幣"
"bundle_xmas17_mini_Name"	"\"新年新生\"戰場增援包"
"bundle_xmas17_mini_womoney_Desc"	"- 獨特戰車：冷杉|- 獨特裝飾品：森林製造|- 獨特頭像：\"寒霜\"尼克|- 噴漆：小禮物|- 戰車最大部件數提升至35"
"bundle_xmas17_mini_womoney_Name"	"\"新年新生\"戰場增援包"
"Bundle_Xmas17_Name"	"\"寒霜之灼\"戰場增援包"
"Bundle_Xmas17_womoney_Name"	"\"寒霜之灼\"戰場增援包"
"Bundle_Xmas_Yt_desc"	"200遊戲金幣|獨特塗鴉：聖誕\"玩具\"|噴漆：玩家聯盟"
"Bundle_Xmas_Yt_name"	"\"玩家聯盟\"戰場增援包"
"Cabin_DronSpawn_Desc"	"有了這個座艙，瞬間就能扭轉局勢！"
"Cabin_DronSpawn_name"	"狼人"
"Cabin_InnateMelee_Desc"	"\"地獄犬\"座艙是倖存者們最好的夥伴。它洞悉世事，只是不能說話。它能在近戰中用它的\"嘴巴\"撕裂敵人。"
"Cabin_Lambo_Desc"	"這款來自強大超級跑車的駕駛室，配備了強大的發動機和一些提高精確度的技術解決方案"
"Cabin_Lambo_Name"	"鬥牛士"
"Cabin_Mi24_Desc"	"這個座艙曾經屬於一架直升機，並在高空中翱翔，這很難令人相信，但是，所有這一切都是事實"
"Cabin_Mi24_Name"	"幽靈"
"Cabin_Tribal_Desc"	"小心，它們只在夜間出沒。"
"Cabin_Tribal_Hog_Desc"	"固定在座艙前的幾顆獠牙可不僅僅是用來嚇人的，不要小看這類的近戰武器"
"Cabin_Tribal_Hog_Name"	"巨牙"
"Cabin_Tribal_name"	"\"蝙蝠\"座艙"
"call_to_action_to_quests"	"開啟任務"
"Captcha_text"	"請輸入圖片中的驗證碼"
"Captcha_text_2"	"剩餘重試次數：{$val$;次;次}。"
"CarDriver_Firestarters_lvl10_desc"	"火焰傷害提升$car_damage_flame_mul$%"
"CarDriver_Firestarters_lvl11_desc"	"近戰武器耐久度提升$health_mul$%"
"CarDriver_Firestarters_lvl11_name"	"鋼鐵之軀-3"
"CarDriver_Firestarters_lvl12_desc"	"垃圾噴射者傷害提升$damage_mul$%"
"CarDriver_Firestarters_lvl12_name"	"一擊斃命-3"
"CarDriver_Firestarters_lvl13_desc"	"$targets$彈藥量提升$ammo_add$個"
"CarDriver_Firestarters_lvl14_desc"	"當\"狼人\"座艙被摧毀後，剩餘無人機耐久提升$nested_car_max_health_mul$% more durable."
"CarDriver_Firestarters_lvl14_name"	"第二次機會"
"CarDriver_Firestarters_lvl14_old_desc"	"$targets$：活動時間延長$work_time_mul$％"
"CarDriver_Firestarters_lvl14_old_name"	"灼熱的憤怒"
"CarDriver_Firestarters_lvl15_desc"	"所有移動裝置最大速度提升$speed_limit_mul$%."
"CarDriver_Firestarters_lvl15_name"	"勢不可擋"
"CarDriver_Firestarters_lvl1_desc"	"近戰武器耐久度提升$health_mul$%"
"CarDriver_Firestarters_lvl1_name"	"鋼鐵之軀-1"
"CarDriver_Firestarters_lvl2_name"	"一擊斃命-1"
"CarDriver_Firestarters_lvl3_desc"	"\"剃刀\"輪胎、\"剃刀\"輪胎（可轉向）耐久度提升$health_mul$%"
"CarDriver_Firestarters_lvl3_name"	"無法替代"
"CarDriver_Firestarters_lvl4_desc"	"剝皮者冷卻速度提升$shooting_cooldown_mul$%"
"CarDriver_Firestarters_lvl4_name"	"黏住"
"CarDriver_Firestarters_lvl5_desc"	"焚燒爐火焰半徑提升$projectile_spreading_area_height_mul$%"
"CarDriver_Firestarters_lvl5_name"	"點燃火焰"
"CarDriver_Firestarters_lvl6_desc"	"近戰武器耐久度提升$health_mul$%"
"CarDriver_Firestarters_lvl6_name"	"鋼鐵之軀-2"
"CarDriver_Firestarters_lvl7_desc"	"垃圾噴射者傷害提升$damage_mul$%"
"CarDriver_Firestarters_lvl7_name"	"一擊斃命-2"
"CarDriver_Firestarters_lvl8_desc"	"鳳凰冷卻速度提升$shooting_cooldown_mul$%"
"CarDriver_new_level"	"新技能解鎖\"$skill$\""
"CarEditor_paint_erase"	" — 去除噴漆"
"CarPart_Airintake_Desc"	"用於將空氣輸送到車輛內部。"
"CarPart_Airintake_Name"	"飛機進氣口"
"CarPart_AmbulanceLights_desc"	"在災變發生後奇跡般地被保存下來的一種帶有警笛的燈箱，提醒周圍的人快點把路讓開。"
"CarPart_AmbulanceLights_name"	"救護燈"
"CarPart_anniversary2018_Desc"	"艾薇贈送的禮物，用以紀念工程師們進入廢土世界一週年"
"CarPart_anniversary2018_Name"	"第五輪"
"CarPart_april_balloon_desc"	"充氣導彈是取笑你的朋友的好方法"
"CarPart_april_balloon_name"	"氣球導彈"
"CarPart_CarHorn_Vuvuzela_Desc"	"震耳欲聾的爆炸聲，陪伴每一場比賽，當然還有賽後的慶祝活動"
"CarPart_CarHorn_Vuvuzela_Name"	"巫巫茲拉"
